lambda_rt,lambda_da,alpha_rt
37.69,35.46,0
49.9,35.46,0
44.93,35.46,0
39.78,35.46,0
41.82,35.46,0
37.8,35.46,0
33.63,35.46,0
30.8,35.46,0
30.8,35.46,0
31.93,35.46,0
33.32,35.46,0
33.39,33.53,0
35.26,33.53,0
33.53,33.53,0
32.81,33.53,0
32.64,33.53,0
34.8,33.53,0
32.61,33.53,0
32.64,33.53,0
32.48,33.53,0
32.06,33.53,0
30.8,33.53,0
33.45,33.53,0
39.64,34.58,0
41.8,34.58,0
54.84,34.58,0
74.82,34.58,0
55.19,34.58,0
57.91,34.58,0
44.76,34.58,0
56.34,34.58,0
44.76,34.58,0
44.21,34.58,0
44.88,34.58,0
44.21,34.58,0
44.19,34.22,0
45,34.22,0
56.36,34.22,0
44.76,34.22,0
44.22,34.22,0
56.39,34.22,0
57.29,34.22,0
57.3,34.22,0
72.06,34.22,0
63.13,34.22,0
71.29,34.22,0
71.21,34.22,0
44.89,34.19,0
41.97,34.19,0
37.32,34.19,0
27.45,34.19,0
27.62,34.19,0
28.21,34.19,0
28.21,34.19,0
28.21,34.19,0
30.83,34.19,0
37.34,34.19,0
37.34,34.19,0
37.37,34.19,0
34.77,34.43,0
37.28,34.43,0
37.32,34.43,0
37.82,34.43,0
39.01,34.43,0
39.36,34.43,0
38.94,34.43,0
39.21,34.43,0
39.33,34.43,0
38.82,34.43,1.51
37.32,34.43,0
37.28,34.43,0
28.71,50.98,0
37.28,50.98,0
34.81,50.98,0
34.27,50.98,0
37.63,50.98,0.35
37.63,50.98,0.35
41.29,50.98,4.06
45.07,50.98,7.89
45.27,50.98,8.08
45.12,50.98,7.9
64.49,50.98,12.62
110,50.98,30.13
64.49,46.15,6.44
64.85,46.15,4.75
67.05,46.15,1.77
106.31,46.15,6.77
152.14,46.15,12.89
273.87,46.15,28.04
132.52,46.15,10.21
111.08,46.15,6.25
132.41,46.15,9
88.57,46.15,24.19
77.68,46.15,23.81
77.68,46.15,23.96
75.5,49.42,0
68.52,49.42,0
73.83,49.42,0
77.54,49.42,0
77.68,49.42,0
77.61,49.42,0
75.64,49.42,0
67.41,49.42,0
66.99,49.42,0
66.86,49.42,0
66.93,49.42,0
64.91,49.42,0
41.58,44.61,0
37.14,44.61,0
39.63,44.61,0
37.67,44.61,0
37.11,44.61,0
37.11,44.61,0
37.14,44.61,0
37.11,44.61,0
37.14,44.61,0
37.83,44.61,0
38.51,44.61,0
