x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.669,1.571,2.34,2.428,2.456,3.481,2.162,2.96,2.536,1.332,2.072,1.1
1.649,1.554,2.32,2.407,2.426,3.475,2.141,2.935,2.502,1.325,2.05,1.087
1.63,1.538,2.3,2.387,2.398,3.469,2.122,2.911,2.471,1.319,2.029,1.074
1.612,1.524,2.281,2.369,2.372,3.464,2.103,2.889,2.442,1.313,2.009,1.062
1.595,1.51,2.262,2.351,2.346,3.46,2.085,2.868,2.415,1.307,1.989,1.051
1.58,1.497,2.245,2.334,2.323,3.455,2.069,2.848,2.389,1.302,1.97,1.041
1.565,1.484,2.228,2.319,2.3,3.451,2.053,2.83,2.366,1.296,1.952,1.031
1.552,1.473,2.211,2.304,2.279,3.447,2.038,2.813,2.344,1.291,1.934,1.022
1.54,1.462,2.196,2.29,2.258,3.443,2.024,2.797,2.324,1.286,1.916,1.014
1.528,1.452,2.181,2.277,2.239,3.44,2.011,2.782,2.306,1.282,1.9,1.006
1.517,1.443,2.167,2.264,2.221,3.436,1.998,2.767,2.288,1.277,1.884,0.998
1.507,1.434,2.154,2.252,2.203,3.432,1.986,2.754,2.273,1.273,1.868,0.991
1.498,1.426,2.142,2.241,2.187,3.428,1.975,2.742,2.258,1.269,1.853,0.985
1.489,1.418,2.131,2.23,2.171,3.424,1.964,2.73,2.245,1.265,1.839,0.979
1.481,1.411,2.12,2.22,2.156,3.419,1.954,2.72,2.232,1.261,1.825,0.973
1.473,1.405,2.11,2.21,2.142,3.415,1.944,2.709,2.22,1.258,1.811,0.968
1.466,1.398,2.102,2.201,2.129,3.409,1.935,2.7,2.21,1.255,1.799,0.963
1.459,1.393,2.094,2.192,2.115,3.404,1.926,2.69,2.2,1.252,1.786,0.958
1.453,1.387,2.087,2.183,2.103,3.397,1.918,2.682,2.19,1.249,1.775,0.953
1.446,1.382,2.081,2.174,2.091,3.391,1.91,2.673,2.181,1.246,1.763,0.948
1.44,1.377,2.076,2.166,2.079,3.383,1.902,2.665,2.173,1.243,1.753,0.943
1.434,1.372,2.071,2.158,2.067,3.375,1.894,2.657,2.164,1.241,1.743,0.939
1.428,1.367,2.068,2.15,2.056,3.366,1.887,2.649,2.156,1.238,1.733,0.934
1.422,1.363,2.066,2.141,2.044,3.356,1.879,2.642,2.148,1.236,1.724,0.93
1.416,1.358,2.065,2.133,2.033,3.345,1.872,2.634,2.14,1.234,1.715,0.925
1.41,1.354,2.065,2.125,2.022,3.333,1.865,2.626,2.132,1.232,1.707,0.92
1.403,1.349,2.066,2.116,2.011,3.321,1.858,2.618,2.124,1.23,1.699,0.915
1.397,1.345,2.067,2.108,2.0,3.309,1.851,2.611,2.116,1.228,1.692,0.91
1.39,1.34,2.069,2.099,1.989,3.297,1.844,2.603,2.108,1.227,1.685,0.906
1.384,1.336,2.072,2.091,1.978,3.286,1.837,2.595,2.1,1.225,1.678,0.901
1.377,1.332,2.075,2.082,1.968,3.276,1.831,2.588,2.093,1.224,1.672,0.896
1.37,1.328,2.079,2.074,1.959,3.268,1.825,2.581,2.087,1.223,1.667,0.892
1.364,1.323,2.083,2.066,1.949,3.263,1.82,2.574,2.081,1.221,1.662,0.888
1.357,1.319,2.086,2.057,1.941,3.26,1.816,2.567,2.076,1.22,1.657,0.884
1.35,1.316,2.09,2.049,1.933,3.26,1.812,2.561,2.072,1.219,1.653,0.881
1.344,1.312,2.094,2.042,1.925,3.265,1.808,2.555,2.069,1.218,1.649,0.878
1.337,1.308,2.097,2.034,1.919,3.273,1.806,2.549,2.067,1.217,1.645,0.876
1.331,1.304,2.1,2.027,1.913,3.286,1.804,2.544,2.066,1.216,1.642,0.874
1.324,1.301,2.103,2.02,1.909,3.303,1.803,2.539,2.067,1.215,1.639,0.873
1.318,1.298,2.105,2.013,1.905,3.323,1.803,2.536,2.069,1.215,1.636,0.873
1.313,1.295,2.107,2.008,1.901,3.346,1.803,2.533,2.072,1.214,1.635,0.873
1.307,1.293,2.11,2.003,1.899,3.372,1.804,2.531,2.076,1.213,1.633,0.873
1.302,1.291,2.112,1.999,1.897,3.398,1.805,2.53,2.082,1.213,1.632,0.874
1.298,1.289,2.115,1.997,1.895,3.426,1.807,2.531,2.088,1.213,1.632,0.875
1.294,1.288,2.118,1.996,1.894,3.455,1.808,2.533,2.096,1.213,1.632,0.877
1.291,1.288,2.121,1.996,1.894,3.483,1.81,2.537,2.105,1.213,1.633,0.879
1.289,1.289,2.125,1.998,1.894,3.51,1.811,2.542,2.115,1.213,1.635,0.881
1.288,1.29,2.129,2.002,1.895,3.535,1.813,2.55,2.126,1.213,1.637,0.883
1.287,1.292,2.134,2.008,1.896,3.559,1.814,2.559,2.138,1.214,1.64,0.886
1.287,1.295,2.14,2.016,1.897,3.58,1.815,2.571,2.151,1.215,1.644,0.889
1.289,1.299,2.146,2.026,1.899,3.599,1.816,2.584,2.165,1.216,1.648,0.892
1.291,1.304,2.154,2.037,1.902,3.616,1.816,2.6,2.18,1.217,1.654,0.895
1.293,1.309,2.162,2.05,1.905,3.631,1.817,2.617,2.195,1.219,1.66,0.898
1.296,1.315,2.17,2.064,1.908,3.646,1.818,2.636,2.211,1.22,1.666,0.902
1.3,1.321,2.179,2.08,1.913,3.66,1.819,2.656,2.228,1.222,1.673,0.906
