time,bnk_kW,bnk_beta,ckt1_kW,ckt1_asum,ckt1_fr1,ckt1_fr2,ckt1_fr3,ckt2_kW,ckt2_asum,ckt2_fr1,ckt2_fr2,ckt2_fr3,ckt3_kW,ckt3_asum,ckt3_fr1,ckt3_fr2,ckt3_fr3,ckt4_kW,ckt4_asum,ckt4_fr1,ckt4_fr2,ckt4_fr3,panel_output_kW
2016-08-01 00:00:00,7041,0.114,2536,359.2,0.218,0.315,0.467,1332,188.7,0.193,0.392,0.415,2072,293.5,0.363,0.310,0.327,1100,155.8,0.334,0.374,0.292,0.00
2016-08-01 00:01:00,7026,0.113,2529,358.4,0.218,0.315,0.467,1331,188.6,0.193,0.392,0.415,2068,293.0,0.363,0.310,0.327,1097,155.5,0.334,0.374,0.292,0.00
2016-08-01 00:02:00,7010,0.113,2522,357.6,0.218,0.315,0.467,1329,188.5,0.192,0.393,0.415,2063,292.5,0.363,0.310,0.327,1094,155.2,0.334,0.374,0.292,0.00
2016-08-01 00:03:00,6995,0.112,2516,356.8,0.218,0.315,0.467,1328,188.4,0.192,0.393,0.415,2059,292.0,0.363,0.310,0.327,1092,154.9,0.333,0.374,0.293,0.00
2016-08-01 00:04:00,6980,0.111,2509,356.0,0.218,0.315,0.467,1327,188.3,0.192,0.393,0.416,2055,291.5,0.363,0.309,0.328,1089,154.5,0.333,0.374,0.293,0.00
2016-08-01 00:05:00,6966,0.111,2502,355.2,0.218,0.315,0.466,1325,188.2,0.191,0.393,0.416,2050,291.0,0.363,0.309,0.328,1087,154.2,0.333,0.374,0.293,0.00
2016-08-01 00:06:00,6951,0.110,2496,354.4,0.218,0.315,0.466,1324,188.0,0.191,0.394,0.416,2046,290.5,0.363,0.309,0.328,1084,153.9,0.333,0.374,0.293,0.00
2016-08-01 00:07:00,6937,0.110,2490,353.7,0.219,0.315,0.466,1323,187.9,0.191,0.394,0.416,2042,290.1,0.363,0.309,0.328,1081,153.6,0.333,0.374,0.294,0.00
2016-08-01 00:08:00,6922,0.109,2483,352.9,0.219,0.315,0.466,1322,187.8,0.190,0.394,0.416,2038,289.6,0.363,0.309,0.328,1079,153.4,0.332,0.374,0.294,0.00
2016-08-01 00:09:00,6908,0.109,2477,352.2,0.219,0.315,0.466,1320,187.7,0.190,0.394,0.416,2034,289.1,0.363,0.309,0.328,1076,153.1,0.332,0.374,0.294,0.00
