x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1669.0,1571.0,2340.0,2428.0,2456.0,3481.0,2162.0,2960.0,2536.0,1332.0,2072.0,1100.0
1649.0,1554.0,2320.0,2407.0,2426.0,3475.0,2141.0,2935.0,2502.0,1325.0,2050.0,1087.0
1630.0,1538.0,2300.0,2387.0,2398.0,3469.0,2122.0,2911.0,2471.0,1319.0,2029.0,1074.0
1612.0,1524.0,2281.0,2369.0,2372.0,3464.0,2103.0,2889.0,2442.0,1313.0,2009.0,1062.0
1595.0,1510.0,2262.0,2351.0,2346.0,3460.0,2085.0,2868.0,2415.0,1307.0,1989.0,1051.0
1580.0,1497.0,2245.0,2334.0,2323.0,3455.0,2069.0,2848.0,2389.0,1302.0,1970.0,1041.0
1565.0,1484.0,2228.0,2319.0,2300.0,3451.0,2053.0,2830.0,2366.0,1296.0,1952.0,1031.0
1552.0,1473.0,2211.0,2304.0,2279.0,3447.0,2038.0,2813.0,2344.0,1291.0,1934.0,1022.0
1540.0,1462.0,2196.0,2290.0,2258.0,3443.0,2024.0,2797.0,2324.0,1286.0,1916.0,1014.0
1528.0,1452.0,2181.0,2277.0,2239.0,3440.0,2011.0,2782.0,2306.0,1282.0,1900.0,1006.0
1517.0,1443.0,2167.0,2264.0,2221.0,3436.0,1998.0,2767.0,2288.0,1277.0,1884.0,998.0
1507.0,1434.0,2154.0,2252.0,2203.0,3432.0,1986.0,2754.0,2273.0,1273.0,1868.0,991.0
1498.0,1426.0,2142.0,2241.0,2187.0,3428.0,1975.0,2742.0,2258.0,1269.0,1853.0,985.0
1489.0,1418.0,2131.0,2230.0,2171.0,3424.0,1964.0,2730.0,2245.0,1265.0,1839.0,979.0
1481.0,1411.0,2120.0,2220.0,2156.0,3419.0,1954.0,2720.0,2232.0,1261.0,1825.0,973.0
1473.0,1405.0,2110.0,2210.0,2142.0,3415.0,1944.0,2709.0,2220.0,1258.0,1811.0,968.0
1466.0,1398.0,2102.0,2201.0,2129.0,3409.0,1935.0,2700.0,2210.0,1255.0,1799.0,963.0
1459.0,1393.0,2094.0,2192.0,2115.0,3404.0,1926.0,2690.0,2200.0,1252.0,1786.0,958.0
1453.0,1387.0,2087.0,2183.0,2103.0,3397.0,1918.0,2682.0,2190.0,1249.0,1775.0,953.0
1446.0,1382.0,2081.0,2174.0,2091.0,3391.0,1910.0,2673.0,2181.0,1246.0,1763.0,948.0
1440.0,1377.0,2076.0,2166.0,2079.0,3383.0,1902.0,2665.0,2173.0,1243.0,1753.0,943.0
1434.0,1372.0,2071.0,2158.0,2067.0,3375.0,1894.0,2657.0,2164.0,1241.0,1743.0,939.0
1428.0,1367.0,2068.0,2150.0,2056.0,3366.0,1887.0,2649.0,2156.0,1238.0,1733.0,934.0
1422.0,1363.0,2066.0,2141.0,2044.0,3356.0,1879.0,2642.0,2148.0,1236.0,1724.0,930.0
1416.0,1358.0,2065.0,2133.0,2033.0,3345.0,1872.0,2634.0,2140.0,1234.0,1715.0,925.0
1410.0,1354.0,2065.0,2125.0,2022.0,3333.0,1865.0,2626.0,2132.0,1232.0,1707.0,920.0
1403.0,1349.0,2066.0,2116.0,2011.0,3321.0,1858.0,2618.0,2124.0,1230.0,1699.0,915.0
1397.0,1345.0,2067.0,2108.0,2000.0,3309.0,1851.0,2611.0,2116.0,1228.0,1692.0,910.0
1390.0,1340.0,2069.0,2099.0,1989.0,3297.0,1844.0,2603.0,2108.0,1227.0,1685.0,906.0
1384.0,1336.0,2072.0,2091.0,1978.0,3286.0,1837.0,2595.0,2100.0,1225.0,1678.0,901.0
1377.0,1332.0,2075.0,2082.0,1968.0,3276.0,1831.0,2588.0,2093.0,1224.0,1672.0,896.0
1370.0,1328.0,2079.0,2074.0,1959.0,3268.0,1825.0,2581.0,2087.0,1223.0,1667.0,892.0
1364.0,1323.0,2083.0,2066.0,1949.0,3263.0,1820.0,2574.0,2081.0,1221.0,1662.0,888.0
1357.0,1319.0,2086.0,2057.0,1941.0,3260.0,1816.0,2567.0,2076.0,1220.0,1657.0,884.0
