timestamp,Pg_1,Pg_2,Pg_3,Pg_4,Pg_5,Pg_6,Pg_7,Pg_8,Pg_9,Pg_10,Pg_11,Pg_12,Qg_1,Qg_2,Qg_3,Qg_4,Qg_5,Qg_6,Qg_7,Qg_8,Qg_9,Qg_10,Qg_11,Qg_12
1.0,3.4614757093507497e-7,3.4614757093507497e-7,3.4614757093507497e-7,3.4614757093507497e-7,3.843161436293046e-7,3.843161436293046e-7,3.5200914374345564e-7,3.5200914374345564e-7,3.7439291387919927e-7,3.7439291387919927e-7,3.7439291387919927e-7,3.4994799411726156e-7,-1.4513876687844365e-8,3.1049815297596186e-9,4.692828571141054e-9,-1.0162191531910557e-8,-2.1934930654315576e-8,-1.056221633755526e-8,-1.64644413164368e-8,-8.370902314540458e-9,-2.1944231454483858e-8,-2.1103789029304243e-8,-1.3381213815455543e-8,-8.100413415502055e-9
2.0,3.6978983871197405e-7,3.6978983871197405e-7,3.6978983871197405e-7,3.415352253556366e-7,3.856563176618807e-7,3.856563176618807e-7,3.856563176618807e-7,3.4710042328765157e-7,3.873639616448342e-7,3.873639616448342e-7,3.873639616448342e-7,3.5034270204924613e-7,-2.222490972320698e-8,-1.4809350921107935e-8,-9.477676295883956e-9,-9.373165487284607e-9,-1.3277731652525212e-8,2.885709465680817e-10,-1.248554894535489e-8,8.685017816293554e-9,-2.7562448833987274e-9,2.274758305304555e-9,-1.6196445597862646e-8,7.616597893338993e-9
3.0,3.455896706142379e-7,3.455896706142379e-7,3.455896706142379e-7,3.455896706142379e-7,3.475362018781866e-7,3.475362018781866e-7,3.475362018781866e-7,3.475362018781866e-7,3.4968003276337717e-7,3.4968003276337717e-7,3.4968003276337717e-7,3.4968003276337717e-7,-1.0992441721062957e-8,-5.363911768234794e-9,-1.7784846314123595e-8,-9.17377595546701e-9,-2.1441263164577967e-8,1.0896003952309352e-9,-1.6869995518966605e-8,6.546827361769978e-8,-2.99381871492213e-9,-1.3160865019354017e-8,-5.432773908145384e-9,-9.892213542848876e-9
4.0,3.7247656560353315e-7,3.7247656560353315e-7,3.7247656560353315e-7,3.4741422796301616e-7,3.886243729956641e-7,3.886243729956641e-7,3.886243729956641e-7,3.549784347534263e-7,3.834170558760132e-7,3.834170558760132e-7,3.834170558760132e-7,3.442776893907047e-7,-1.5141849796894674e-8,1.3813483435825757e-9,-2.1161134490192693e-8,-9.836058513683872e-9,-1.4203206608956935e-8,5.088876957774926e-9,2.523449775927606e-9,6.532795506104503e-8,-1.772646539982222e-8,-6.468136438659342e-9,-9.248043843074736e-9,-7.85301430341996e-9
5.0,3.4211370920026383e-7,3.4211370920026383e-7,3.4211370920026383e-7,3.4211370920026383e-7,3.467110043826645e-7,3.467110043826645e-7,3.467110043826645e-7,3.467110043826645e-7,3.462856508613242e-7,3.462856508613242e-7,3.462856508613242e-7,3.462856508613242e-7,-3.4625520045567176e-9,-1.1268883499301536e-8,-5.86954927888788e-9,-9.460681356614323e-9,-2.1696091412587406e-8,-9.758720888434114e-9,-1.6812729479996474e-8,7.613758649309613e-9,-1.0385808281898952e-8,-1.089408418604027e-8,1.4211776423933851e-9,-2.6741353408620917e-8
6.0,3.784295789090962e-7,3.784295789090962e-7,3.784295789090962e-7,3.4818761541342765e-7,3.803647864192976e-7,3.803647864192976e-7,3.803647864192976e-7,3.5014277620868234e-7,3.77110141922104e-7,3.77110141922104e-7,3.77110141922104e-7,3.4896689434667464e-7,-2.132967877070337e-8,-8.408768919606945e-9,-2.417101917801042e-8,6.563883370134243e-8,-3.068247304782223e-9,-7.423635478079881e-10,-1.0225943072379584e-8,-9.454043478161721e-9,-2.1862473991619486e-8,-1.3100142514649164e-8,-5.959260699691498e-9,-1.099980762965317e-8
7.0,3.78877143302327e-7,3.5100416583723233e-7,3.5100416583723233e-7,3.5100416583723233e-7,3.4463782035914104e-7,3.4463782035914104e-7,3.4463782035914104e-7,3.4463782035914104e-7,3.473886249826253e-7,3.473886249826253e-7,3.473886249826253e-7,3.473886249826253e-7,-2.1853602029406245e-8,3.3801810118132882e-9,1.2642517160156011e-9,-9.911160508342102e-9,-9.478415838151134e-9,1.253123929284882e-8,-1.589434632447669e-8,-1.0070718761378008e-8,-2.668652688487704e-9,-1.2361003622200794e-9,-1.682321023624705e-8,-9.42875307543272e-9
8.0,3.825093675269787e-7,3.825093675269787e-7,3.825093675269787e-7,3.4590500237520847e-7,3.808474076492715e-7,3.808474076492715e-7,3.808474076492715e-7,3.5255293548598915e-7,3.821336632190789e-7,3.821336632190789e-7,3.821336632190789e-7,3.5341631319814876e-7,-2.1886012456628522e-8,8.316474132642777e-9,-5.565833469835811e-9,-9.053908441063769e-9,-1.5016646821839988e-8,-6.094200321294356e-9,-8.78993433129696e-9,-8.636951975828682e-9,-9.691497669521598e-9,-1.9361507538599373e-8,-1.6759498120896504e-8,-8.081516266438338e-9
9.0,3.4765172536091373e-7,3.4765172536091373e-7,3.4765172536091373e-7,3.4765172536091373e-7,3.8387628790655543e-7,3.8387628790655543e-7,3.489417064228237e-7,3.489417064228237e-7,3.4050383299128413e-7,3.4050383299128413e-7,3.4050383299128413e-7,3.4050383299128413e-7,-1.4587005270635024e-8,1.1292979076884275e-9,9.655112807316065e-10,6.459021721100576e-8,-2.1714120928245007e-8,-1.8399039181529232e-9,-8.344850593498936e-9,6.579934855518437e-8,-2.2137752412129515e-8,-1.2421977548626133e-8,-1.8192155655406723e-8,-9.239236195134937e-9
10.0,3.806861668246819e-7,3.806861668246819e-7,3.806861668246819e-7,3.4073338986324793e-7,3.913026204989412e-7,3.913026204989412e-7,3.913026204989412e-7,3.480389548669113e-7,3.8671079740488104e-7,3.8671079740488104e-7,3.8671079740488104e-7,3.4745948344950254e-7,-3.603274946865392e-9,-1.5523506665941636e-8,-1.0136798894753793e-8,-2.6944274345880955e-8,-3.2355845000003873e-8,-2.1378004980149243e-8,-2.7384018290493842e-8,6.581111096982891e-8,-1.4996538183857154e-8,8.748478798949898e-9,1.4661711574448206e-9,-9.118350504159981e-9
11.0,3.4661153825891656e-7,3.4661153825891656e-7,3.4661153825891656e-7,3.4661153825891656e-7,3.7996475509934194e-7,3.7996475509934194e-7,3.4553434100005344e-7,3.4553434100005344e-7,3.4082260443065746e-7,3.4082260443065746e-7,3.4082260443065746e-7,3.4082260443065746e-7,-2.1702569837884684e-8,5.632081602002611e-9,-1.7067845819454522e-8,-9.604594954350914e-9,-2.5850837006873088e-9,-2.18788306005806e-9,1.842384034448745e-9,-8.886455814879329e-9,-1.0381865499478908e-8,-1.638017573053163e-8,-2.5822724465860022e-9,-9.489857976840609e-9
12.0,3.816029231702547e-7,3.816029231702547e-7,3.816029231702547e-7,3.4198077122207397e-7,3.794715022444192e-7,3.794715022444192e-7,3.794715022444192e-7,3.5050286108315166e-7,3.7958846397760573e-7,3.7958846397760573e-7,3.7958846397760573e-7,3.4392047056791615e-7,-3.485373642012866e-9,6.2267523979003176e-9,-1.0220430446478435e-8,6.54078455393799e-8,-1.4782955865431252e-8,-8.313264272118049e-9,-1.0363273051983475e-8,-1.0783598291955808e-8,-2.877183214615672e-9,5.5488660139164925e-9,-1.716784345944312e-8,-9.331152385676658e-9
13.0,3.392371791817185e-7,3.392371791817185e-7,3.392371791817185e-7,3.392371791817185e-7,3.8219680177952025e-7,3.8219680177952025e-7,3.468912614181759e-7,3.468912614181759e-7,3.4840795049061976e-7,3.4840795049061976e-7,3.4840795049061976e-7,3.4840795049061976e-7,-3.350104815768319e-9,8.300382151824352e-9,2.255169683132108e-9,-9.353338362253326e-9,-2.8170534700318575e-9,7.150458894590426e-9,-1.654470200807308e-8,-8.587361391493788e-9,-1.0804525576083182e-8,9.31502973401219e-9,-1.7588998394891662e-8,-9.553375981317354e-9
14.0,3.8098151039441527e-7,3.8098151039441527e-7,3.8098151039441527e-7,3.4347463224424064e-7,3.8292402363226835e-7,3.8292402363226835e-7,3.8292402363226835e-7,3.489096980329246e-7,3.7700572154091027e-7,3.7700572154091027e-7,3.7700572154091027e-7,3.47082549983154e-7,-2.1616810497429253e-8,1.4256394017826355e-9,-5.222559189982997e-9,-8.792891080478228e-9,-9.978425029770784e-9,1.6161767257688113e-8,-5.107754116919863e-9,-8.106242239017196e-9,-2.245407912130469e-8,-1.2042116183405066e-8,-1.0925317873589128e-8,-9.170232128439015e-9
15.0,3.4021667242182236e-7,3.4021667242182236e-7,3.4021667242182236e-7,3.4021667242182236e-7,3.8456078932771186e-7,3.8456078932771186e-7,3.49292648466724e-7,3.49292648466724e-7,3.4394324342264843e-7,3.4394324342264843e-7,3.4394324342264843e-7,3.4394324342264843e-7,-3.1483174374965643e-9,-4.806962262171855e-9,-1.0398423656106757e-8,-9.753434472550748e-9,-2.9690679636781115e-9,1.4631370801759621e-8,1.5468627183194228e-9,-8.547201907832094e-9,-1.1205612944909995e-8,1.8268586944595908e-9,1.2916930359697484e-9,-9.151248280119857e-9
16.0,3.762210679504073e-7,3.762210679504073e-7,3.762210679504073e-7,3.4519946059887405e-7,3.855034237163027e-7,3.855034237163027e-7,3.855034237163027e-7,3.494952790027794e-7,3.816349289296584e-7,3.816349289296584e-7,3.816349289296584e-7,3.4721782847213385e-7,-6.728673471914911e-9,2.2403567810965326e-8,-5.797134883629863e-9,-9.957641295445172e-9,-1.0529117863673955e-8,7.539340656926022e-10,-2.094646986117073e-8,-2.7564389580577726e-8,-3.888026944906385e-9,1.2553372064345371e-9,8.651210017586852e-11,-9.847458405964023e-9
17.0,3.4125624259612474e-7,3.4125624259612474e-7,3.4125624259612474e-7,3.4125624259612474e-7,3.795261034923969e-7,3.795261034923969e-7,3.4750232860511196e-7,3.4750232860511196e-7,3.4303524000745894e-7,3.4303524000745894e-7,3.4303524000745894e-7,3.4303524000745894e-7,-3.8632450671905965e-9,-1.4288576703296284e-8,-1.0375892707160284e-8,-2.7489191575739167e-8,-2.322122969134917e-9,-1.226505528806015e-9,-8.322238306121749e-9,6.660810522176795e-8,-1.3985764851699825e-8,6.0085408124950084e-9,-9.857402857250553e-9,6.516058109537648e-8
18.0,3.676111798169028e-7,3.676111798169028e-7,3.676111798169028e-7,3.4415456666331067e-7,3.756522911384459e-7,3.756522911384459e-7,3.756522911384459e-7,3.4302392882322594e-7,3.754396780884691e-7,3.754396780884691e-7,3.754396780884691e-7,3.388659556907855e-7,-1.0787279906423824e-8,8.908404056575978e-9,-6.4914597565013825e-9,-2.7557165050798547e-8,-2.1065181880954273e-8,-1.2443651555358283e-8,-1.7061834610661032e-8,-8.462436139679366e-8,-2.976317843860089e-9,8.179254509046578e-9,-9.04127524421329e-9,-8.839208745225274e-9
19.0,3.4140825761993157e-7,3.4140825761993157e-7,3.4140825761993157e-7,3.4140825761993157e-7,3.844818315815876e-7,3.844818315815876e-7,3.455231462251658e-7,3.455231462251658e-7,3.443252508720379e-7,3.443252508720379e-7,3.443252508720379e-7,3.443252508720379e-7,-2.189070889617571e-8,-1.1846507131433967e-8,-1.6997335446325934e-8,6.517522699618007e-8,-2.2037597144778192e-8,8.549392332733924e-10,4.981744673779583e-9,-8.852855230127283e-9,8.285768288577328e-10,-1.3111682699906407e-9,-5.663563681491467e-9,6.518226814835502e-8
20.0,3.559460269582179e-7,3.559460269582179e-7,3.559460269582179e-7,3.3432453220829236e-7,3.5326430729428374e-7,3.5326430729428374e-7,3.5326430729428374e-7,3.2002685033081115e-7,3.578782926888294e-7,3.578782926888294e-7,3.578782926888294e-7,3.3155783940143997e-7,-2.2297222182318166e-8,-1.0864849301872739e-8,-1.775118858376258e-8,6.470703667373249e-8,-1.066604605595803e-8,-5.805055498236593e-9,-6.041820841930068e-9,-9.409358667788428e-9,-2.3939473058778596e-8,-2.022968067279044e-8,-1.29599666148276e-8,-1.299515026090228e-8
21.0,3.2959277588384726e-7,3.2959277588384726e-7,3.2959277588384726e-7,3.2959277588384726e-7,3.5247257024359835e-7,3.5247257024359835e-7,3.2828088409412183e-7,3.2828088409412183e-7,3.3491941004102653e-7,3.3491941004102653e-7,3.3491941004102653e-7,3.3491941004102653e-7,-2.2169627363967592e-8,-1.2674110848356824e-8,1.6201472807058395e-9,6.520208888844708e-8,-1.4813282809588597e-8,-6.1181947040547324e-9,6.220720435150781e-10,-9.236092936847658e-9,-1.169640051086586e-8,-1.3889252443342136e-9,-7.3864954167999885e-9,-1.035850405450872e-8
22.0,3.743382320701568e-7,3.743382320701568e-7,3.743382320701568e-7,3.4072670185184934e-7,3.782889602551314e-7,3.782889602551314e-7,3.782889602551314e-7,3.489819892588754e-7,3.7591258186032737e-7,3.7591258186032737e-7,3.7591258186032737e-7,3.416266146083041e-7,-1.3839965664996607e-8,-6.402301595555505e-9,-1.0454950125303914e-8,6.466320502503034e-8,-9.45286138074847e-9,1.657828033592799e-9,-4.593677223107707e-9,8.249151666835316e-8,-1.0194928874193487e-8,7.99574868006846e-9,-1.9925255594790016e-8,-8.916175513138004e-9
23.0,3.4433919364668986e-7,3.4433919364668986e-7,3.4433919364668986e-7,3.4433919364668986e-7,3.75103647276899e-7,3.75103647276899e-7,3.4646000898932175e-7,3.4646000898932175e-7,3.488916969851926e-7,3.488916969851926e-7,3.488916969851926e-7,3.488916969851926e-7,-2.18233558301306e-8,-9.737395922990956e-9,1.2302974393569452e-9,-9.157996157018513e-9,-9.880777910019726e-9,1.1798144555264321e-8,-5.26014007305842e-9,-8.195855731770973e-9,-3.238249617211851e-9,9.467311906700803e-9,-9.427176479899522e-9,-2.6591846891023423e-8
24.0,3.613880764697027e-7,3.613880764697027e-7,3.613880764697027e-7,3.3637262873535186e-7,3.5501495019520135e-7,3.5501495019520135e-7,3.5501495019520135e-7,3.2944429574159935e-7,3.6016406537299423e-7,3.6016406537299423e-7,3.6016406537299423e-7,3.2841981262314285e-7,-2.1652052453294768e-8,-1.3837836490943422e-8,2.0701751469170905e-9,-2.7319735288366495e-8,-1.551506309275153e-8,3.1941111878880883e-9,-1.7268387594828603e-8,6.816383143053895e-9,-1.893764854661841e-8,-9.469026440283418e-9,-1.4634531488375582e-8,6.381800270644226e-8
