timestamp,sum_rt,ckt1_MW_bg276,ckt2_MW_bg276,ckt3_MW_bg276,ckt4_MW_bg276,ckt1_MW_a239,ckt2_MW_a239,ckt3_MW_a239,ckt4_MW_a239,ckt1_MW_a139,ckt2_MW_a139,ckt3_MW_a139,ckt4_MW_a139,da_sum,da_feeder,,,,,,,,,,,,
2016-02-06 00:00:00,23.894,2.811,1.842,2.181,1.325,1.868,3.018,1.726,2.684,1.197,1.218,2.124,1.9,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:05:00,23.754,2.797,1.838,2.167,1.318,1.852,3.004,1.711,2.671,1.185,1.211,2.112,1.888,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:10:00,23.62,2.783,1.835,2.153,1.31,1.837,2.992,1.699,2.658,1.173,1.204,2.1,1.876,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:15:00,23.493,2.769,1.831,2.141,1.303,1.823,2.981,1.687,2.645,1.162,1.198,2.088,1.865,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:20:00,23.373,2.756,1.826,2.128,1.296,1.81,2.972,1.677,2.633,1.152,1.192,2.077,1.854,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:25:00,23.256,2.743,1.822,2.117,1.288,1.798,2.964,1.667,2.62,1.142,1.186,2.066,1.843,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:30:00,23.149,2.731,1.818,2.105,1.282,1.787,2.957,1.659,2.608,1.133,1.181,2.055,1.833,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:35:00,23.048,2.719,1.814,2.095,1.275,1.778,2.951,1.652,2.597,1.124,1.176,2.044,1.823,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:40:00,22.952,2.709,1.809,2.084,1.268,1.769,2.946,1.645,2.586,1.116,1.172,2.034,1.814,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
2016-02-06 00:45:00,22.863,2.699,1.805,2.075,1.262,1.761,2.942,1.639,2.575,1.108,1.168,2.024,1.805,23.32,2.69,1.70,2.12,1.70,1.89,2.96,1.71,2.66,1.17,1.27,2.02,2.02,1.82
