Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,2.627432335993361,0.06825893801332933,0.19524095796073837,0.1736390117350268,0.08332670604590078,0.0,0.0,21.660603943478485,69.60965502999599,2.0,5344.96261528562,5343.069026294792,0.009734715786416959,7.2115070466144555,-0.00551490910273643
feeder2,1.5592436756993584,0.08825,0.1224296182547407,0.17363901173502572,0.08332670604590078,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,5342.6919684879085,0.01401158645770214,8.65245141208592,-0.0060746078592364494
feeder3,1.954450837473939,-0.1095,0.1522224564801437,0.1736390117740308,0.08332670604591735,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,5342.672994143435,0.006289708340590657,5.796645484778108,-0.0014508044511543526
feeder4,1.069087918242808,-0.0623,0.09358537571127547,0.17363901177227928,0.08332670604591662,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder5,1.5822000440209563,0.03315414977436862,0.1324732561915436,0.17363858069465435,0.08332669978750012,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder6,3.088471077089422,0.1696,0.2202022231221521,0.1736385828687571,0.08332669978842573,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder7,1.508961889063734,-0.08565,0.12071141114877379,0.17363858067643687,0.08332669978749237,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder8,2.4709583680930782,-0.13725,0.1907149321188263,0.17363858209347896,0.08332669978809565,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder9,0.9361804937247347,0.03062449006216439,0.08249279782559071,0.17363925168149755,0.08332670844967466,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder10,1.0766722834011793,-0.0627,0.09400100815219749,0.1736392445541915,0.08332670844662324,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder11,2.0934566715768215,0.11630000000000001,0.14921661997350827,0.17363925167129665,0.0833267084496703,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
feeder12,1.689083604383706,-0.09515000000000001,0.1305896871704681,0.1736392426915852,0.08332670844582576,0.0,0.0,21.660603943478485,69.60965502999599,2.0,0.0,0.0,0.0,0.0,0.0
