Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,-0.37526899718465073,0.04851801449686588,3.7502689998472674,0.24999998506067125,-26626166196890813e-25,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder2,-0.18766928377901565,0.10820000000000002,2.3516692864416324,0.24999998506067125,-2662616619751676e-24,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder3,-0.18394014118562624,-0.137,2.923940143848243,0.24999998506067125,-26626166197786927e-25,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder4,-0.0746193712896925,-0.08615,1.7976193739523092,0.24999998506067125,-26626166197583866e-25,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder5,-0.2746056753922787,-0.005564219827463496,2.544605684442862,0.2499999838969789,-9050583468187968e-24,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder6,0.03328164265781205,0.21315,4.229718366392771,0.2499999838969789,-905058346827667e-23,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder7,-0.17166537738344792,-0.10735,2.318665386434031,0.2499999838969789,-9050583468255805e-24,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder8,-0.31031655374755157,-0.16765000000000002,3.6633165627981352,0.2499999838969789,-9050583468230571e-24,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder9,-0.25447385949638684,0.016416006092515326,1.5494738687566443,0.24999998428544767,-9260257516793824e-24,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder10,-0.08261727273981172,-0.08415,1.7656172820000693,0.24999998428544767,-9260257516825174e-24,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder11,-0.1267299631704048,0.1338,2.8027299724306625,0.24999998428544767,-9260257516847892e-24,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
feeder12,-0.24586100841991415,-0.11035,2.4528610176801715,0.24999998428544767,-926025751687274e-23,0,-2.2544358115426495,-6.977478836724501,3.2662580013275146
