Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,2.894333146415054,0.07287470059910903,0,0.091,-0.08333314641505375,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder2,1.9253331459240213,0.09210000000000002,0,0.0942,-0.08333314592402127,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder3,2.2643331336923365,-0.10905000000000001,0,0.1434,-0.08333313369233646,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder4,1.4083331348365216,-0.06625,0,0.1402,-0.08333313483652163,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder5,1.951333135880478,0.05496643409159435,0,0.1382,-0.08333313588047786,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder6,3.1013330722411223,0.1509,0,0.2144,-0.08333307224112271,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder7,1.8093331415050156,-0.0863,0,0.1192,-0.08333314150501567,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder8,2.7673331099396776,-0.1342,0,0.1813,-0.08333310993967752,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder9,1.2803331354413678,0.041051892574178954,0,0.1355,-0.0833331354413677,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder10,1.3013331533635688,-0.0609,0,0.0664,-0.08333315336356875,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder11,2.207333141033654,0.10620000000000002,0,0.1182,-0.08333314103365391,0,22.898906355466536,79.63094685113488,3.067161798477173
feeder12,1.9833331537311243,-0.095,0,0.058,-0.08333315373112439,0,22.898906355466536,79.63094685113488,3.067161798477173
