Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,3.910993127569839,0.14328354583045755,-0.0,0.2499992930464723,6.872430161007651e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder2,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.8724301612182e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder3,3.128993127569839,-0.15645,-0.0,0.24999929304647234,6.872430161174015e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder4,1.8719931275698392,-0.09360000000000002,-0.0,0.2499992930464723,6.87243016101992e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder5,2.9479931375119706,0.10315776473207827,-0.0,0.24999929465145454,6.862488029567586e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder6,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029504971e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder7,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.8624880295297366e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder8,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029545107e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder9,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder10,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder11,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder12,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder13,3.9109931275698386,0.14328354585755254,-0.0,0.24999929304647234,6.872430161217406e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder14,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.8724301612327495e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder15,3.1289931275698386,-0.15645,-0.0,0.24999929304647234,6.872430161212945e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder16,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161172383e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder17,2.9479931375119706,0.10315776473207827,-0.0,0.24999929465145454,6.862488029567586e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder18,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029504971e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder19,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.8624880295297366e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder20,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029545107e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder21,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder22,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder23,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder24,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder25,3.9109931275698386,0.14328354585476832,-0.0,0.24999929304647234,6.872430161219654e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder26,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.872430161194844e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder27,3.128993127569839,-0.15645,-0.0,0.2499992930464723,6.8724301610456696e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder28,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161204674e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder29,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder30,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029525055e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder31,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.862488029567071e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder32,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029581164e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder33,1.876993131421706,0.07873712480577003,-0.0,0.24999929210650604,6.868578294003477e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder34,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.868578294008004e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder35,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294006349e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder36,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.868578294011582e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder37,3.9109931275698386,0.14328354581019226,-0.0,0.24999929304647234,6.87243016125057e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder38,2.192993127569839,0.10965000000000001,-0.0,0.2499992930464723,6.872430161014615e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder39,3.1289931275698386,-0.15645,-0.0,0.24999929304647234,6.872430161228491e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder40,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161198577e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder41,2.9479931375119706,0.10315776483542927,-0.0,0.24999929465145454,6.862488029546033e-6,0,2818.4235493466317,12105.129144443783,122.422
