Without,With
110.375,140.56735209037583
121.578,125.78907356795669
104.75,126.56408881059298
88.61,130.22464315883008
104.485,144.68069596648309
99.422,121.7247008383874
119.765,157.51893547699373
111,158.0684417948016
96.922,109.5632255695822
86.891,108.83716858103661
95.766,128.15206157062312
98.375,133.435756909536
127.375,159.01320586227476
107.922,147.72150371667192
103.812,140.65955263086366
119.563,126.2820133310613
114.391,131.6338840742392
113.843,143.97923574487456
128.562,181.02165932328316
115.344,166.7760214739277
108.672,154.54564188628456
112.313,135.3555556512667
135.328,176.22298546069482
102.938,132.07264342432262
147.031,159.46180320168898
122.078,144.77257737812033
117.813,154.20689967315087
118.5,188.58537911652746
102.016,125.77297830777638
95.328,110.1753102280461
113.891,113.85678611395863
99.672,101.84307889394718
89.734,100.71417629078357
101.329,165.07374971412378
108.938,96.44588628458771
84.968,111.60429857663252
121.859,186.03938521347828
117.172,119.9701534645983
124.719,136.383526127038
121.047,191.83833406389545
115.953,115.95740714313807
111.328,136.88387620629692
161.61,170.88128910983525
110.891,132.47783545091076
114.578,120.56941278259232
100.75,107.97827061145149
97.406,82.94217275320001
118.687,127.14926367188804
109.047,135.6754979492415
159.203,162.50333214692313
97.64,101.31302420375951
102.016,118.44312955346936
128.593,141.64265159102152
108.984,137.9290588806684
127.297,156.2446173112453
116.109,152.13054014183197
83.265,119.88066847015509
97.656,103.90691273012388
106,158.7970591419924
114.328,140.62959791975942
135.265,178.86254256391848
114.922,132.96715524321291
146.906,153.0553844229554
148.078,163.98786916339378
107.812,147.33061495918284
106.531,150.3905853719122
103.188,110.23615546893409
115.078,135.2956536432069
105.579,122.9580666125895
93.156,101.01068888899184
95.657,66.9946983374685
90.125,151.2374811770148
112.016,157.31135768387887
120.094,176.95855146158902
104.766,139.79200459412183
102.015,112.91730122275013
98.312,113.35793758012107
105.906,109.49510600048488
102.156,92.34823455079416
141.937,133.29787195824915
90.594,90.45615080967173
111.563,135.43057841254148
78.672,93.18591868568225
94.406,144.87998410176584
106.281,132.21153179484193
123.688,194.8885792275263
107.547,97.56082126540753
99.282,80.35820966861283
94.047,93.42691251313093
98.828,129.11751720577809
118.047,144.60670631037385
118.578,151.4616761445864
95.156,112.2962255518666
138.14,174.85567658888164
91.093,124.63048858628966
92.047,133.6521919855875
128.109,170.96583795310664
120.703,183.52161829582437
128.718,148.33398489588114
131.391,150.54634692592177
128.579,144.44953145795387
154.687,168.63280459094628
127.219,138.945703654602
122.531,159.34596217858194
159.25,135.62119549662214
144.156,209.36599613651487
110.296,135.88474997796607
111.25,156.6731648561448
138.438,164.74638779216968
124.328,153.6032339174162
117.563,144.41315754669557
111.516,127.6589004913468
100.75,109.59771199938031
107.125,127.58231332999381
102.703,128.3023576019024
124.469,143.20879083440482
103.578,141.90473534602378
103.078,92.94214661016107
103.468,143.66580848551274
93.781,64.1204224272137
158.032,171.23531097271842
136.766,185.89543623544128
112.515,146.25709281704889
143.969,164.84224259547253
144.828,177.5611071845492
111.704,125.46753868545949
100.828,140.1564534629428
87.734,115.55972673920623
91.969,83.13203121873038
88.297,99.23628710102557
89.922,106.00220826719213
97.938,132.44734256558957
111.282,135.34459498270098
182.516,170.61681384484936
121.157,120.83496016888613
128.078,136.65499468101302
134.969,149.87831124062254
143.11,179.64068276446474
119.734,136.69081497030604
118.828,138.1525765018627
131.313,140.41001168307668
115.25,147.2596124316395
125.453,102.57212716023206
138.61,161.88331652882007
184.203,227.25546709652747
172.328,195.34831971634324
124.297,127.19160478805257
185.813,226.64928469689946
132.922,142.60593219727795
120.218,124.66255558589087
152.844,180.74141395625642
131.125,157.08538639836104
127.032,142.00605073165605
126.125,148.96081508158935
103.891,128.3288457512125
120.546,181.34450075368426
169.157,170.63603012620285
158.203,159.63455995486675
142.078,177.1802854997925
155.609,158.86695936950989
117.234,137.04210926951663
121.953,170.75042414883637
93.453,109.51979287096819
106.594,108.89715573999864
132.25,196.13553234196257
109.078,118.35685977318965
127.219,173.2105666152459
86.859,102.29649019775289
137.688,120.33988525512908
134.844,208.7506735506297
116.156,139.70147408968643
114.031,153.9424710228496
107.703,118.4767398095556
153.438,193.86997931272236
119.359,134.32774904796807
136.985,169.91913776779282
108.891,129.6154552038045
112.954,121.21598650498441
113.594,147.4045990927545
125.641,145.49230381255
147.219,175.95630760524054
132.453,174.8562775565291
117.407,159.49295663801234
112.906,137.98201801196745
110.25,115.03224363657449
118.953,158.01821522854544
100.765,145.12137762209798
135.891,125.65333562118292
119.141,149.4881000221535
108.344,146.54633374212932
98.734,144.83349498983378
99,85.29336719873531
126.359,170.59815949800623
135,149.27952901276916
108.156,136.51036164712403
107.453,116.87815129229648
109.234,130.50871232207
129.031,182.4637264058606
109.609,123.70419179321037
120.125,140.8241818703649
93.375,107.19121401388969
88.375,118.12324629951266
119.468,157.56438307813136
83.266,75.59476736751745
126.422,158.40760256210186
137.016,189.01503477630143
175.156,215.1809035983742
120.656,112.11124389162283
114.062,115.68265885545814
123.297,145.1994550480889
126.437,156.15364873554148
118.578,151.28239261510927
94.11,94.09332758262013
124.828,148.53740027370696
93.187,98.11975989322342
111.75,106.40777010029431
111.063,153.4705628049416
116.875,169.48233153103746
109.485,126.75042445183826
107.156,126.93634018815465
97.484,104.13113275712722
98.75,124.66104237244707
100.953,151.72560117501666
111.672,138.24137063996648
97.578,145.83394954053784
107.39,123.98365813396617
108.719,128.87572638709725
91.546,102.49945260154803
111.719,147.87226773323079
122.422,125.22943537422786
114.047,149.7328308593119
110.375,127.91707632274017
108.515,122.66724334690099
101.812,114.38712109885465
100.906,105.01251879879308
114.172,169.58565428480054
110.968,116.88800018870809
99.781,131.9107100615741
88.515,119.24640337455396
95.75,139.96146426367955
111.641,135.9870497657098
120.703,170.2363453181834
120.187,157.13822209665022
110.156,132.9883195419436
121.296,130.59136402443562
134.438,138.34252519799327
114.297,150.94436708735338
107.406,106.5367549878464
91.047,122.69415719789018
94.64,119.56118272629001
108.594,147.85363285534558
106.25,132.07137376240962
112.828,161.2504524933222
120.25,139.94220370511977
139.797,119.55879467096166
108.203,128.99744749315806
114.75,134.51665319138758
124.938,138.95536433507007
115.625,179.662340514928
109.125,143.42543920760454
88.359,174.92759871285133
101.656,117.02652571698599
89.922,102.21616662831511
89.485,94.07986050645104
118.797,133.27666441053452
123.422,124.60881456647054
132.421,176.7103915915894
133.296,132.16502357098722
107.703,148.4770282334669
104.375,122.43859864750826
117.907,159.2979751263885
96.625,119.52618304136202
98.39,142.38435612526482
113.375,136.49705871827382
129.125,160.39603722205908
104.875,120.64719167951556
133.75,158.45855727805525
116.031,132.97413355531066
108.156,148.1249634647865
121.89,156.5136787623254
122.5,178.4322937375881
126.64,124.86062863107126
109.484,139.7460293378548
97.922,124.09881382054351
102.64,86.99553910403895
93.437,110.6710956747779
86.375,118.64721579222784
97,105.46216531029542
