id,f,t,kind,status,R,X,B,tap,shift,tap_min,tap_max,rateA,rateB,rateC,bus_reg
1,64,68,TR_LINE,1,0.00074,0.01310,0.24700,1.00,0.00,,,2390.00,2390.00,2390.00,
2,64,69,TR_LINE,1,0.00036,0.00587,0.11070,1.00,0.00,,,2390.00,2390.00,2390.00,
4,64,4,TR_LINE,1,0.00034,0.00632,0.11748,1.00,0.00,,,1918.00,2115.00,2390.00,
6,65,1,TR_LINE,1,0.00007,0.00036,0.32000,1.00,0.00,,,687.00,747.00,747.00,
7,53,65,FT_XFMR,1,0.00041,0.02140,0.00000,0.98,0.00,,,720.00,894.00,1008.00,
8,66,67,TR_LINE,1,0.00017,0.00253,0.37200,1.00,0.00,,,777.00,837.00,837.00,
9,66,18,CTRL_V,1,0.00000,0.03100,0.00000,0.98,0.00,0.90,1.03,506.00,587.00,671.00,18
10,52,66,FT_XFMR,1,0.00041,0.02140,0.00000,0.98,0.00,,,720.00,894.00,1008.00,
11,67,68,TR_LINE,1,0.00010,0.00222,0.05300,1.00,0.00,,,1918.00,2121.00,2691.00,
12,67,1,TR_LINE,1,0.00011,0.00217,0.05200,1.00,0.00,,,1976.00,2384.00,2895.00,
13,67,79,TR_LINE,1,0.00009,0.00189,0.04280,1.00,0.00,,,1919.00,2121.00,2692.00,
14,68,69,TR_LINE,1,0.00045,0.00799,0.15067,1.00,0.00,,,2390.00,2390.00,2390.00,
15,68,2,TR_LINE,1,0.00014,0.00250,0.05000,1.00,0.00,,,1685.00,2121.00,2387.00,
16,68,3,TR_LINE,1,0.00014,0.00250,0.05000,1.00,0.00,,,1918.00,2121.00,2579.00,
17,68,14,CTRL_V,1,0.00000,0.02730,0.00000,0.98,0.00,0.90,1.10,451.00,546.00,619.00,14
18,68,14,CTRL_V,1,0.00000,0.02730,0.00000,1.10,0.00,0.90,1.10,451.00,546.00,619.00,14
19,69,17,CTRL_V,1,0.00000,0.03400,0.00000,1.06,0.00,0.95,1.25,562.00,652.00,746.00,17
20,70,4,TR_LINE,1,0.00096,0.01656,0.27410,1.00,0.00,,,1786.00,1793.00,1793.00,
21,1,19,CTRL_V,1,0.00000,0.02910,0.00000,0.95,0.00,0.90,1.03,501.00,607.00,688.00,19
22,4,16,CTRL_V,1,0.00000,0.03540,0.00000,1.02,0.00,0.95,1.25,562.00,652.00,707.00,16
23,5,15,TR_LINE,1,0.00560,0.03100,0.00000,1.00,0.00,,,313.00,343.00,357.00,
24,5,17,TR_LINE,1,0.00160,0.00900,0.00000,1.00,0.00,,,313.00,343.00,357.00,
25,6,40,TR_LINE,1,0.02300,0.05100,0.00000,1.00,0.00,,,157.00,171.00,178.00,
26,6,51,TR_LINE,1,0.01256,0.04170,0.00000,1.00,0.00,,,157.00,171.00,178.00,
27,6,54,TR_LINE,1,0.00200,0.01000,0.00000,1.00,0.00,,,157.00,171.00,178.00,
28,7,9,TR_LINE,1,0.00117,0.00885,0.00000,1.00,0.00,,,507.00,531.00,556.00,
29,7,13,TR_LINE,1,0.00170,0.01040,0.00320,1.00,0.00,,,313.00,343.00,357.00,
30,7,19,TR_LINE,1,0.00410,0.02510,0.01200,1.00,0.00,,,313.00,343.00,357.00,
31,7,24,CTRL_V,1,0.00000,0.03940,0.00000,1.00,0.00,0.93,1.03,231.00,287.00,316.00,24
32,7,61,TR_LINE,1,0.00400,0.02600,0.00000,1.00,0.00,,,251.00,276.00,287.00,
33,8,18,TR_LINE,1,0.00240,0.02060,0.01100,1.00,0.00,,,420.00,460.00,479.00,
35,8,60,TR_LINE,1,0.00098,0.00845,0.00000,1.00,0.00,,,262.00,300.00,317.00,
36,9,46,TR_LINE,1,0.00117,0.00685,0.00000,1.00,0.00,,,507.00,531.00,556.00,
37,10,14,TR_LINE,1,0.00080,0.00750,0.00141,1.00,0.00,,,208.00,256.00,294.00,
