id,bus,name,kind,P,Q,status,Qmin,Qmax,Vsp,fracS,fracY,bus_reg
1,2,south_mahwah_345kV_1,LOAD,271.72,-230.93,1,0,0,,1,0,2
2,2,39_2_13,LOAD,2.6,0.43,1,0,0,,1,0,2
3,3,south_mahwah_345kV_2,LOAD,242.79,-225.78,1,0,0,,1,0,3
4,3,39_1_13,LOAD,4.6,1.2,1,0,0,,1,0,3
5,3,39_4_13,LOAD,5.3,1.2,1,0,0,,1,0,3
6,5,chester_138kV_1,LOAD,2.45,0.7,1,0,0,,1,0,5
7,5,chester_138kV_2,LOAD,2.45,0.7,1,0,0,,1,0,5
8,5,chester_138kV_3,LOAD,2.45,0.7,1,0,0,,1,0,5
9,5,chester_138kV_4,LOAD,2.45,0.7,1,0,0,,1,0,5
10,5,chester_138kV_5,LOAD,2.45,0.7,1,0,0,,1,0,5
11,5,chester_138kV_6,LOAD,2.45,0.7,1,0,0,,1,0,5
12,5,chester_138kV_7,LOAD,2.45,0.7,1,0,0,,1,0,5
13,5,chester_138kV_8,LOAD,2.45,0.7,1,0,0,,1,0,5
14,6,silver_lake_69kV_1,LOAD,3.4,0.63,1,0,0,,1,0,6
15,6,silver_lake_69kV_2,LOAD,3.4,0.63,1,0,0,,1,0,6
16,6,silver_lake_69kV_3,LOAD,3.4,0.63,1,0,0,,1,0,6
17,6,silver_lake_69kV_4,LOAD,3.4,0.63,1,0,0,,1,0,6
18,6,silver_lake_69kV_5,LOAD,3.4,0.63,1,0,0,,1,0,6
19,6,silver_lake_69kV_6,LOAD,3.4,0.63,1,0,0,,1,0,6
20,6,silver_lake_69kV_7,LOAD,3.4,0.63,1,0,0,,1,0,6
21,7,burns_138kV_1,LOAD,4.45,1.68,1,0,0,,1,0,7
22,7,burns_138kV_2,LOAD,4.45,1.68,1,0,0,,1,0,7
23,7,burns_138kV_3,LOAD,4.45,1.68,1,0,0,,1,0,7
24,7,burns_138kV_4,LOAD,4.45,1.68,1,0,0,,1,0,7
25,7,burns_138kV_5,LOAD,4.45,1.68,1,0,0,,1,0,7
26,7,burns_138kV_6,LOAD,4.45,1.68,1,0,0,,1,0,7
27,7,burns_138kV_7,LOAD,4.45,1.68,1,0,0,,1,0,7
28,7,burns_138kV_8,LOAD,4.45,1.68,1,0,0,,1,0,7
29,8,congers_138kV_1,LOAD,3.05,0.29,1,0,0,,1,0,8
30,8,congers_138kV_2,LOAD,3.05,0.29,1,0,0,,1,0,8
31,8,congers_138kV_3,LOAD,3.05,0.29,1,0,0,,1,0,8
32,8,congers_138kV_4,LOAD,3.05,0.29,1,0,0,,1,0,8
33,8,congers_138kV_5,LOAD,3.05,0.29,1,0,0,,1,0,8
34,8,congers_138kV_6,LOAD,3.05,0.29,1,0,0,,1,0,8
35,8,congers_138kV_7,LOAD,3.05,0.29,1,0,0,,1,0,8
36,8,congers_138kV_8,LOAD,3.05,0.29,1,0,0,,1,0,8
37,9,monsey_138kV_1,LOAD,4.67,1.12,1,0,0,,1,0,9
38,9,monsey_138kV_2,LOAD,4.67,1.12,1,0,0,,1,0,9
39,9,monsey_138kV_3,LOAD,4.67,1.12,1,0,0,,1,0,9
40,9,monsey_138kV_4,LOAD,4.67,1.12,1,0,0,,1,0,9
41,9,monsey_138kV_5,LOAD,4.67,1.12,1,0,0,,1,0,9
42,9,monsey_138kV_6,LOAD,4.67,1.12,1,0,0,,1,0,9
43,12,stony_point_138kV_1,LOAD,2.93,0.64,1,0,0,,1,0,12
44,12,stony_point_138kV_2,LOAD,2.93,0.64,1,0,0,,1,0,12
45,12,stony_point_138kV_3,LOAD,2.93,0.64,1,0,0,,1,0,12
46,12,stony_point_138kV_4,LOAD,2.93,0.64,1,0,0,,1,0,12
47,12,stony_point_138kV_5,LOAD,2.93,0.64,1,0,0,,1,0,12
48,12,stony_point_138kV_6,LOAD,2.93,0.64,1,0,0,,1,0,12
49,13,new_hempstead_138kV_1,LOAD,3.77,0.61,1,0,0,,1,0,13
50,13,new_hempstead_138kV_2,LOAD,3.77,0.61,1,0,0,,1,0,13
51,13,new_hempstead_138kV_3,LOAD,3.77,0.61,1,0,0,,1,0,13
52,13,new_hempstead_138kV_4,LOAD,3.77,0.61,1,0,0,,1,0,13
53,13,new_hempstead_138kV_5,LOAD,3.77,0.61,1,0,0,,1,0,13
54,13,new_hempstead_138kV_6,LOAD,3.77,0.61,1,0,0,,1,0,13
55,13,new_hempstead_138kV_7,LOAD,3.77,0.61,1,0,0,,1,0,13
56,13,new_hempstead_138kV_8,LOAD,3.77,0.61,1,0,0,,1,0,13
57,13,new_hempstead_138kV_9,LOAD,3.77,0.61,1,0,0,,1,0,13
58,13,new_hempstead_138kV_10,LOAD,3.77,0.61,1,0,0,,1,0,13
59,14,ramapo_138kV,LOAD,56.69,79.52,1,0,0,,1,0,14
60,19,west_haverstraw_138kV_1,LOAD,4.05,1.1,1,0,0,,1,0,19
61,19,west_haverstraw_138kV_2,LOAD,4.05,1.1,1,0,0,,1,0,19
62,19,west_haverstraw_138kV_3,LOAD,4.05,1.1,1,0,0,,1,0,19
63,19,west_haverstraw_138kV_4,LOAD,4.05,1.1,1,0,0,,1,0,19
64,19,west_haverstraw_138kV_5,LOAD,4.05,1.1,1,0,0,,1,0,19
65,19,west_haverstraw_138kV_6,LOAD,4.05,1.1,1,0,0,,1,0,19
66,19,west_haverstraw_138kV_7,LOAD,4.05,1.1,1,0,0,,1,0,19
67,19,west_haverstraw_138kV_8,LOAD,4.05,1.1,1,0,0,,1,0,19
68,21,UNIDENTIFIED: ROCKSEWR,LOAD,0.82,0.61,1,0,0,,1,0,21
69,22,blooming_grove_69kV_1,LOAD,2.89,0.82,1,0,0,,1,0,22
70,22,blooming_grove_69kV_2,LOAD,2.89,0.82,1,0,0,,1,0,22
71,22,blooming_grove_69kV_3,LOAD,2.89,0.82,1,0,0,,1,0,22
72,22,blooming_grove_69kV_4,LOAD,2.89,0.82,1,0,0,,1,0,22
73,23,blue_lake_69kV_1,LOAD,0.04,0.02,1,0,0,,1,0,23
74,23,blue_lake_69kV_2,LOAD,0.04,0.02,1,0,0,,1,0,23
75,23,blue_lake_69kV_3,LOAD,0.04,0.02,1,0,0,,1,0,23
76,23,blue_lake_69kV_4,LOAD,0.04,0.02,1,0,0,,1,0,23
77,25,UNIDENTIFIED: CEDAR,LOAD,2.04,1.43,1,0,0,,1,0,25
78,27,harriman_69kV_1,LOAD,3.16,0.84,1,0,0,,1,0,27
79,27,harriman_69kV_2,LOAD,3.16,0.84,1,0,0,,1,0,27
80,27,harriman_69kV_3,LOAD,3.16,0.84,1,0,0,,1,0,27
81,27,harriman_69kV_4,LOAD,3.16,0.84,1,0,0,,1,0,27
82,27,harriman_69kV_5,LOAD,3.16,0.84,1,0,0,,1,0,27
83,27,harriman_69kV_6,LOAD,3.16,0.84,1,0,0,,1,0,27
84,27,harriman_69kV_7,LOAD,3.16,0.84,1,0,0,,1,0,27
85,27,harriman_69kV_8,LOAD,3.16,0.84,1,0,0,,1,0,27
86,28,hillburn_69kV_1,LOAD,8.49,1.03,1,0,0,,1,0,28
87,28,hillburn_69kV_2,LOAD,15.72,-9.06,1,0,0,,1,0,28
88,29,hunt_69kV_1,LOAD,3.01,1.06,1,0,0,,1,0,29
89,29,hunt_69kV_2,LOAD,3.01,1.06,1,0,0,,1,0,29
90,29,hunt_69kV_3,LOAD,3.01,1.06,1,0,0,,1,0,29
91,30,UNIDENTIFIED: LAKE RD,LOAD,4.57,1.31,1,0,0,,1,0,30
92,31,UNIDENTIFIED: LOVET69,LOAD,0.72,0.12,1,0,0,,1,0,31
93,32,mongaup_69kV_1,LOAD,0.41,0.19,1,0,0,,1,0,32
94,32,mongaup_69kV_2,LOAD,0.41,0.19,1,0,0,,1,0,32
95,33,monroe_69kV_1,LOAD,3.01,0.35,1,0,0,,1,0,33
96,33,monroe_69kV_2,LOAD,3.01,0.35,1,0,0,,1,0,33
97,33,monroe_69kV_3,LOAD,3.01,0.35,1,0,0,,1,0,33
98,33,monroe_69kV_4,LOAD,3.01,0.35,1,0,0,,1,0,33
99,33,monroe_69kV_5,LOAD,3.01,0.35,1,0,0,,1,0,33
100,33,monroe_69kV_6,LOAD,3.01,0.35,1,0,0,,1,0,33
101,33,monroe_69kV_7,LOAD,3.01,0.35,1,0,0,,1,0,33
102,33,monroe_69kV_8,LOAD,3.01,0.35,1,0,0,,1,0,33
103,33,monroe_69kV_9,LOAD,3.01,0.35,1,0,0,,1,0,33
104,34,nanuet_69kV_1,LOAD,3.47,0.72,1,0,0,,1,0,34
105,34,nanuet_69kV_2,LOAD,3.47,0.72,1,0,0,,1,0,34
106,34,nanuet_69kV_3,LOAD,3.47,0.72,1,0,0,,1,0,34
107,34,nanuet_69kV_4,LOAD,3.47,0.72,1,0,0,,1,0,34
108,34,nanuet_69kV_5,LOAD,3.47,0.72,1,0,0,,1,0,34
109,34,nanuet_69kV_6,LOAD,3.47,0.72,1,0,0,,1,0,34
110,35,orangeburg_69kV_1,LOAD,4.05,1.14,1,0,0,,1,0,35
111,35,orangeburg_69kV_2,LOAD,4.05,1.14,1,0,0,,1,0,35
112,35,orangeburg_69kV_3,LOAD,4.05,1.14,1,0,0,,1,0,35
113,35,orangeburg_69kV_4,LOAD,4.05,1.14,1,0,0,,1,0,35
114,35,orangeburg_69kV_5,LOAD,4.05,1.14,1,0,0,,1,0,35
115,35,orangeburg_69kV_6,LOAD,4.05,1.14,1,0,0,,1,0,35
116,37,ringwood_69kV_1,LOAD,3.88,1.03,1,0,0,,1,0,37
117,37,ringwood_69kV_2,LOAD,3.88,1.03,1,0,0,,1,0,37
118,39,south_goshen_69kV_1,LOAD,4.67,1.12,1,0,0,,1,0,39
119,39,south_goshen_69kV_2,LOAD,4.67,1.12,1,0,0,,1,0,39
120,39,south_goshen_69kV_3,LOAD,4.67,1.12,1,0,0,,1,0,39
121,39,south_goshen_69kV_4,LOAD,4.67,1.12,1,0,0,,1,0,39
122,40,shoemaker_69kV_1,LOAD,3.23,0.63,1,0,0,,1,0,40
123,40,shoemaker_69kV_2,LOAD,3.23,0.63,1,0,0,,1,0,40
124,40,shoemaker_69kV_3,LOAD,3.23,0.63,1,0,0,,1,0,40
125,40,shoemaker_69kV_4,LOAD,3.23,0.63,1,0,0,,1,0,40
126,40,shoemaker_69kV_5,LOAD,3.23,0.63,1,0,0,,1,0,40
127,41,sloatsburg_69kV_1,LOAD,2.24,0.56,1,0,0,,1,0,41
128,41,sloatsburg_69kV_2,LOAD,2.24,0.56,1,0,0,,1,0,41
129,41,sloatsburg_69kV_3,LOAD,2.24,0.56,1,0,0,,1,0,41
130,42,sparkill_69kV_1,LOAD,15.59,2.52,1,0,0,,1,0,42
131,42,sparkill_69kV_2,LOAD,4.45,-4.87,1,0,0,,1,0,42
132,43,sterling_forest_69kV_1,LOAD,1.54,0.66,1,0,0,,1,0,43
133,43,sterling_forest_69kV_2,LOAD,1.54,0.66,1,0,0,,1,0,43
134,45,swinging_bridge_69kV,LOAD,0.14,0.08,1,0,0,,1,0,45
135,46,tallman_138kV_1,LOAD,4.29,0.68,1,0,0,,1,0,46
136,46,tallman_138kV_2,LOAD,4.29,0.68,1,0,0,,1,0,46
137,46,tallman_138kV_3,LOAD,4.29,0.68,1,0,0,,1,0,46
138,46,tallman_138kV_4,LOAD,4.29,0.68,1,0,0,,1,0,46
139,46,tallman_138kV_5,LOAD,4.29,0.68,1,0,0,,1,0,46
140,46,tallman_138kV_6,LOAD,4.29,0.68,1,0,0,,1,0,46
141,46,tallman_138kV_7,LOAD,4.29,0.68,1,0,0,,1,0,46
142,46,tallman_138kV_8,LOAD,4.29,0.68,1,0,0,,1,0,46
143,47,west_nycak_69kV_1,LOAD,24.27,8.4,1,0,0,,1,0,47
144,47,west_nycak_69kV_2,LOAD,1.59,-13.05,1,0,0,,1,0,47
145,48,wisner_69kV_1,LOAD,3.28,0.55,1,0,0,,1,0,48
146,48,wisner_69kV_2,LOAD,3.28,0.55,1,0,0,,1,0,48
147,48,wisner_69kV_3,LOAD,3.28,0.55,1,0,0,,1,0,48
