RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/03/2019 00:00:00",0,0,25.23,22.58
"08/03/2019 00:05:00",0,0,26.43,22.58
"08/03/2019 00:10:00",0,0,26.95,22.58
"08/03/2019 00:15:00",0,0,27.24,22.58
"08/03/2019 00:20:00",0,0,28.81,22.58
"08/03/2019 00:25:00",0,0,27.8,22.58
"08/03/2019 00:30:00",0,0,28.7,22.58
"08/03/2019 00:35:00",0,0,27.4,22.58
"08/03/2019 00:40:00",0,0,27.14,22.58
"08/03/2019 00:45:00",0,0,25.79,22.58
"08/03/2019 00:50:00",0,0,23.08,22.58
"08/03/2019 00:55:00",0,0,23.44,22.58
"08/03/2019 01:00:00",0,0,21.21,21.04
"08/03/2019 01:05:00",0,0,20.35,21.04
"08/03/2019 01:10:00",0,0,20.34,21.04
"08/03/2019 01:15:00",0,0,20.52,21.04
"08/03/2019 01:20:00",0,0,20.52,21.04
"08/03/2019 01:25:00",0,0,20.39,21.04
"08/03/2019 01:30:00",0,0,20.5,21.04
"08/03/2019 01:35:00",0,0,20.5,21.04
"08/03/2019 01:40:00",0,0,20.03,21.04
"08/03/2019 01:45:00",0,0,20.28,21.04
"08/03/2019 01:50:00",0,0,20.27,21.04
"08/03/2019 01:55:00",0,0,19.11,21.04
"08/03/2019 02:00:00",0,0,19.98,19.38
"08/03/2019 02:05:00",0,0,20.03,19.38
"08/03/2019 02:10:00",0,0,19.79,19.38
"08/03/2019 02:15:00",0,0,19.52,19.38
"08/03/2019 02:20:00",0,0,19.52,19.38
"08/03/2019 02:25:00",0,0,17,19.38
"08/03/2019 02:30:00",0,0,20.54,19.38
"08/03/2019 02:35:00",0,0,20,19.38
"08/03/2019 02:40:00",0,0,19.93,19.38
"08/03/2019 02:45:00",0,0,19.98,19.38
"08/03/2019 02:50:00",0,0,19.96,19.38
"08/03/2019 02:55:00",0,0,20.05,19.38
"08/03/2019 03:00:00",0,0,20.04,18.58
"08/03/2019 03:05:00",0,0,19.73,18.58
