RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/15/2019 00:00:00",0,0,24.59,20.78
"08/15/2019 00:05:00",0,0,24.77,20.78
"08/15/2019 00:10:00",0,0,24.77,20.78
"08/15/2019 00:15:00",0,0,23.67,20.78
"08/15/2019 00:20:00",0,0,23.67,20.78
"08/15/2019 00:25:00",0,0,23.61,20.78
"08/15/2019 00:30:00",0,0,23.61,20.78
"08/15/2019 00:35:00",0,0,22.35,20.78
"08/15/2019 00:40:00",0,0,21.55,20.78
"08/15/2019 00:45:00",0,0,20.65,20.78
"08/15/2019 00:50:00",0,0,20.61,20.78
"08/15/2019 00:55:00",0,0,20.57,20.78
"08/15/2019 01:00:00",0,0,20.63,19.55
"08/15/2019 01:05:00",0,0,20.72,19.55
"08/15/2019 01:10:00",0,0,20.61,19.55
"08/15/2019 01:15:00",0,0,20.52,19.55
"08/15/2019 01:20:00",0,0,20.54,19.55
"08/15/2019 01:25:00",0,0,20.52,19.55
"08/15/2019 01:30:00",0,0,20.53,19.55
"08/15/2019 01:35:00",0,0,19.28,19.55
"08/15/2019 01:40:00",0,0,18.68,19.55
"08/15/2019 01:45:00",0,0,19.15,19.55
"08/15/2019 01:50:00",0,0,19.23,19.55
"08/15/2019 01:55:00",0,0,18.23,19.55
"08/15/2019 02:00:00",0,0,18.58,17.9
"08/15/2019 02:05:00",0,0,19.69,17.9
"08/15/2019 02:10:00",0,0,18.73,17.9
"08/15/2019 02:15:00",0,0,18.57,17.9
"08/15/2019 02:20:00",0,0,18.5,17.9
"08/15/2019 02:25:00",0,0,17.37,17.9
"08/15/2019 02:30:00",0,0,17.37,17.9
"08/15/2019 02:35:00",0,0,17.55,17.9
"08/15/2019 02:40:00",0,0,16.59,17.9
"08/15/2019 02:45:00",0,0,20.66,17.9
"08/15/2019 02:50:00",0,0,20.48,17.9
"08/15/2019 02:55:00",0,0,19.73,17.9
"08/15/2019 03:00:00",0,0,19.32,17.04
"08/15/2019 03:05:00",0,0,18.71,17.04
"08/15/2019 03:10:00",0,0,18.47,17.04
"08/15/2019 03:15:00",0,0,18.44,17.04
"08/15/2019 03:20:00",0,0,18.41,17.04
"08/15/2019 03:25:00",0,0,18.39,17.04
"08/15/2019 03:30:00",0,0,18.05,17.04
"08/15/2019 03:35:00",0,0,18.03,17.04
"08/15/2019 03:40:00",0,0,17.98,17.04
"08/15/2019 03:45:00",0,0,18,17.04
"08/15/2019 03:50:00",0,0,17.98,17.04
"08/15/2019 03:55:00",0,0,16.7,17.04
"08/15/2019 04:00:00",0,0,18.39,16.97
"08/15/2019 04:05:00",0,0,18.42,16.97
"08/15/2019 04:10:00",0,0,18.42,16.97
"08/15/2019 04:15:00",0,0,18.39,16.97
"08/15/2019 04:20:00",0,0,18.41,16.97
"08/15/2019 04:25:00",0,0,18.39,16.97
"08/15/2019 04:30:00",0,0,18.4,16.97
"08/15/2019 04:35:00",0,0,18.4,16.97
"08/15/2019 04:40:00",0,0,18.42,16.97
"08/15/2019 04:45:00",0,0,18.47,16.97
"08/15/2019 04:50:00",0,0,18.72,16.97
"08/15/2019 04:55:00",0,0,18.73,16.97
"08/15/2019 05:00:00",0,0,19.73,18.8
"08/15/2019 05:05:00",0,0,20.66,18.8
"08/15/2019 05:10:00",0,0,20.66,18.8
"08/15/2019 05:15:00",0,0,17.28,18.8
"08/15/2019 05:20:00",0,0,18.42,18.8
"08/15/2019 05:25:00",0,0,19.28,18.8
"08/15/2019 05:30:00",0,0,19.3,18.8
"08/15/2019 05:35:00",0,0,20.51,18.8
"08/15/2019 05:40:00",0,0,20.62,18.8
"08/15/2019 05:45:00",0,0,21.6,18.8
"08/15/2019 05:50:00",0,0,20.69,18.8
"08/15/2019 05:55:00",0,0,19.71,18.8
"08/15/2019 06:00:00",0,0,17.86,18.82
"08/15/2019 06:05:00",0,0,17.88,18.82
"08/15/2019 06:10:00",0,0,17.5,18.82
"08/15/2019 06:15:00",0,0,17.44,18.82
"08/15/2019 06:20:00",0,0,19.2,18.82
"08/15/2019 06:25:00",0,0,19.2,18.82
"08/15/2019 06:30:00",0,0,19.2,18.82
"08/15/2019 06:35:00",0,0,20.58,18.82
"08/15/2019 06:40:00",0,0,21.19,18.82
"08/15/2019 06:45:00",0,0,20.77,18.82
"08/15/2019 06:50:00",0,0,21.53,18.82
"08/15/2019 06:55:00",0,0,21.55,18.82
"08/15/2019 07:00:00",0,0,18.77,18.96
"08/15/2019 07:05:00",0,0,17.43,18.96
"08/15/2019 07:10:00",0,0,19.56,18.96
"08/15/2019 07:15:00",0,0,19.56,18.96
"08/15/2019 07:20:00",0,0,18.94,18.96
"08/15/2019 07:25:00",0,0,20.66,18.96
"08/15/2019 07:30:00",0,0,20.78,18.96
"08/15/2019 07:35:00",0,0,20.64,18.96
"08/15/2019 07:40:00",0,0,20.58,18.96
"08/15/2019 07:45:00",0,0,20.51,18.96
"08/15/2019 07:50:00",0,0,17.92,18.96
"08/15/2019 07:55:00",0,0,20.51,18.96
"08/15/2019 08:00:00",0,0,20.49,19.49
"08/15/2019 08:05:00",0,0,20.64,19.49
"08/15/2019 08:10:00",0,0,21.66,19.49
"08/15/2019 08:15:00",0,0,20.66,19.49
"08/15/2019 08:20:00",0,0,20.83,19.49
"08/15/2019 08:25:00",0,0,20.7,19.49
"08/15/2019 08:30:00",0,0,20.83,19.49
