RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/05/2019 00:00:00",0,0,22.53,21.6
"08/05/2019 00:05:00",0,0,21.9,21.6
"08/05/2019 00:10:00",0,0,22.28,21.6
"08/05/2019 00:15:00",0,0,22.03,21.6
"08/05/2019 00:20:00",0,0,22.1,21.6
"08/05/2019 00:25:00",0,0,22.03,21.6
"08/05/2019 00:30:00",0,0,22.9,21.6
"08/05/2019 00:35:00",0,0,22.57,21.6
"08/05/2019 00:40:00",0,0,22.09,21.6
"08/05/2019 00:45:00",0,0,21.99,21.6
"08/05/2019 00:50:00",0,0,21.91,21.6
"08/05/2019 00:55:00",0,0,21.32,21.6
"08/05/2019 01:00:00",0,0,20.58,19.95
"08/05/2019 01:05:00",0,0,19.95,19.95
"08/05/2019 01:10:00",0,0,19.77,19.95
"08/05/2019 01:15:00",0,0,19.77,19.95
"08/05/2019 01:20:00",0,0,19.46,19.95
"08/05/2019 01:25:00",0,0,19.3,19.95
"08/05/2019 01:30:00",0,0,19.3,19.95
"08/05/2019 01:35:00",0,0,18.64,19.95
"08/05/2019 01:40:00",0,0,17.78,19.95
"08/05/2019 01:45:00",0,0,18.63,19.95
"08/05/2019 01:50:00",0,0,18.63,19.95
"08/05/2019 01:55:00",0,0,16.89,19.95
"08/05/2019 02:00:00",0,0,20.74,18.26
"08/05/2019 02:05:00",0,0,20.14,18.26
"08/05/2019 02:10:00",0,0,20.09,18.26
"08/05/2019 02:15:00",0,0,19.76,18.26
"08/05/2019 02:20:00",0,0,19.65,18.26
"08/05/2019 02:25:00",0,0,19.56,18.26
"08/05/2019 02:30:00",0,0,19.54,18.26
"08/05/2019 02:35:00",0,0,19.44,18.26
"08/05/2019 02:40:00",0,0,19.12,18.26
"08/05/2019 02:45:00",0,0,19.13,18.26
"08/05/2019 02:50:00",0,0,19.08,18.26
"08/05/2019 02:55:00",0,0,18.66,18.26
"08/05/2019 03:00:00",0,0,18.79,17.31
"08/05/2019 03:05:00",0,0,18.66,17.31
"08/05/2019 03:10:00",0,0,18.66,17.31
"08/05/2019 03:15:00",0,0,18.75,17.31
"08/05/2019 03:20:00",0,0,18.77,17.31
"08/05/2019 03:25:00",0,0,18.77,17.31
"08/05/2019 03:30:00",0,0,19.05,17.31
"08/05/2019 03:35:00",0,0,19.05,17.31
"08/05/2019 03:40:00",0,0,18.79,17.31
"08/05/2019 03:45:00",0,0,18.66,17.31
"08/05/2019 03:50:00",0,0,15.19,17.31
"08/05/2019 03:55:00",0,0,15.19,17.31
"08/05/2019 04:00:00",0,0,15.09,17.39
"08/05/2019 04:05:00",0,0,15.1,17.39
"08/05/2019 04:10:00",0,0,15.23,17.39
"08/05/2019 04:15:00",0,0,15.09,17.39
"08/05/2019 04:20:00",0,0,15.21,17.39
