time,Pd_MW
"2016-08-01 00:00:00",2.458467
"2016-08-01 00:05:00",2.428429
"2016-08-01 00:10:00",2.397999
"2016-08-01 00:15:00",2.374364
"2016-08-01 00:20:00",2.348339
"2016-08-01 00:25:00",2.32532
"2016-08-01 00:30:00",2.299995
"2016-08-01 00:35:00",2.278989
"2016-08-01 00:40:00",2.258004
"2016-08-01 00:45:00",2.239003
"2016-08-01 00:50:00",2.220994
"2016-08-01 00:55:00",2.203006
"2016-08-01 01:00:00",2.187003
"2016-08-01 01:05:00",2.170995
"2016-08-01 01:10:00",2.15601
"2016-08-01 01:15:00",2.141991
"2016-08-01 01:20:00",2.129009
"2016-08-01 01:25:00",2.114998
"2016-08-01 01:30:00",2.103001
"2016-08-01 01:35:00",2.090992
"2016-08-01 01:40:00",2.076918
"2016-08-01 01:45:00",2.064933
"2016-08-01 01:50:00",2.051891
"2016-08-01 01:55:00",2.041954
"2016-08-01 02:00:00",2.030968
"2016-08-01 02:05:00",2.019978
"2016-08-01 02:10:00",2.008988
"2016-08-01 02:15:00",1.998002
"2016-08-01 02:20:00",1.987015
"2016-08-01 02:25:00",1.976022
"2016-08-01 02:30:00",1.966033
"2016-08-01 02:35:00",1.957043
"2016-08-01 02:40:00",1.947058
"2016-08-01 02:45:00",1.939058
"2016-08-01 02:50:00",1.931068
"2016-08-01 02:55:00",1.923072
"2016-08-01 03:00:00",1.917078
"2016-08-01 03:05:00",1.911071
"2016-08-01 03:10:00",1.907095
"2016-08-01 03:15:00",1.903104
"2016-08-01 03:20:00",1.900992
"2016-08-01 03:25:00",1.898999
"2016-08-01 03:30:00",1.898891
"2016-08-01 03:35:00",1.896906
"2016-08-01 03:40:00",1.894003
"2016-08-01 03:45:00",1.895883
"2016-08-01 03:50:00",1.895893
"2016-08-01 03:55:00",1.896904
"2016-08-01 04:00:00",1.897904
"2016-08-01 04:05:00",1.896995
"2016-08-01 04:10:00",1.900891
"2016-08-01 04:15:00",1.903888
"2016-08-01 04:20:00",1.906899
"2016-08-01 04:25:00",1.909904
"2016-08-01 04:30:00",1.914907
"2016-08-01 04:35:00",1.920908
"2016-08-01 04:40:00",1.927918
"2016-08-01 04:45:00",1.935924
