RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/14/2019 00:00:00",0,0,24.04,20.89
"08/14/2019 00:05:00",0,0,25.58,20.89
"08/14/2019 00:10:00",0,0,28.58,20.89
"08/14/2019 00:15:00",0,0,26.69,20.89
"08/14/2019 00:20:00",0,0,26.66,20.89
"08/14/2019 00:25:00",0,0,25.58,20.89
"08/14/2019 00:30:00",0,0,24.54,20.89
"08/14/2019 00:35:00",0,0,23.93,20.89
"08/14/2019 00:40:00",0,0,23.82,20.89
"08/14/2019 00:45:00",0,0,22.82,20.89
"08/14/2019 00:50:00",0,0,22.21,20.89
"08/14/2019 00:55:00",0,0,21.56,20.89
"08/14/2019 01:00:00",0,0,20.4,19.39
"08/14/2019 01:05:00",0,0,20.4,19.39
"08/14/2019 01:10:00",0,0,19.6,19.39
"08/14/2019 01:15:00",0,0,20.4,19.39
"08/14/2019 01:20:00",0,0,20.95,19.39
"08/14/2019 01:25:00",0,0,20.42,19.39
"08/14/2019 01:30:00",0,0,20.4,19.39
"08/14/2019 01:35:00",0,0,20.28,19.39
"08/14/2019 01:40:00",0,0,19.3,19.39
"08/14/2019 01:45:00",0,0,19.3,19.39
"08/14/2019 01:50:00",0,0,19.3,19.39
"08/14/2019 01:55:00",0,0,19.26,19.39
"08/14/2019 02:00:00",0,0,19.13,17.08
"08/14/2019 02:05:00",0,0,19.61,17.08
"08/14/2019 02:10:00",0,0,18.98,17.08
"08/14/2019 02:15:00",0,0,19.08,17.08
"08/14/2019 02:20:00",0,0,19.1,17.08
"08/14/2019 02:25:00",0,0,18.98,17.08
"08/14/2019 02:30:00",0,0,18.79,17.08
"08/14/2019 02:35:00",0,0,18.35,17.08
"08/14/2019 02:40:00",0,0,17.93,17.08
"08/14/2019 02:45:00",0,0,18.35,17.08
"08/14/2019 02:50:00",0,0,18.43,17.08
"08/14/2019 02:55:00",0,0,18.78,17.08
"08/14/2019 03:00:00",0,0,18.98,16.62
"08/14/2019 03:05:00",0,0,18.93,16.62
"08/14/2019 03:10:00",0,0,18.78,16.62
"08/14/2019 03:15:00",0,0,18.75,16.62
"08/14/2019 03:20:00",0,0,18.78,16.62
"08/14/2019 03:25:00",0,0,18.78,16.62
"08/14/2019 03:30:00",0,0,18.95,16.62
"08/14/2019 03:35:00",0,0,18.93,16.62
"08/14/2019 03:40:00",0,0,18.78,16.62
"08/14/2019 03:45:00",0,0,18.95,16.62
"08/14/2019 03:50:00",0,0,18.93,16.62
"08/14/2019 03:55:00",0,0,18.95,16.62
"08/14/2019 04:00:00",0,0,18.96,16.45
"08/14/2019 04:05:00",0,0,19.63,16.45
"08/14/2019 04:10:00",0,0,18.98,16.45
"08/14/2019 04:15:00",0,0,18.98,16.45
"08/14/2019 04:20:00",0,0,18.98,16.45
"08/14/2019 04:25:00",0,0,19.6,16.45
"08/14/2019 04:30:00",0,0,19,16.45
"08/14/2019 04:35:00",0,0,19.6,16.45
"08/14/2019 04:40:00",0,0,20.07,16.45
"08/14/2019 04:45:00",0,0,20.42,16.45
"08/14/2019 04:50:00",0,0,20.91,16.45
"08/14/2019 04:55:00",0,0,20.93,16.45
"08/14/2019 05:00:00",0,0,20.01,18.75
"08/14/2019 05:05:00",0,0,20.28,18.75
"08/14/2019 05:10:00",0,0,20.43,18.75
"08/14/2019 05:15:00",0,0,21.2,18.75
"08/14/2019 05:20:00",0,0,21.96,18.75
"08/14/2019 05:25:00",0,0,22.04,18.75
"08/14/2019 05:30:00",0,0,22.04,18.75
"08/14/2019 05:35:00",0,0,22.1,18.75
"08/14/2019 05:40:00",0,0,22.17,18.75
"08/14/2019 05:45:00",0,0,22.02,18.75
"08/14/2019 05:50:00",0,0,21.9,18.75
"08/14/2019 05:55:00",0,0,21.84,18.75
"08/14/2019 06:00:00",0,0,21.15,19.36
"08/14/2019 06:05:00",0,0,20.42,19.36
"08/14/2019 06:10:00",0,0,19.54,19.36
"08/14/2019 06:15:00",0,0,18.68,19.36
"08/14/2019 06:20:00",0,0,19.56,19.36
"08/14/2019 06:25:00",0,0,20.21,19.36
"08/14/2019 06:30:00",0,0,21.59,19.36
"08/14/2019 06:35:00",0,0,22.89,19.36
"08/14/2019 06:40:00",0,0,22.91,19.36
"08/14/2019 06:45:00",0,0,22.91,19.36
"08/14/2019 06:50:00",0,0,24.56,19.36
"08/14/2019 06:55:00",0,0,25.29,19.36
"08/14/2019 07:00:00",0,0,21.11,21.08
"08/14/2019 07:05:00",0,0,17.86,21.08
"08/14/2019 07:10:00",0,0,20.35,21.08
"08/14/2019 07:15:00",0,0,20.45,21.08
"08/14/2019 07:20:00",0,0,20.45,21.08
"08/14/2019 07:25:00",0,0,22.22,21.08
"08/14/2019 07:30:00",0,0,22.64,21.08
"08/14/2019 07:35:00",0,0,22.93,21.08
"08/14/2019 07:40:00",0,0,22.95,21.08
"08/14/2019 07:45:00",0,0,22.95,21.08
"08/14/2019 07:50:00",0,0,22.99,21.08
"08/14/2019 07:55:00",0,0,23.92,21.08
"08/14/2019 08:00:00",0,0,22.04,22.55
"08/14/2019 08:05:00",0,0,21.95,22.55
"08/14/2019 08:10:00",0,0,21.95,22.55
"08/14/2019 08:15:00",0,0,21.97,22.55
"08/14/2019 08:20:00",0,0,21.95,22.55
"08/14/2019 08:25:00",0,0,21.93,22.55
"08/14/2019 08:30:00",0,0,22,22.55
"08/14/2019 08:35:00",0,0,23.52,22.55
"08/14/2019 08:40:00",0,0,27.26,22.55
"08/14/2019 08:45:00",0,0,24.48,22.55
"08/14/2019 08:50:00",0,0,27.26,22.55
"08/14/2019 08:55:00",0,0,28.06,22.55
"08/14/2019 09:00:00",0,0,25.69,22.51
"08/14/2019 09:05:00",0,0,25.48,22.51
"08/14/2019 09:10:00",0,0,28.46,22.51
"08/14/2019 09:15:00",0,0,25.48,22.51
"08/14/2019 09:20:00",0,0,25.45,22.51
"08/14/2019 09:25:00",0,0,26.44,22.51
"08/14/2019 09:30:00",0,0,25.13,22.51
"08/14/2019 09:35:00",0,0,25.09,22.51
"08/14/2019 09:40:00",0,0,25.21,22.51
"08/14/2019 09:45:00",0,0,25.79,22.51
"08/14/2019 09:50:00",0,0,28.44,22.51
"08/14/2019 09:55:00",0,0,31.23,22.51
"08/14/2019 10:00:00",0,0,31.23,25.68
"08/14/2019 10:05:00",0,0,31.56,25.68
"08/14/2019 10:10:00",0,0,31.56,25.68
"08/14/2019 10:15:00",0,0,29.4,25.68
"08/14/2019 10:20:00",0,0,26.49,25.68
"08/14/2019 10:25:00",0,0,26.49,25.68
"08/14/2019 10:30:00",0,0,26.38,25.68
"08/14/2019 10:35:00",0,0,26.43,25.68
"08/14/2019 10:40:00",0,0,29.42,25.68
"08/14/2019 10:45:00",0,0,54.05,25.68
"08/14/2019 10:50:00",0,0,139.58,25.68
"08/14/2019 10:55:00",0,0,87,25.68
"08/14/2019 11:00:00",0,0,28.44,26.89
"08/14/2019 11:05:00",0,0,23.4,26.89
"08/14/2019 11:10:00",0,0,26.53,26.89
"08/14/2019 11:15:00",0,0,31.35,26.89
"08/14/2019 11:20:00",0,0,51.49,26.89
"08/14/2019 11:25:00",0,0,54.05,26.89
"08/14/2019 11:30:00",0,0,31.41,26.89
"08/14/2019 11:35:00",0,0,24.93,26.89
"08/14/2019 11:40:00",0,0,25.79,26.89
"08/14/2019 11:45:00",0,0,23.42,26.89
"08/14/2019 11:50:00",0,0,22.6,26.89
"08/14/2019 11:55:00",0,0,21.67,26.89
"08/14/2019 12:00:00",0,0,23.2,27.86
"08/14/2019 12:05:00",0,0,23.61,27.86
"08/14/2019 12:10:00",0,0,23.68,27.86
"08/14/2019 12:15:00",0,0,24.13,27.86
"08/14/2019 12:20:00",0,0,31.2,27.86
"08/14/2019 12:25:00",0,0,31.01,27.86
"08/14/2019 12:30:00",0,0,31.38,27.86
"08/14/2019 12:35:00",0,0,39.81,27.86
"08/14/2019 12:40:00",0,0,34.59,27.86
"08/14/2019 12:45:00",0,0,28.53,27.86
"08/14/2019 12:50:00",0,0,25.1,27.86
"08/14/2019 12:55:00",0,0,28.64,27.86
"08/14/2019 13:00:00",0,0,25.08,29.25
"08/14/2019 13:05:00",0,0,25.77,29.25
"08/14/2019 13:10:00",0,0,25.05,29.25
"08/14/2019 13:15:00",0,0,36.03,29.25
"08/14/2019 13:20:00",0,0,27.8,29.25
"08/14/2019 13:25:00",0,0,26.01,29.25
"08/14/2019 13:30:00",0,0,23.38,29.25
"08/14/2019 13:35:00",0,0,22.77,29.25
"08/14/2019 13:40:00",0,0,22.9,29.25
"08/14/2019 13:45:00",0,0,23.99,29.25
"08/14/2019 13:50:00",0,0,25.03,29.25
"08/14/2019 13:55:00",0,0,24.94,29.25
"08/14/2019 14:00:00",0,0,32.52,29.77
"08/14/2019 14:05:00",0,0,36.09,29.77
"08/14/2019 14:10:00",0,0,62.59,29.77
"08/14/2019 14:15:00",0,0,31.76,29.77
"08/14/2019 14:20:00",0,0,24.48,29.77
"08/14/2019 14:25:00",0,0,23.63,29.77
"08/14/2019 14:30:00",0,0,23.63,29.77
"08/14/2019 14:35:00",0,0,24.98,29.77
"08/14/2019 14:40:00",0,0,29.12,29.77
"08/14/2019 14:45:00",0,0,31.32,29.77
"08/14/2019 14:50:00",0,0,33.58,29.77
"08/14/2019 14:55:00",0,0,33.55,29.77
"08/14/2019 15:00:00",0,0,25.72,29.87
"08/14/2019 15:05:00",0,0,28.02,29.87
"08/14/2019 15:10:00",0,0,23.62,29.87
"08/14/2019 15:15:00",0,0,24.51,29.87
