time,Pd_MW
2008/02/16 00:00,3.549006
2008/02/16 00:05,3.525996
2008/02/16 00:10,3.505001
2008/02/16 00:15,3.481525
2008/02/16 00:20,3.467005
2008/02/16 00:25,3.449998
2008/02/16 00:30,3.433004
2008/02/16 00:35,3.418
2008/02/16 00:40,3.403004
2008/02/16 00:45,3.387999
2008/02/16 00:50,3.373
2008/02/16 00:55,3.358
2008/02/16 01:00,3.343003
2008/02/16 01:05,3.326998
2008/02/16 01:10,3.313306
2008/02/16 01:15,3.293997
2008/02/16 01:20,3.277004
2008/02/16 01:25,3.260004
2008/02/16 01:30,3.242992
2008/02/16 01:35,3.227002
2008/02/16 01:40,3.214218
2008/02/16 01:45,3.195996
2008/02/16 01:50,3.178815
2008/02/16 01:55,3.169005
2008/02/16 02:00,3.157998
2008/02/16 02:05,3.147989
2008/02/16 02:10,3.143142
2008/02/16 02:15,3.133002
2008/02/16 02:20,3.128998
2008/02/16 02:25,3.126002
2008/02/16 02:30,3.125009
2008/02/16 02:35,3.127004
2008/02/16 02:40,3.133127
2008/02/16 02:45,3.139141
2008/02/16 02:50,3.144995
2008/02/16 02:55,3.155997
2008/02/16 03:00,3.17
2008/02/16 03:05,3.187001
2008/02/16 03:10,3.206
2008/02/16 03:15,3.223777
2008/02/16 03:20,3.248998
2008/02/16 03:25,3.272996
2008/02/16 03:30,3.30129
2008/02/16 03:35,3.324003
2008/02/16 03:40,3.349003
2008/02/16 03:45,3.374999
2008/02/16 03:50,3.403389
2008/02/16 03:55,3.424
2008/02/16 04:00,3.446999
2008/02/16 04:05,3.468001
2008/02/16 04:10,3.484513
2008/02/16 04:15,3.505999
2008/02/16 04:20,3.522997
2008/02/16 04:25,3.539001
2008/02/16 04:30,3.553997
2008/02/16 04:35,3.568005
2008/02/16 04:40,3.581996
2008/02/16 04:45,3.593994
2008/02/16 04:50,3.606999
2008/02/16 04:55,3.617998
2008/02/16 05:00,3.629998
2008/02/16 05:05,3.640997
2008/02/16 05:10,3.656652
2008/02/16 05:15,3.665006
2008/02/16 05:20,3.674318
2008/02/16 05:25,3.692997
2008/02/16 05:30,3.709004
2008/02/16 05:35,3.729729
2008/02/16 05:40,3.746
2008/02/16 05:45,3.76523
2008/02/16 05:50,3.794003
2008/02/16 05:55,3.821994
2008/02/16 06:00,3.854002
2008/02/16 06:05,3.890009
2008/02/16 06:10,3.929007
2008/02/16 06:15,3.970002
2008/02/16 06:20,4.010984
2008/02/16 06:25,4.060996
2008/02/16 06:30,4.107997
2008/02/16 06:35,4.161151
2008/02/16 06:40,4.206
2008/02/16 06:45,4.255007
2008/02/16 06:50,4.308301
2008/02/16 06:55,4.351997
2008/02/16 07:00,4.398001
2008/02/16 07:05,4.443
2008/02/16 07:10,4.486002
2008/02/16 07:15,4.526999
2008/02/16 07:20,4.567997
2008/02/16 07:25,4.612617
2008/02/16 07:30,4.651651
2008/02/16 07:35,4.69069
2008/02/16 07:40,4.723999
2008/02/16 07:45,4.763
2008/02/16 07:50,4.802002
2008/02/16 07:55,4.842
2008/02/16 08:00,4.883
2008/02/16 08:05,4.924986
2008/02/16 08:10,4.967005
2008/02/16 08:15,5.010005
2008/02/16 08:20,5.052009
2008/02/16 08:25,5.092998
2008/02/16 08:30,5.131999
2008/02/16 08:35,5.169003
2008/02/16 08:40,5.203997
2008/02/16 08:45,5.235
2008/02/16 08:50,5.263005
2008/02/16 08:55,5.285998
2008/02/16 09:00,5.303994
2008/02/16 09:05,5.317002
2008/02/16 09:10,5.330321
2008/02/16 09:15,5.330002
2008/02/16 09:20,5.331999
2008/02/16 09:25,5.325667
2008/02/16 09:30,5.329001
2008/02/16 09:35,5.326009
2008/02/16 09:40,5.318669
2008/02/16 09:45,5.317685
2008/02/16 09:50,5.323994
2008/02/16 09:55,5.326997
2008/02/16 10:00,5.333994
2008/02/16 10:05,5.345001
2008/02/16 10:10,5.359998
2008/02/16 10:15,5.378004
2008/02/16 10:20,5.4044
2008/02/16 10:25,5.428426
2008/02/16 10:30,5.453448
2008/02/16 10:35,5.475
2008/02/16 10:40,5.502
2008/02/16 10:45,5.535526
2008/02/16 10:50,5.563565
2008/02/16 10:55,5.590581
2008/02/16 11:00,5.616606
2008/02/16 11:05,5.640629
2008/02/16 11:10,5.663656
2008/02/16 11:15,5.68468
2008/02/16 11:20,5.698998
2008/02/16 11:25,5.723719
2008/02/16 11:30,5.741736
2008/02/16 11:35,5.751984
2008/02/16 11:40,5.76701
2008/02/16 11:45,5.781998
2008/02/16 11:50,5.8018
2008/02/16 11:55,5.809007
2008/02/16 12:00,5.82101
2008/02/16 12:05,5.832999
2008/02/16 12:10,5.838156
2008/02/16 12:15,5.855002
2008/02/16 12:20,5.870865
2008/02/16 12:25,5.874008
2008/02/16 12:30,5.88889
2008/02/16 12:35,5.897895
2008/02/16 12:40,5.904906
2008/02/16 12:45,5.911904
2008/02/16 12:50,5.91791
2008/02/16 12:55,5.922915
2008/02/16 13:00,5.927926
2008/02/16 13:05,5.931927
2008/02/16 13:10,5.934932
2008/02/16 13:15,5.936928
2008/02/16 13:20,5.931
2008/02/16 13:25,5.931
2008/02/16 13:30,5.929002
2008/02/16 13:35,5.925006
2008/02/16 13:40,5.914075
2008/02/16 13:45,5.907085
2008/02/16 13:50,5.905001
2008/02/16 13:55,5.888099
2008/02/16 14:00,5.87512
2008/02/16 14:05,5.860134
2008/02/16 14:10,5.843153
2008/02/16 14:15,5.825164
2008/02/16 14:20,5.807182
2008/02/16 14:25,5.788202
2008/02/16 14:30,5.769218
2008/02/16 14:35,5.752246
2008/02/16 14:40,5.73526
2008/02/16 14:45,5.726997
2008/02/16 14:50,5.714999
2008/02/16 14:55,5.706
2008/02/16 15:00,5.700005
2008/02/16 15:05,5.698002
2008/02/16 15:10,5.699003
2008/02/16 15:15,5.704
2008/02/16 15:20,5.710998
2008/02/16 15:25,5.719997
2008/02/16 15:30,5.725269
2008/02/16 15:35,5.737264
2008/02/16 15:40,5.749244
2008/02/16 15:45,5.767989
2008/02/16 15:50,5.781006
2008/02/16 15:55,5.792999
2008/02/16 16:00,5.803996
2008/02/16 16:05,5.813999
2008/02/16 16:10,5.820999
2008/02/16 16:15,5.827003
2008/02/16 16:20,5.832007
2008/02/16 16:25,5.833998
2008/02/16 16:30,5.833998
2008/02/16 16:35,5.826182
2008/02/16 16:40,5.822168
2008/02/16 16:45,5.822004
2008/02/16 16:50,5.818806
2008/02/16 16:55,5.801
2008/02/16 17:00,5.787008
2008/02/16 17:05,5.770003
2008/02/16 17:10,5.751
2008/02/16 17:15,5.729005
2008/02/16 17:20,5.704994
2008/02/16 17:25,5.680007
2008/02/16 17:30,5.651993
2008/02/16 17:35,5.629621
2008/02/16 17:40,5.599598
2008/02/16 17:45,5.569561
2008/02/16 17:50,5.538534
2008/02/16 17:55,5.507503
