RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/02/2019 00:00:00",0,0,20.66,22.23
"08/02/2019 00:05:00",0,0,20.94,22.23
"08/02/2019 00:10:00",0,0,21.54,22.23
"08/02/2019 00:15:00",0,0,21.37,22.23
"08/02/2019 00:20:00",0,0,21.55,22.23
"08/02/2019 00:25:00",0,0,21.54,22.23
"08/02/2019 00:30:00",0,0,22.59,22.23
"08/02/2019 00:35:00",0,0,22.59,22.23
"08/02/2019 00:40:00",0,0,21.56,22.23
"08/02/2019 00:45:00",0,0,20.84,22.23
"08/02/2019 00:50:00",0,0,20.63,22.23
"08/02/2019 00:55:00",0,0,20.58,22.23
"08/02/2019 01:00:00",0,0,21.47,20.91
"08/02/2019 01:05:00",0,0,22.87,20.91
"08/02/2019 01:10:00",0,0,22.63,20.91
"08/02/2019 01:15:00",0,0,22.61,20.91
"08/02/2019 01:20:00",0,0,22.58,20.91
"08/02/2019 01:25:00",0,0,21.76,20.91
"08/02/2019 01:30:00",0,0,21.45,20.91
"08/02/2019 01:35:00",0,0,20.98,20.91
"08/02/2019 01:40:00",0,0,20.86,20.91
"08/02/2019 01:45:00",0,0,20.86,20.91
"08/02/2019 01:50:00",0,0,20.9,20.91
"08/02/2019 01:55:00",0,0,20.83,20.91
"08/02/2019 02:00:00",0,0,21.63,18.43
"08/02/2019 02:05:00",0,0,21.5,18.43
"08/02/2019 02:10:00",0,0,20.9,18.43
"08/02/2019 02:15:00",0,0,20.74,18.43
"08/02/2019 02:20:00",0,0,20.78,18.43
"08/02/2019 02:25:00",0,0,20.74,18.43
"08/02/2019 02:30:00",0,0,20.69,18.43
"08/02/2019 02:35:00",0,0,20.67,18.43
"08/02/2019 02:40:00",0,0,20.61,18.43
"08/02/2019 02:45:00",0,0,20.58,18.43
"08/02/2019 02:50:00",0,0,20.56,18.43
"08/02/2019 02:55:00",0,0,20.41,18.43
"08/02/2019 03:00:00",0,0,20.66,18.1
"08/02/2019 03:05:00",0,0,20.67,18.1
"08/02/2019 03:10:00",0,0,20.63,18.1
"08/02/2019 03:15:00",0,0,20.26,18.1
"08/02/2019 03:20:00",0,0,20.03,18.1
"08/02/2019 03:25:00",0,0,20.02,18.1
"08/02/2019 03:30:00",0,0,19.89,18.1
"08/02/2019 03:35:00",0,0,19.86,18.1
"08/02/2019 03:40:00",0,0,19.78,18.1
"08/02/2019 03:45:00",0,0,18.41,18.1
"08/02/2019 03:50:00",0,0,18.41,18.1
"08/02/2019 03:55:00",0,0,18.41,18.1
"08/02/2019 04:00:00",0,0,18.51,18.11
"08/02/2019 04:05:00",0,0,19.93,18.11
"08/02/2019 04:10:00",0,0,19.25,18.11
"08/02/2019 04:15:00",0,0,18.43,18.11
"08/02/2019 04:20:00",0,0,18.43,18.11
"08/02/2019 04:25:00",0,0,19.25,18.11
"08/02/2019 04:30:00",0,0,19.89,18.11
"08/02/2019 04:35:00",0,0,18.5,18.11
"08/02/2019 04:40:00",0,0,19.87,18.11
"08/02/2019 04:45:00",0,0,19.89,18.11
"08/02/2019 04:50:00",0,0,20.26,18.11
"08/02/2019 04:55:00",0,0,20.37,18.11
"08/02/2019 05:00:00",0,0,15.69,18.5
"08/02/2019 05:05:00",0,0,16.61,18.5
"08/02/2019 05:10:00",0,0,16.64,18.5
"08/02/2019 05:15:00",0,0,20.63,18.5
"08/02/2019 05:20:00",0,0,20.68,18.5
"08/02/2019 05:25:00",0,0,20.64,18.5
"08/02/2019 05:30:00",0,0,20.51,18.5
"08/02/2019 05:35:00",0,0,20.43,18.5
"08/02/2019 05:40:00",0,0,20.74,18.5
"08/02/2019 05:45:00",0,0,20.71,18.5
"08/02/2019 05:50:00",0,0,20.61,18.5
"08/02/2019 05:55:00",0,0,15.79,18.5
"08/02/2019 06:00:00",0,0,15.59,20.2
"08/02/2019 06:05:00",0,0,16.44,20.2
"08/02/2019 06:10:00",0,0,16.47,20.2
"08/02/2019 06:15:00",0,0,16.08,20.2
"08/02/2019 06:20:00",0,0,16.34,20.2
"08/02/2019 06:25:00",0,0,16.16,20.2
"08/02/2019 06:30:00",0,0,16.53,20.2
"08/02/2019 06:35:00",0,0,18.29,20.2
"08/02/2019 06:40:00",0,0,18.31,20.2
"08/02/2019 06:45:00",0,0,18.33,20.2
"08/02/2019 06:50:00",0,0,18.41,20.2
"08/02/2019 06:55:00",0,0,19.64,20.2
"08/02/2019 07:00:00",0,0,18.46,21.35
"08/02/2019 07:05:00",0,0,18.79,21.35
"08/02/2019 07:10:00",0,0,18.82,21.35
"08/02/2019 07:15:00",0,0,20.27,21.35
"08/02/2019 07:20:00",0,0,20.45,21.35
"08/02/2019 07:25:00",0,0,21.51,21.35
"08/02/2019 07:30:00",0,0,22.59,21.35
"08/02/2019 07:35:00",0,0,22.65,21.35
"08/02/2019 07:40:00",0,0,23.59,21.35
"08/02/2019 07:45:00",0,0,22.56,21.35
"08/02/2019 07:50:00",0,0,22.44,21.35
"08/02/2019 07:55:00",0,0,22.55,21.35
"08/02/2019 08:00:00",0,0,23.81,24.3
"08/02/2019 08:05:00",0,0,25.47,24.3
"08/02/2019 08:10:00",0,0,26.54,24.3
"08/02/2019 08:15:00",0,0,23.91,24.3
"08/02/2019 08:20:00",0,0,23.02,24.3
"08/02/2019 08:25:00",0,0,23.76,24.3
"08/02/2019 08:30:00",0,0,28.89,24.3
"08/02/2019 08:35:00",0,0,27.04,24.3
"08/02/2019 08:40:00",0,0,25.97,24.3
"08/02/2019 08:45:00",0,0,25.47,24.3
"08/02/2019 08:50:00",0,0,25.47,24.3
"08/02/2019 08:55:00",0,0,26.07,24.3
