GML,Layer3,Layer1
-0.02084777589961262,-0.020847775899592164,-0.020847775899592164
-0.039861016231826474,-0.0398610162318068,-0.0398610162318068
-0.03942707607415619,-0.03942707607413582,-0.03942707607413582
-0.02534308553257597,-0.025343085532561906,-0.025343085532561906
-0.0533910963348736,-0.05339109633486147,-0.05339109633486147
-0.07277747791083611,-0.07277747791103908,-0.07277747791103908
-0.06213385214833189,-0.062133852148309944,-0.062133852148309944
-0.06015464719014996,-0.060154647190126136,-0.060154647190126136
-0.060642348008347335,-0.060642348008327046,-0.060642348008327046
-0.056969811348847044,-0.056969811348832,-0.056969811348832
-0.04310583847489102,-0.043105838474872066,-0.043105838474872066
-0.046096746161496505,-0.04609674616147689,-0.04609674616147689
-0.05984240553383913,-0.059842405533818206,-0.059842405533818206
-0.0542056444675143,-0.05420564446749797,-0.05420564446749797
-0.04974333786825014,-0.04974333786823177,-0.04974333786823177
-0.04810585804641513,-0.04810585804638875,-0.04810585804638875
-0.05334042361340452,-0.0533404236133943,-0.0533404236133943
-0.04521871816009737,-0.045218718160077276,-0.045218718160077276
-0.04841947478151809,-0.0484194747814982,-0.0484194747814982
-0.06584362575374314,-0.06584362575371776,-0.06584362575371776
-0.10519802913093157,-0.10519802913090222,-0.10519802913090222
-0.08180488279762566,-0.08180488279762416,-0.08180488279762416
-0.07659145460470618,-0.07659145460469724,-0.07659145460469724
-0.07365603412911303,-0.07365603412911009,-0.07365603412911009
-0.07025974358965748,-0.0702597435896345,-0.0702597435896345
-0.0732207333557684,-0.0732207333558369,-0.0732207333558369
-0.07906171199624867,-0.0790617119962458,-0.0790617119962458
-0.06987170507284945,-0.06987170507283864,-0.06987170507283864
-0.07303432942558796,-0.07303432942558144,-0.07303432942558144
-0.07546526477197135,-0.07546526477196241,-0.07546526477196241
-0.06474097376677834,-0.06474097376675653,-0.06474097376675653
-0.06586909584142904,-0.06586909584149783,-0.06586909584149783
-0.07708633096803386,-0.07708633096803257,-0.07708633096803257
-0.0841165252685363,-0.08411652526851024,-0.08411652526851024
-0.10241006249938045,-0.10241006249935168,-0.10241006249935168
-0.08771350036595194,-0.08771350036591406,-0.08771350036591406
-0.07939746583377993,-0.0793974658337706,-0.0793974658337706
-0.06412106857637734,-0.0641210685764462,-0.0641210685764462
-0.06994524037121574,-0.0699452403712563,-0.0699452403712563
-0.06365728745828858,-0.06365728745835739,-0.06365728745835739
-0.07327792484757079,-0.07327792484756206,-0.07327792484756206
-0.10789365522289218,-0.10789365522286261,-0.10789365522286261
-0.06926789863074068,-0.06926789863073055,-0.06926789863073055
-0.06634942381532594,-0.06634942381532813,-0.06634942381532813
-0.06573335719747762,-0.06573335719754617,-0.06573335719754617
-0.05817907485738005,-0.0581790748573616,-0.0581790748573616
-0.09012785005684543,-0.09012785005681846,-0.09012785005681846
-0.07394781345728774,-0.07394781345728493,-0.07394781345728493
-0.08419384613426484,-0.08419384613425539,-0.08419384613425539
-0.08709298014556488,-0.08709298014556585,-0.08709298014556585
-0.07246012657445156,-0.07246012657460421,-0.07246012657460421
0.04872896921760339,0.04872896921762057,0.04872896921762057
0.049228208574140675,0.0492282085741595,0.0492282085741595
-0.07327974128986514,-0.0732797412901054,-0.0732797412901054
-0.08771360819885077,-0.08771360819881285,-0.08771360819881285
-0.07038899361357442,-0.07038899361355161,-0.07038899361355161
-0.07327974128986514,-0.0732797412901054,-0.0732797412901054
-0.06365728745828858,-0.06365728745835739,-0.06365728745835739
-0.054217757302575054,-0.054217757302556124,-0.054217757302556124
-0.06469318826264536,-0.06469318826262019,-0.06469318826262019
-0.0715204478235163,-0.07152044782349244,-0.07152044782349244
-0.06814834248653856,-0.06814834248657477,-0.06814834248657477
-0.05573351593921605,-0.05573351593920388,-0.05573351593920388
-0.031172492561159615,-0.031172492561142236,-0.031172492561142236
-0.01953986350106951,-0.019539863501049085,-0.019539863501049085
-0.01975693688143232,-0.019756936881412692,-0.019756936881412692
-0.026052665474050052,-0.02605266547403005,-0.02605266547403005
-0.0354194971661157,-0.03541949716609566,-0.03541949716609566
-0.034738023412165475,-0.03473802341214743,-0.03473802341214743
0.0,0.0,0.0
-0.07980457364033189,-0.07980457364030262,-0.07980457364030262
-0.06412106857637734,-0.0641210685764462,-0.0641210685764462
-0.11915664597898012,-0.1191566459790482,-0.1191566459790482
-0.07906171199624867,-0.0790617119962458,-0.0790617119962458
-0.07906171199624867,-0.0790617119962458,-0.0790617119962458
-0.04974333786825014,-0.04974333786823177,-0.04974333786823177
-0.0732797412898647,-0.0732797412901054,-0.0732797412901054
-0.06365728745828858,-0.06365728745835739,-0.06365728745835739
-0.02705473179854634,-0.02705473179852639,-0.02705473179852639
