RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/19/2019 00:00:00",0,0,18.71,23.95
"08/19/2019 00:05:00",0,0,17.46,23.95
"08/19/2019 00:10:00",0,0,16.46,23.95
"08/19/2019 00:15:00",0,0,16.82,23.95
"08/19/2019 00:20:00",0,0,16.38,23.95
"08/19/2019 00:25:00",0,0,15.74,23.95
"08/19/2019 00:30:00",0,0,15.76,23.95
"08/19/2019 00:35:00",0,0,15.25,23.95
"08/19/2019 00:40:00",0,0,15.11,23.95
"08/19/2019 00:45:00",0,0,15.04,23.95
"08/19/2019 00:50:00",0,0,14.82,23.95
"08/19/2019 00:55:00",0,0,14.4,23.95
"08/19/2019 01:00:00",0,0,18.29,21.6
"08/19/2019 01:05:00",0,0,16.07,21.6
"08/19/2019 01:10:00",0,0,15.99,21.6
"08/19/2019 01:15:00",0,0,18.75,21.6
"08/19/2019 01:20:00",0,0,18.55,21.6
"08/19/2019 01:25:00",0,0,18.26,21.6
"08/19/2019 01:30:00",0,0,17.23,21.6
"08/19/2019 01:35:00",0,0,17.05,21.6
"08/19/2019 01:40:00",0,0,16.71,21.6
"08/19/2019 01:45:00",0,0,16.61,21.6
"08/19/2019 01:50:00",0,0,16.59,21.6
"08/19/2019 01:55:00",0,0,15.75,21.6
"08/19/2019 02:00:00",0,0,14.79,19.79
"08/19/2019 02:05:00",0,0,17.17,19.79
"08/19/2019 02:10:00",0,0,15.8,19.79
"08/19/2019 02:15:00",0,0,14.85,19.79
"08/19/2019 02:20:00",0,0,13.64,19.79
"08/19/2019 02:25:00",0,0,13.65,19.79
"08/19/2019 02:30:00",0,0,12.96,19.79
"08/19/2019 02:35:00",0,0,12.97,19.79
"08/19/2019 02:40:00",0,0,13.66,19.79
"08/19/2019 02:45:00",0,0,14.41,19.79
"08/19/2019 02:50:00",0,0,14.92,19.79
"08/19/2019 02:55:00",0,0,14.87,19.79
"08/19/2019 03:00:00",0,0,14.67,18.8
"08/19/2019 03:05:00",0,0,14.67,18.8
"08/19/2019 03:10:00",0,0,14.67,18.8
"08/19/2019 03:15:00",0,0,14.64,18.8
"08/19/2019 03:20:00",0,0,14.63,18.8
"08/19/2019 03:25:00",0,0,14.63,18.8
"08/19/2019 03:30:00",0,0,14.64,18.8
"08/19/2019 03:35:00",0,0,14.62,18.8
"08/19/2019 03:40:00",0,0,14.63,18.8
