time,Pd_MW
0008/05/16 00:00,1.721998
0008/05/16 00:05,1.702997
0008/05/16 00:10,1.684002
0008/05/16 00:15,1.666999
0008/05/16 00:20,1.650004
0008/05/16 00:25,1.63401
0008/05/16 00:30,1.619619
0008/05/16 00:35,1.604008
0008/05/16 00:40,1.591588
0008/05/16 00:45,1.576005
0008/05/16 00:50,1.565564
0008/05/16 00:55,1.553553
0008/05/16 01:00,1.541547
0008/05/16 01:05,1.530532
0008/05/16 01:10,1.520522
0008/05/16 01:15,1.510501
0008/05/16 01:20,1.500507
0008/05/16 01:25,1.491491
0008/05/16 01:30,1.482484
0008/05/16 01:35,1.473481
0008/05/16 01:40,1.464468
0008/05/16 01:45,1.454005
0008/05/16 01:50,1.444989
0008/05/16 01:55,1.435003
0008/05/16 02:00,1.426007
0008/05/16 02:05,1.415996
0008/05/16 02:10,1.405996
0008/05/16 02:15,1.396005
0008/05/16 02:20,1.384613
0008/05/16 02:25,1.374632
0008/05/16 02:30,1.364638
0008/05/16 02:35,1.354651
0008/05/16 02:40,1.345655
0008/05/16 02:45,1.336667
0008/05/16 02:50,1.327672
0008/05/16 02:55,1.319678
0008/05/16 03:00,1.312685
0008/05/16 03:05,1.306696
0008/05/16 03:10,1.302003
0008/05/16 03:15,1.295708
0008/05/16 03:20,1.291998
0008/05/16 03:25,1.289283
0008/05/16 03:30,1.285
0008/05/16 03:35,1.28201
0008/05/16 03:40,1.278992
0008/05/16 03:45,1.276
0008/05/16 03:50,1.275266
0008/05/16 03:55,1.273559
0008/05/16 04:00,1.270276
0008/05/16 04:05,1.266999
0008/05/16 04:10,1.265264
0008/05/16 04:15,1.262
0008/05/16 04:20,1.260255
0008/05/16 04:25,1.257
0008/05/16 04:30,1.253994
0008/05/16 04:35,1.250996
0008/05/16 04:40,1.247754
0008/05/16 04:45,1.244752
0008/05/16 04:50,1.241754
0008/05/16 04:55,1.240005
0008/05/16 05:00,1.235762
0008/05/16 05:05,1.234
0008/05/16 05:10,1.22853
0008/05/16 05:15,1.227771
0008/05/16 05:20,1.223568
0008/05/16 05:25,1.223777
0008/05/16 05:30,1.222786
0008/05/16 05:35,1.222788
0008/05/16 05:40,1.223767
0008/05/16 05:45,1.228001
0008/05/16 05:50,1.231005
0008/05/16 05:55,1.237005
0008/05/16 06:00,1.244001
0008/05/16 06:05,1.254256
0008/05/16 06:10,1.264017
0008/05/16 06:15,1.277272
0008/05/16 06:20,1.290286
0008/05/16 06:25,1.304007
0008/05/16 06:30,1.318987
0008/05/16 06:35,1.336007
0008/05/16 06:40,1.352002
0008/05/16 06:45,1.368999
0008/05/16 06:50,1.386
0008/05/16 06:55,1.404397
0008/05/16 07:00,1.420003
0008/05/16 07:05,1.434561
0008/05/16 07:10,1.452011
0008/05/16 07:15,1.466996
0008/05/16 07:20,1.481997
0008/05/16 07:25,1.496002
0008/05/16 07:30,1.509989
0008/05/16 07:35,1.522997
0008/05/16 07:40,1.536005
0008/05/16 07:45,1.548
