RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/24/2019 00:00:00",0,0,12.16,18.03
"08/24/2019 00:05:00",0,0,10.1,18.03
"08/24/2019 00:10:00",0,0,12.7,18.03
"08/24/2019 00:15:00",0,0,15.03,18.03
"08/24/2019 00:20:00",0,0,12.79,18.03
"08/24/2019 00:25:00",0,0,12.79,18.03
"08/24/2019 00:30:00",0,0,13.28,18.03
"08/24/2019 00:35:00",0,0,13.28,18.03
"08/24/2019 00:40:00",0,0,12.77,18.03
"08/24/2019 00:45:00",0,0,12.68,18.03
"08/24/2019 00:50:00",0,0,12.15,18.03
"08/24/2019 00:55:00",0,0,12.13,18.03
"08/24/2019 01:00:00",0,0,12.15,16.33
"08/24/2019 01:05:00",0,0,12.78,16.33
"08/24/2019 01:10:00",0,0,12.67,16.33
"08/24/2019 01:15:00",0,0,12.65,16.33
"08/24/2019 01:20:00",0,0,12.61,16.33
"08/24/2019 01:25:00",0,0,12.15,16.33
"08/24/2019 01:30:00",0,0,12.15,16.33
"08/24/2019 01:35:00",0,0,12.15,16.33
"08/24/2019 01:40:00",0,0,12.14,16.33
"08/24/2019 01:45:00",0,0,11.78,16.33
"08/24/2019 01:50:00",0,0,11.64,16.33
"08/24/2019 01:55:00",0,0,11.77,16.33
"08/24/2019 02:00:00",0,0,12.69,15.82
"08/24/2019 02:05:00",0,0,12.75,15.82
"08/24/2019 02:10:00",0,0,12.68,15.82
"08/24/2019 02:15:00",0,0,12.71,15.82
"08/24/2019 02:20:00",0,0,12.15,15.82
"08/24/2019 02:25:00",0,0,12.13,15.82
"08/24/2019 02:30:00",0,0,12.14,15.82
"08/24/2019 02:35:00",0,0,11.36,15.82
"08/24/2019 02:40:00",0,0,11.35,15.82
"08/24/2019 02:45:00",0,0,12.12,15.82
"08/24/2019 02:50:00",0,0,12.12,15.82
"08/24/2019 02:55:00",0,0,11.34,15.82
"08/24/2019 03:00:00",0,0,12.12,14.71
"08/24/2019 03:05:00",0,0,12.12,14.71
"08/24/2019 03:10:00",0,0,12.12,14.71
"08/24/2019 03:15:00",0,0,11.34,14.71
"08/24/2019 03:20:00",0,0,10.06,14.71
"08/24/2019 03:25:00",0,0,10.07,14.71
"08/24/2019 03:30:00",0,0,10.07,14.71
"08/24/2019 03:35:00",0,0,10.07,14.71
"08/24/2019 03:40:00",0,0,10.07,14.71
"08/24/2019 03:45:00",0,0,10.07,14.71
"08/24/2019 03:50:00",0,0,10.07,14.71
"08/24/2019 03:55:00",0,0,10.08,14.71
"08/24/2019 04:00:00",0,0,10.07,13.94
"08/24/2019 04:05:00",0,0,11.37,13.94
"08/24/2019 04:10:00",0,0,11.49,13.94
"08/24/2019 04:15:00",0,0,11.37,13.94
"08/24/2019 04:20:00",0,0,11.35,13.94
"08/24/2019 04:25:00",0,0,11.35,13.94
"08/24/2019 04:30:00",0,0,10.08,13.94
"08/24/2019 04:35:00",0,0,10.09,13.94
"08/24/2019 04:40:00",0,0,11.35,13.94
"08/24/2019 04:45:00",0,0,10.08,13.94
"08/24/2019 04:50:00",0,0,10.08,13.94
"08/24/2019 04:55:00",0,0,10.08,13.94
"08/24/2019 05:00:00",0,0,10.08,13.96
"08/24/2019 05:05:00",0,0,10.08,13.96
"08/24/2019 05:10:00",0,0,11.4,13.96
"08/24/2019 05:15:00",0,0,11.49,13.96
"08/24/2019 05:20:00",0,0,12.12,13.96
"08/24/2019 05:25:00",0,0,12.12,13.96
"08/24/2019 05:30:00",0,0,12.12,13.96
"08/24/2019 05:35:00",0,0,12.12,13.96
"08/24/2019 05:40:00",0,0,12.12,13.96
"08/24/2019 05:45:00",0,0,12.12,13.96
"08/24/2019 05:50:00",0,0,10.1,13.96
"08/24/2019 05:55:00",0,0,9.95,13.96
"08/24/2019 06:00:00",0,0,11.49,13.71
"08/24/2019 06:05:00",0,0,12.12,13.71
"08/24/2019 06:10:00",0,0,12.11,13.71
"08/24/2019 06:15:00",0,0,12.14,13.71
"08/24/2019 06:20:00",0,0,12.75,13.71
"08/24/2019 06:25:00",0,0,12.73,13.71
"08/24/2019 06:30:00",0,0,12.28,13.71
"08/24/2019 06:35:00",0,0,12.69,13.71
"08/24/2019 06:40:00",0,0,12.33,13.71
"08/24/2019 06:45:00",0,0,11.83,13.71
"08/24/2019 06:50:00",0,0,12.13,13.71
"08/24/2019 06:55:00",0,0,12.14,13.71
"08/24/2019 07:00:00",0,0,10.1,14.71
"08/24/2019 07:05:00",0,0,10.15,14.71
"08/24/2019 07:10:00",0,0,10.27,14.71
"08/24/2019 07:15:00",0,0,10.11,14.71
"08/24/2019 07:20:00",0,0,12.14,14.71
"08/24/2019 07:25:00",0,0,10.37,14.71
"08/24/2019 07:30:00",0,0,10.37,14.71
"08/24/2019 07:35:00",0,0,10.38,14.71
"08/24/2019 07:40:00",0,0,10.35,14.71
"08/24/2019 07:45:00",0,0,10.37,14.71
"08/24/2019 07:50:00",0,0,12.13,14.71
"08/24/2019 07:55:00",0,0,12.14,14.71
"08/24/2019 08:00:00",0,0,5.09,15.96
"08/24/2019 08:05:00",0,0,10.42,15.96
"08/24/2019 08:10:00",0,0,10.47,15.96
"08/24/2019 08:15:00",0,0,10.49,15.96
"08/24/2019 08:20:00",0,0,10.51,15.96
"08/24/2019 08:25:00",0,0,12.16,15.96
"08/24/2019 08:30:00",0,0,12.16,15.96
"08/24/2019 08:35:00",0,0,12.16,15.96
"08/24/2019 08:40:00",0,0,12.17,15.96
"08/24/2019 08:45:00",0,0,12.84,15.96
"08/24/2019 08:50:00",0,0,13.25,15.96
"08/24/2019 08:55:00",0,0,13.09,15.96
"08/24/2019 09:00:00",0,0,11.64,17.37
"08/24/2019 09:05:00",0,0,12.16,17.37
"08/24/2019 09:10:00",0,0,12.16,17.37
"08/24/2019 09:15:00",0,0,12.16,17.37
"08/24/2019 09:20:00",0,0,12.17,17.37
"08/24/2019 09:25:00",0,0,12.81,17.37
"08/24/2019 09:30:00",0,0,12.81,17.37
"08/24/2019 09:35:00",0,0,12.83,17.37
"08/24/2019 09:40:00",0,0,12.17,17.37
"08/24/2019 09:45:00",0,0,13.85,17.37
