RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/25/2019 00:00:00",0,0,11.41,16.09
"08/25/2019 00:05:00",0,0,11.38,16.09
"08/25/2019 00:10:00",0,0,14.18,16.09
"08/25/2019 00:15:00",0,0,12.87,16.09
"08/25/2019 00:20:00",0,0,12.87,16.09
"08/25/2019 00:25:00",0,0,14.42,16.09
"08/25/2019 00:30:00",0,0,14.42,16.09
"08/25/2019 00:35:00",0,0,16.58,16.09
"08/25/2019 00:40:00",0,0,16.68,16.09
"08/25/2019 00:45:00",0,0,13.67,16.09
"08/25/2019 00:50:00",0,0,11.71,16.09
"08/25/2019 00:55:00",0,0,11.76,16.09
"08/25/2019 01:00:00",0,0,12.58,14.8
"08/25/2019 01:05:00",0,0,13.4,14.8
"08/25/2019 01:10:00",0,0,12.88,14.8
"08/25/2019 01:15:00",0,0,13.39,14.8
"08/25/2019 01:20:00",0,0,12.06,14.8
"08/25/2019 01:25:00",0,0,12.04,14.8
"08/25/2019 01:30:00",0,0,11.72,14.8
"08/25/2019 01:35:00",0,0,11.37,14.8
"08/25/2019 01:40:00",0,0,11.37,14.8
"08/25/2019 01:45:00",0,0,11.36,14.8
"08/25/2019 01:50:00",0,0,10.78,14.8
"08/25/2019 01:55:00",0,0,10.12,14.8
"08/25/2019 02:00:00",0,0,12.02,13.98
"08/25/2019 02:05:00",0,0,12.53,13.98
"08/25/2019 02:10:00",0,0,12,13.98
"08/25/2019 02:15:00",0,0,11.72,13.98
"08/25/2019 02:20:00",0,0,11.71,13.98
"08/25/2019 02:25:00",0,0,11.71,13.98
"08/25/2019 02:30:00",0,0,11.94,13.98
"08/25/2019 02:35:00",0,0,12.01,13.98
"08/25/2019 02:40:00",0,0,11.69,13.98
"08/25/2019 02:45:00",0,0,11.29,13.98
"08/25/2019 02:50:00",0,0,11.29,13.98
"08/25/2019 02:55:00",0,0,11.36,13.98
"08/25/2019 03:00:00",0,0,11.44,13.48
"08/25/2019 03:05:00",0,0,11.68,13.48
"08/25/2019 03:10:00",0,0,11.66,13.48
"08/25/2019 03:15:00",0,0,11.67,13.48
"08/25/2019 03:20:00",0,0,11.45,13.48
"08/25/2019 03:25:00",0,0,11.37,13.48
"08/25/2019 03:30:00",0,0,11.36,13.48
"08/25/2019 03:35:00",0,0,11.37,13.48
"08/25/2019 03:40:00",0,0,11.36,13.48
"08/25/2019 03:45:00",0,0,11.36,13.48
"08/25/2019 03:50:00",0,0,10.12,13.48
"08/25/2019 03:55:00",0,0,10.12,13.48
"08/25/2019 04:00:00",0,0,11.59,12.72
"08/25/2019 04:05:00",0,0,11.36,12.72
"08/25/2019 04:10:00",0,0,11.36,12.72
"08/25/2019 04:15:00",0,0,11.36,12.72
"08/25/2019 04:20:00",0,0,11.36,12.72
"08/25/2019 04:25:00",0,0,11.35,12.72
"08/25/2019 04:30:00",0,0,11.36,12.72
"08/25/2019 04:35:00",0,0,11.31,12.72
"08/25/2019 04:40:00",0,0,11.31,12.72
"08/25/2019 04:45:00",0,0,11.36,12.72
"08/25/2019 04:50:00",0,0,11.54,12.72
"08/25/2019 04:55:00",0,0,11.19,12.72
"08/25/2019 05:00:00",0,0,2.48,13.38
"08/25/2019 05:05:00",0,0,11.37,13.38
"08/25/2019 05:10:00",0,0,11.23,13.38
"08/25/2019 05:15:00",0,0,11.45,13.38
"08/25/2019 05:20:00",0,0,11.45,13.38
"08/25/2019 05:25:00",0,0,11.42,13.38
"08/25/2019 05:30:00",0,0,11.41,13.38
"08/25/2019 05:35:00",0,0,11.45,13.38
"08/25/2019 05:40:00",0,0,11.59,13.38
"08/25/2019 05:45:00",0,0,11.96,13.38
"08/25/2019 05:50:00",0,0,11.97,13.38
"08/25/2019 05:55:00",0,0,11.74,13.38
"08/25/2019 06:00:00",0,0,12.81,12.88
"08/25/2019 06:05:00",0,0,13.22,12.88
"08/25/2019 06:10:00",0,0,13.23,12.88
"08/25/2019 06:15:00",0,0,13.25,12.88
"08/25/2019 06:20:00",0,0,12.78,12.88
"08/25/2019 06:25:00",0,0,12.8,12.88
"08/25/2019 06:30:00",0,0,12.65,12.88
"08/25/2019 06:35:00",0,0,12.8,12.88
"08/25/2019 06:40:00",0,0,12.81,12.88
"08/25/2019 06:45:00",0,0,12.8,12.88
"08/25/2019 06:50:00",0,0,12.5,12.88
"08/25/2019 06:55:00",0,0,12.52,12.88
"08/25/2019 07:00:00",0,0,10.13,13.33
"08/25/2019 07:05:00",0,0,11.37,13.33
"08/25/2019 07:10:00",0,0,11.45,13.33
"08/25/2019 07:15:00",0,0,11.45,13.33
"08/25/2019 07:20:00",0,0,11.58,13.33
"08/25/2019 07:25:00",0,0,12.49,13.33
"08/25/2019 07:30:00",0,0,11.59,13.33
"08/25/2019 07:35:00",0,0,12.51,13.33
"08/25/2019 07:40:00",0,0,12.51,13.33
"08/25/2019 07:45:00",0,0,10.13,13.33
"08/25/2019 07:50:00",0,0,10.15,13.33
"08/25/2019 07:55:00",0,0,11.03,13.33
"08/25/2019 08:00:00",0,0,5.09,14.64
"08/25/2019 08:05:00",0,0,3.25,14.64
"08/25/2019 08:10:00",0,0,2.55,14.64
"08/25/2019 08:15:00",0,0,5.1,14.64
"08/25/2019 08:20:00",0,0,10.12,14.64
"08/25/2019 08:25:00",0,0,11.38,14.64
"08/25/2019 08:30:00",0,0,11.38,14.64
"08/25/2019 08:35:00",0,0,11.38,14.64
"08/25/2019 08:40:00",0,0,11.39,14.64
"08/25/2019 08:45:00",0,0,11.38,14.64
"08/25/2019 08:50:00",0,0,11.39,14.64
"08/25/2019 08:55:00",0,0,12.27,14.64
"08/25/2019 09:00:00",0,0,11.23,15.1
"08/25/2019 09:05:00",0,0,10.15,15.1
"08/25/2019 09:10:00",0,0,11.2,15.1
"08/25/2019 09:15:00",0,0,11.23,15.1
"08/25/2019 09:20:00",0,0,11.24,15.1
"08/25/2019 09:25:00",0,0,11.39,15.1
"08/25/2019 09:30:00",0,0,11.39,15.1
"08/25/2019 09:35:00",0,0,11.39,15.1
"08/25/2019 09:40:00",0,0,11.39,15.1
"08/25/2019 09:45:00",0,0,11.39,15.1
"08/25/2019 09:50:00",0,0,11.4,15.1
"08/25/2019 09:55:00",0,0,11.4,15.1
"08/25/2019 10:00:00",0,0,11.15,15.26
"08/25/2019 10:05:00",0,0,11.6,15.26
"08/25/2019 10:10:00",0,0,11.63,15.26
"08/25/2019 10:15:00",0,0,11.63,15.26
"08/25/2019 10:20:00",0,0,11.63,15.26
"08/25/2019 10:25:00",0,0,11.63,15.26
"08/25/2019 10:30:00",0,0,11.63,15.26
"08/25/2019 10:35:00",0,0,11.21,15.26
"08/25/2019 10:40:00",0,0,11.6,15.26
"08/25/2019 10:45:00",0,0,11.04,15.26
"08/25/2019 10:50:00",0,0,11.11,15.26
"08/25/2019 10:55:00",0,0,11.09,15.26
"08/25/2019 11:00:00",0,0,10.63,16.06
"08/25/2019 11:05:00",0,0,11.2,16.06
"08/25/2019 11:10:00",0,0,11.76,16.06
"08/25/2019 11:15:00",0,0,11.78,16.06
"08/25/2019 11:20:00",0,0,11.82,16.06
"08/25/2019 11:25:00",0,0,11.82,16.06
"08/25/2019 11:30:00",0,0,11.83,16.06
"08/25/2019 11:35:00",0,0,11.84,16.06
"08/25/2019 11:40:00",0,0,11.83,16.06
"08/25/2019 11:45:00",0,0,11.87,16.06
"08/25/2019 11:50:00",0,0,11.87,16.06
"08/25/2019 11:55:00",0,0,12.13,16.06
"08/25/2019 12:00:00",0,0,12.01,17.09
"08/25/2019 12:05:00",0,0,12.37,17.09
"08/25/2019 12:10:00",0,0,12.6,17.09
"08/25/2019 12:15:00",0,0,12.52,17.09
"08/25/2019 12:20:00",0,0,12.37,17.09
"08/25/2019 12:25:00",0,0,12.06,17.09
"08/25/2019 12:30:00",0,0,12.05,17.09
"08/25/2019 12:35:00",0,0,12.03,17.09
"08/25/2019 12:40:00",0,0,12.04,17.09
"08/25/2019 12:45:00",0,0,12.05,17.09
"08/25/2019 12:50:00",0,0,12.67,17.09
"08/25/2019 12:55:00",0,0,12.64,17.09
"08/25/2019 13:00:00",0,0,12.13,17.67
"08/25/2019 13:05:00",0,0,12.1,17.67
"08/25/2019 13:10:00",0,0,12.12,17.67
"08/25/2019 13:15:00",0,0,12.12,17.67
"08/25/2019 13:20:00",0,0,12.11,17.67
"08/25/2019 13:25:00",0,0,12.12,17.67
"08/25/2019 13:30:00",0,0,12.11,17.67
"08/25/2019 13:35:00",0,0,12.11,17.67
"08/25/2019 13:40:00",0,0,12.11,17.67
"08/25/2019 13:45:00",0,0,12.11,17.67
"08/25/2019 13:50:00",0,0,12.11,17.67
"08/25/2019 13:55:00",0,0,12.12,17.67
"08/25/2019 14:00:00",0,0,12.07,17.89
"08/25/2019 14:05:00",0,0,12.06,17.89
"08/25/2019 14:10:00",0,0,12.07,17.89
"08/25/2019 14:15:00",0,0,12.06,17.89
"08/25/2019 14:20:00",0,0,12.08,17.89
"08/25/2019 14:25:00",0,0,12.1,17.89
"08/25/2019 14:30:00",0,0,12.11,17.89
"08/25/2019 14:35:00",0,0,12.1,17.89
"08/25/2019 14:40:00",0,0,12.08,17.89
"08/25/2019 14:45:00",0,0,12.11,17.89
"08/25/2019 14:50:00",0,0,12.12,17.89
"08/25/2019 14:55:00",0,0,12.49,17.89
"08/25/2019 15:00:00",0,0,12.02,19.17
"08/25/2019 15:05:00",0,0,12.39,19.17
"08/25/2019 15:10:00",0,0,12.12,19.17
"08/25/2019 15:15:00",0,0,12.39,19.17
"08/25/2019 15:20:00",0,0,12.4,19.17
"08/25/2019 15:25:00",0,0,12.49,19.17
"08/25/2019 15:30:00",0,0,12.63,19.17
"08/25/2019 15:35:00",0,0,13.31,19.17
"08/25/2019 15:40:00",0,0,13.36,19.17
"08/25/2019 15:45:00",0,0,13.37,19.17
"08/25/2019 15:50:00",0,0,13.41,19.17
"08/25/2019 15:55:00",0,0,13.56,19.17
"08/25/2019 16:00:00",0,0,12.04,21.08
"08/25/2019 16:05:00",0,0,11.99,21.08
"08/25/2019 16:10:00",0,0,12.02,21.08
"08/25/2019 16:15:00",0,0,12.03,21.08
"08/25/2019 16:20:00",0,0,12.06,21.08
"08/25/2019 16:25:00",0,0,12.08,21.08
"08/25/2019 16:30:00",0,0,12.12,21.08
"08/25/2019 16:35:00",0,0,12.12,21.08
"08/25/2019 16:40:00",0,0,12.13,21.08
"08/25/2019 16:45:00",0,0,12.12,21.08
"08/25/2019 16:50:00",0,0,12.4,21.08
"08/25/2019 16:55:00",0,0,12.63,21.08
"08/25/2019 17:00:00",0,0,13.46,22.31
"08/25/2019 17:05:00",0,0,14.2,22.31
"08/25/2019 17:10:00",0,0,14.22,22.31
"08/25/2019 17:15:00",0,0,14.27,22.31
"08/25/2019 17:20:00",0,0,15.16,22.31
"08/25/2019 17:25:00",0,0,14.53,22.31
"08/25/2019 17:30:00",0,0,15.16,22.31
"08/25/2019 17:35:00",0,0,15.16,22.31
"08/25/2019 17:40:00",0,0,15.17,22.31
"08/25/2019 17:45:00",0,0,15.19,22.31
"08/25/2019 17:50:00",0,0,15.2,22.31
"08/25/2019 17:55:00",0,0,15.27,22.31
"08/25/2019 18:00:00",0,0,15.11,21.14
"08/25/2019 18:05:00",0,0,14.27,21.14
"08/25/2019 18:10:00",0,0,13.54,21.14
"08/25/2019 18:15:00",0,0,14.55,21.14
"08/25/2019 18:20:00",0,0,14.52,21.14
"08/25/2019 18:25:00",0,0,14.5,21.14
"08/25/2019 18:30:00",0,0,14.52,21.14
"08/25/2019 18:35:00",0,0,14.65,21.14
"08/25/2019 18:40:00",0,0,14.65,21.14
"08/25/2019 18:45:00",0,0,14.64,21.14
"08/25/2019 18:50:00",0,0,14.62,21.14
"08/25/2019 18:55:00",0,0,14.39,21.14
"08/25/2019 19:00:00",0,0,15.07,20.43
"08/25/2019 19:05:00",0,0,15.12,20.43
"08/25/2019 19:10:00",0,0,14.66,20.43
"08/25/2019 19:15:00",0,0,14.64,20.43
"08/25/2019 19:20:00",0,0,15.1,20.43
"08/25/2019 19:25:00",0,0,15.09,20.43
"08/25/2019 19:30:00",0,0,15.1,20.43
"08/25/2019 19:35:00",0,0,15.09,20.43
"08/25/2019 19:40:00",0,0,15.09,20.43
"08/25/2019 19:45:00",0,0,15.12,20.43
"08/25/2019 19:50:00",0,0,15.22,20.43
"08/25/2019 19:55:00",0,0,15.22,20.43
"08/25/2019 20:00:00",0,0,12.56,20.56
"08/25/2019 20:05:00",0,0,11.67,20.56
"08/25/2019 20:10:00",0,0,13.31,20.56
"08/25/2019 20:15:00",0,0,13.46,20.56
"08/25/2019 20:20:00",0,0,13.53,20.56
"08/25/2019 20:25:00",0,0,13.44,20.56
"08/25/2019 20:30:00",0,0,12.64,20.56
"08/25/2019 20:35:00",0,0,12.12,20.56
"08/25/2019 20:40:00",0,0,12.12,20.56
"08/25/2019 20:45:00",0,0,11.66,20.56
"08/25/2019 20:50:00",0,0,11.33,20.56
"08/25/2019 20:55:00",0,0,11.31,20.56
"08/25/2019 21:00:00",0,0,14.81,18.24
"08/25/2019 21:05:00",0,0,16.8,18.24
"08/25/2019 21:10:00",0,0,14.76,18.24
"08/25/2019 21:15:00",0,0,14.7,18.24
"08/25/2019 21:20:00",0,0,15.16,18.24
"08/25/2019 21:25:00",0,0,14.9,18.24
"08/25/2019 21:30:00",0,0,14.57,18.24
"08/25/2019 21:35:00",0,0,13.82,18.24
"08/25/2019 21:40:00",0,0,13.57,18.24
"08/25/2019 21:45:00",0,0,12.72,18.24
"08/25/2019 21:50:00",0,0,12.61,18.24
"08/25/2019 21:55:00",0,0,11.5,18.24
"08/25/2019 22:00:00",0,0,15.27,16.2
"08/25/2019 22:05:00",0,0,15.24,16.2
"08/25/2019 22:10:00",0,0,14.95,16.2
"08/25/2019 22:15:00",0,0,14.93,16.2
"08/25/2019 22:20:00",0,0,14.46,16.2
"08/25/2019 22:25:00",0,0,13.72,16.2
"08/25/2019 22:30:00",0,0,13.4,16.2
"08/25/2019 22:35:00",0,0,12.64,16.2
