RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/18/2019 00:00:00",0,0,22.66,22.95
"08/18/2019 00:05:00",0,0,22.91,22.95
"08/18/2019 00:10:00",0,0,22.75,22.95
"08/18/2019 00:15:00",0,0,22.89,22.95
"08/18/2019 00:20:00",0,0,22.66,22.95
"08/18/2019 00:25:00",0,0,22.65,22.95
"08/18/2019 00:30:00",0,0,22.22,22.95
"08/18/2019 00:35:00",0,0,22.22,22.95
"08/18/2019 00:40:00",0,0,21.91,22.95
"08/18/2019 00:45:00",0,0,20.92,22.95
"08/18/2019 00:50:00",0,0,20.76,22.95
"08/18/2019 00:55:00",0,0,20.24,22.95
"08/18/2019 01:00:00",0,0,20.74,21.26
"08/18/2019 01:05:00",0,0,20.61,21.26
"08/18/2019 01:10:00",0,0,20.6,21.26
"08/18/2019 01:15:00",0,0,21.74,21.26
"08/18/2019 01:20:00",0,0,21.68,21.26
"08/18/2019 01:25:00",0,0,20.82,21.26
"08/18/2019 01:30:00",0,0,20.75,21.26
"08/18/2019 01:35:00",0,0,20.66,21.26
"08/18/2019 01:40:00",0,0,20.17,21.26
"08/18/2019 01:45:00",0,0,20.14,21.26
"08/18/2019 01:50:00",0,0,20.22,21.26
"08/18/2019 01:55:00",0,0,20.64,21.26
"08/18/2019 02:00:00",0,0,19.9,19.95
"08/18/2019 02:05:00",0,0,19.2,19.95
"08/18/2019 02:10:00",0,0,18.74,19.95
"08/18/2019 02:15:00",0,0,20.26,19.95
"08/18/2019 02:20:00",0,0,19.2,19.95
"08/18/2019 02:25:00",0,0,19.18,19.95
"08/18/2019 02:30:00",0,0,19.19,19.95
"08/18/2019 02:35:00",0,0,19.21,19.95
"08/18/2019 02:40:00",0,0,19.21,19.95
"08/18/2019 02:45:00",0,0,18.77,19.95
"08/18/2019 02:50:00",0,0,19.22,19.95
"08/18/2019 02:55:00",0,0,19.2,19.95
"08/18/2019 03:00:00",0,0,19.19,19.14
"08/18/2019 03:05:00",0,0,19.21,19.14
"08/18/2019 03:10:00",0,0,18.33,19.14
"08/18/2019 03:15:00",0,0,18.1,19.14
"08/18/2019 03:20:00",0,0,17.07,19.14
"08/18/2019 03:25:00",0,0,18,19.14
"08/18/2019 03:30:00",0,0,17.15,19.14
"08/18/2019 03:35:00",0,0,17.07,19.14
"08/18/2019 03:40:00",0,0,16.77,19.14
"08/18/2019 03:45:00",0,0,16.96,19.14
"08/18/2019 03:50:00",0,0,16.55,19.14
"08/18/2019 03:55:00",0,0,15.85,19.14
"08/18/2019 04:00:00",0,0,15.85,18.55
"08/18/2019 04:05:00",0,0,17.31,18.55
"08/18/2019 04:10:00",0,0,17.3,18.55
"08/18/2019 04:15:00",0,0,17.22,18.55
"08/18/2019 04:20:00",0,0,17.33,18.55
"08/18/2019 04:25:00",0,0,17.06,18.55
"08/18/2019 04:30:00",0,0,20.29,18.55
"08/18/2019 04:35:00",0,0,18.77,18.55
"08/18/2019 04:40:00",0,0,18.78,18.55
"08/18/2019 04:45:00",0,0,19.2,18.55
"08/18/2019 04:50:00",0,0,18.78,18.55
"08/18/2019 04:55:00",0,0,18.74,18.55
"08/18/2019 05:00:00",0,0,19.29,18.58
"08/18/2019 05:05:00",0,0,20.71,18.58
"08/18/2019 05:10:00",0,0,20.71,18.58
"08/18/2019 05:15:00",0,0,20.75,18.58
"08/18/2019 05:20:00",0,0,20.79,18.58
