time,Pd_MW
"2016-08-03 00:00:00",2.149998
"2016-08-03 00:05:00",2.122992
"2016-08-03 00:10:00",2.096995
"2016-08-03 00:15:00",2.073003
"2016-08-03 00:20:00",2.049004
"2016-08-03 00:25:00",2.025991
"2016-08-03 00:30:00",2.005008
"2016-08-03 00:35:00",1.983998
"2016-08-03 00:40:00",1.963996
"2016-08-03 00:45:00",1.945004
"2016-08-03 00:50:00",1.926998
"2016-08-03 00:55:00",1.909991
"2016-08-03 01:00:00",1.893006
"2016-08-03 01:05:00",1.87701
"2016-08-03 01:10:00",1.861975
"2016-08-03 01:15:00",1.848855
"2016-08-03 01:20:00",1.833
"2016-08-03 01:25:00",1.820813
"2016-08-03 01:30:00",1.80881
"2016-08-03 01:35:00",1.795792
"2016-08-03 01:40:00",1.783778
"2016-08-03 01:45:00",1.773547
"2016-08-03 01:50:00",1.760762
"2016-08-03 01:55:00",1.749742
"2016-08-03 02:00:00",1.739734
"2016-08-03 02:05:00",1.72972
"2016-08-03 02:10:00",1.719727
"2016-08-03 02:15:00",1.709705
"2016-08-03 02:20:00",1.698997
"2016-08-03 02:25:00",1.690993
"2016-08-03 02:30:00",1.681995
"2016-08-03 02:35:00",1.672322
"2016-08-03 02:40:00",1.665997
"2016-08-03 02:45:00",1.659009
"2016-08-03 02:50:00",1.650343
"2016-08-03 02:55:00",1.644356
"2016-08-03 03:00:00",1.638362
"2016-08-03 03:05:00",1.633365
"2016-08-03 03:10:00",1.628376
"2016-08-03 03:15:00",1.623363
"2016-08-03 03:20:00",1.619379
"2016-08-03 03:25:00",1.615378
"2016-08-03 03:30:00",1.611381
"2016-08-03 03:35:00",1.608382
"2016-08-03 03:40:00",1.607993
"2016-08-03 03:45:00",1.605013
"2016-08-03 03:50:00",1.601398
"2016-08-03 03:55:00",1.601001
"2016-08-03 04:00:00",1.598999
"2016-08-03 04:05:00",1.596997
"2016-08-03 04:10:00",1.596017
"2016-08-03 04:15:00",1.595005
"2016-08-03 04:20:00",1.595005
"2016-08-03 04:25:00",1.596017
"2016-08-03 04:30:00",1.597
"2016-08-03 04:35:00",1.599996
"2016-08-03 04:40:00",1.603008
"2016-08-03 04:45:00",1.607994
"2016-08-03 04:50:00",1.61563
"2016-08-03 04:55:00",1.620374
"2016-08-03 05:00:00",1.631004
"2016-08-03 05:05:00",1.643645
"2016-08-03 05:10:00",1.654994
"2016-08-03 05:15:00",1.669006
"2016-08-03 05:20:00",1.682309
"2016-08-03 05:25:00",1.700997
"2016-08-03 05:30:00",1.719008
"2016-08-03 05:35:00",1.738004
"2016-08-03 05:40:00",1.757989
"2016-08-03 05:45:00",1.778001
"2016-08-03 05:50:00",1.798992
"2016-08-03 05:55:00",1.821003
"2016-08-03 06:00:00",1.842992
"2016-08-03 06:05:00",1.864999
"2016-08-03 06:10:00",1.887988
"2016-08-03 06:15:00",1.910999
"2016-08-03 06:20:00",1.933985
"2016-08-03 06:25:00",1.958009
"2016-08-03 06:30:00",1.982002
"2016-08-03 06:35:00",2.005999
"2016-08-03 06:40:00",2.028962
"2016-08-03 06:45:00",2.059046
"2016-08-03 06:50:00",2.083008
"2016-08-03 06:55:00",2.112107
"2016-08-03 07:00:00",2.137001
"2016-08-03 07:05:00",2.164996
"2016-08-03 07:10:00",2.193011
"2016-08-03 07:15:00",2.222002
"2016-08-03 07:20:00",2.252003
"2016-08-03 07:25:00",2.284284
"2016-08-03 07:30:00",2.310996
"2016-08-03 07:35:00",2.33866
"2016-08-03 07:40:00",2.372013
"2016-08-03 07:45:00",2.400999
"2016-08-03 07:50:00",2.430998
"2016-08-03 07:55:00",2.458545
"2016-08-03 08:00:00",2.490003
"2016-08-03 08:05:00",2.518996
"2016-08-03 08:10:00",2.54955
"2016-08-03 08:15:00",2.577567
"2016-08-03 08:20:00",2.60461
"2016-08-03 08:25:00",2.630626
"2016-08-03 08:30:00",2.654003
"2016-08-03 08:35:00",2.678996
"2016-08-03 08:40:00",2.705707
"2016-08-03 08:45:00",2.729731
"2016-08-03 08:50:00",2.754497
"2016-08-03 08:55:00",2.77377
"2016-08-03 09:00:00",2.793789
"2016-08-03 09:05:00",2.812809
"2016-08-03 09:10:00",2.834672
"2016-08-03 09:15:00",2.849854
"2016-08-03 09:20:00",2.866861
"2016-08-03 09:25:00",2.886754
"2016-08-03 09:30:00",2.900906
"2016-08-03 09:35:00",2.920836
"2016-08-03 09:40:00",2.937862
"2016-08-03 09:45:00",2.952941
"2016-08-03 09:50:00",2.970976
"2016-08-03 09:55:00",2.993972
"2016-08-03 10:00:00",3.011007
"2016-08-03 10:05:00",3.030006
"2016-08-03 10:10:00",3.055055
"2016-08-03 10:15:00",3.079079
"2016-08-03 10:20:00",3.104101
"2016-08-03 10:25:00",3.130117
"2016-08-03 10:30:00",3.15615
"2016-08-03 10:35:00",3.183189
"2016-08-03 10:40:00",3.210207
"2016-08-03 10:45:00",3.234993
"2016-08-03 10:50:00",3.262996
"2016-08-03 10:55:00",3.291007
"2016-08-03 11:00:00",3.318989
"2016-08-03 11:05:00",3.346985
"2016-08-03 11:10:00",3.374997
"2016-08-03 11:15:00",3.402993
"2016-08-03 11:20:00",3.430992
"2016-08-03 11:25:00",3.458994
"2016-08-03 11:30:00",3.491485
"2016-08-03 11:35:00",3.516002
"2016-08-03 11:40:00",3.544996
"2016-08-03 11:45:00",3.574994
"2016-08-03 11:50:00",3.605002
"2016-08-03 11:55:00",3.634999
"2016-08-03 12:00:00",3.666003
"2016-08-03 12:05:00",3.701694
"2016-08-03 12:10:00",3.730001
"2016-08-03 12:15:00",3.763001
"2016-08-03 12:20:00",3.796003
"2016-08-03 12:25:00",3.832821
"2016-08-03 12:30:00",3.862
"2016-08-03 12:35:00",3.899891
"2016-08-03 12:40:00",3.929979
"2016-08-03 12:45:00",3.959054
"2016-08-03 12:50:00",3.995996
"2016-08-03 12:55:00",4.029
"2016-08-03 13:00:00",4.062006
"2016-08-03 13:05:00",4.093999
"2016-08-03 13:10:00",4.125985
"2016-08-03 13:15:00",4.155999
"2016-08-03 13:20:00",4.190183
"2016-08-03 13:25:00",4.215993
"2016-08-03 13:30:00",4.243998
"2016-08-03 13:35:00",4.275274
"2016-08-03 13:40:00",4.295994
"2016-08-03 13:45:00",4.320993
"2016-08-03 13:50:00",4.344009
"2016-08-03 13:55:00",4.36064
"2016-08-03 14:00:00",4.384994
"2016-08-03 14:05:00",4.407407
"2016-08-03 14:10:00",4.420001
"2016-08-03 14:15:00",4.434999
"2016-08-03 14:20:00",4.449996
"2016-08-03 14:25:00",4.468471
"2016-08-03 14:30:00",4.477005
"2016-08-03 14:35:00",4.491006
"2016-08-03 14:40:00",4.505003
"2016-08-03 14:45:00",4.523514
"2016-08-03 14:50:00",4.534999
"2016-08-03 14:55:00",4.550988
"2016-08-03 15:00:00",4.568987
"2016-08-03 15:05:00",4.588991
"2016-08-03 15:10:00",4.609006
"2016-08-03 15:15:00",4.626361
"2016-08-03 15:20:00",4.653004
"2016-08-03 15:25:00",4.674994
"2016-08-03 15:30:00",4.696
"2016-08-03 15:35:00",4.715995
"2016-08-03 15:40:00",4.734994
"2016-08-03 15:45:00",4.751996
"2016-08-03 15:50:00",4.762231
"2016-08-03 15:55:00",4.778007
"2016-08-03 16:00:00",4.78699
"2016-08-03 16:05:00",4.796808
"2016-08-03 16:10:00",4.788213
"2016-08-03 16:15:00",4.792
"2016-08-03 16:20:00",4.786992
"2016-08-03 16:25:00",4.775222
"2016-08-03 16:30:00",4.765229
"2016-08-03 16:35:00",4.754235
"2016-08-03 16:40:00",4.746001
"2016-08-03 16:45:00",4.726263
"2016-08-03 16:50:00",4.710282
"2016-08-03 16:55:00",4.693305
"2016-08-03 17:00:00",4.67532
"2016-08-03 17:05:00",4.657331
"2016-08-03 17:10:00",4.638355
"2016-08-03 17:15:00",4.620377
"2016-08-03 17:20:00",4.605003
