RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/09/2019 00:00:00",0,0,17.46,20.38
"08/09/2019 00:05:00",0,0,17.23,20.38
"08/09/2019 00:10:00",0,0,18.56,20.38
"08/09/2019 00:15:00",0,0,19.41,20.38
"08/09/2019 00:20:00",0,0,19.33,20.38
"08/09/2019 00:25:00",0,0,19.3,20.38
"08/09/2019 00:30:00",0,0,19.43,20.38
"08/09/2019 00:35:00",0,0,19.44,20.38
"08/09/2019 00:40:00",0,0,18.74,20.38
"08/09/2019 00:45:00",0,0,16.79,20.38
"08/09/2019 00:50:00",0,0,16.56,20.38
"08/09/2019 00:55:00",0,0,16.77,20.38
"08/09/2019 01:00:00",0,0,18.08,18.2
"08/09/2019 01:05:00",0,0,16.8,18.2
"08/09/2019 01:10:00",0,0,16.57,18.2
"08/09/2019 01:15:00",0,0,16.67,18.2
"08/09/2019 01:20:00",0,0,16.65,18.2
"08/09/2019 01:25:00",0,0,16.19,18.2
"08/09/2019 01:30:00",0,0,16.72,18.2
"08/09/2019 01:35:00",0,0,14.29,18.2
"08/09/2019 01:40:00",0,0,14.29,18.2
"08/09/2019 01:45:00",0,0,14.29,18.2
"08/09/2019 01:50:00",0,0,14.28,18.2
"08/09/2019 01:55:00",0,0,14.23,18.2
"08/09/2019 02:00:00",0,0,14.28,16.46
"08/09/2019 02:05:00",0,0,14.28,16.46
"08/09/2019 02:10:00",0,0,14.26,16.46
"08/09/2019 02:15:00",0,0,14.28,16.46
"08/09/2019 02:20:00",0,0,14.26,16.46
"08/09/2019 02:25:00",0,0,13.54,16.46
"08/09/2019 02:30:00",0,0,14.99,16.46
"08/09/2019 02:35:00",0,0,14.28,16.46
"08/09/2019 02:40:00",0,0,14.28,16.46
"08/09/2019 02:45:00",0,0,15.39,16.46
"08/09/2019 02:50:00",0,0,15.19,16.46
"08/09/2019 02:55:00",0,0,15.58,16.46
"08/09/2019 03:00:00",0,0,16.22,15.91
"08/09/2019 03:05:00",0,0,16.21,15.91
"08/09/2019 03:10:00",0,0,15.81,15.91
"08/09/2019 03:15:00",0,0,15.42,15.91
"08/09/2019 03:20:00",0,0,15.18,15.91
"08/09/2019 03:25:00",0,0,15.05,15.91
"08/09/2019 03:30:00",0,0,14.98,15.91
"08/09/2019 03:35:00",0,0,14.97,15.91
"08/09/2019 03:40:00",0,0,14.97,15.91
"08/09/2019 03:45:00",0,0,15.04,15.91
"08/09/2019 03:50:00",0,0,15.43,15.91
"08/09/2019 03:55:00",0,0,15.38,15.91
"08/09/2019 04:00:00",0,0,15.38,15.3
"08/09/2019 04:05:00",0,0,15.82,15.3
"08/09/2019 04:10:00",0,0,15.86,15.3
"08/09/2019 04:15:00",0,0,15.58,15.3
"08/09/2019 04:20:00",0,0,15.57,15.3
"08/09/2019 04:25:00",0,0,15.77,15.3
"08/09/2019 04:30:00",0,0,15.18,15.3
"08/09/2019 04:35:00",0,0,15.04,15.3
"08/09/2019 04:40:00",0,0,14.96,15.3
"08/09/2019 04:45:00",0,0,14.96,15.3
"08/09/2019 04:50:00",0,0,14.96,15.3
"08/09/2019 04:55:00",0,0,15.11,15.3
"08/09/2019 05:00:00",0,0,13.37,16.41
"08/09/2019 05:05:00",0,0,14.28,16.41
"08/09/2019 05:10:00",0,0,14.28,16.41
"08/09/2019 05:15:00",0,0,14.28,16.41
"08/09/2019 05:20:00",0,0,14.28,16.41
"08/09/2019 05:25:00",0,0,14.28,16.41
"08/09/2019 05:30:00",0,0,14.28,16.41
"08/09/2019 05:35:00",0,0,14.29,16.41
"08/09/2019 05:40:00",0,0,14.29,16.41
"08/09/2019 05:45:00",0,0,14.29,16.41
"08/09/2019 05:50:00",0,0,14.28,16.41
"08/09/2019 05:55:00",0,0,14.25,16.41
"08/09/2019 06:00:00",0,0,11.21,16.85
"08/09/2019 06:05:00",0,0,14.62,16.85
"08/09/2019 06:10:00",0,0,13.95,16.85
"08/09/2019 06:15:00",0,0,14.29,16.85
"08/09/2019 06:20:00",0,0,14.98,16.85
"08/09/2019 06:25:00",0,0,15.08,16.85
"08/09/2019 06:30:00",0,0,15.16,16.85
"08/09/2019 06:35:00",0,0,15.74,16.85
"08/09/2019 06:40:00",0,0,16.58,16.85
"08/09/2019 06:45:00",0,0,14.83,16.85
"08/09/2019 06:50:00",0,0,15.09,16.85
"08/09/2019 06:55:00",0,0,14.63,16.85
"08/09/2019 07:00:00",0,0,14.31,18.46
"08/09/2019 07:05:00",0,0,15.06,18.46
"08/09/2019 07:10:00",0,0,15.01,18.46
"08/09/2019 07:15:00",0,0,14.49,18.46
"08/09/2019 07:20:00",0,0,15.19,18.46
"08/09/2019 07:25:00",0,0,15.25,18.46
"08/09/2019 07:30:00",0,0,15.26,18.46
