time,Pd_MW
0008/03/16 00:00,1.475
0008/03/16 00:05,1.456459
0008/03/16 00:10,1.435574
0008/03/16 00:15,1.420001
0008/03/16 00:20,1.405399
0008/03/16 00:25,1.386606
0008/03/16 00:30,1.374004
0008/03/16 00:35,1.362356
0008/03/16 00:40,1.34765
0008/03/16 00:45,1.338002
0008/03/16 00:50,1.328
0008/03/16 00:55,1.319002
0008/03/16 01:00,1.311009
0008/03/16 01:05,1.303999
0008/03/16 01:10,1.295702
0008/03/16 01:15,1.291003
0008/03/16 01:20,1.286006
0008/03/16 01:25,1.280997
0008/03/16 01:30,1.277004
0008/03/16 01:35,1.27428
0008/03/16 01:40,1.267999
0008/03/16 01:45,1.263997
0008/03/16 01:50,1.259997
0008/03/16 01:55,1.255004
0008/03/16 02:00,1.250003
0008/03/16 02:05,1.244001
0008/03/16 02:10,1.238007
0008/03/16 02:15,1.232
0008/03/16 02:20,1.224995
0008/03/16 02:25,1.219223
0008/03/16 02:30,1.21101
0008/03/16 02:35,1.203004
0008/03/16 02:40,1.195999
0008/03/16 02:45,1.188999
0008/03/16 02:50,1.180986
0008/03/16 02:55,1.173997
0008/03/16 03:00,1.166994
0008/03/16 03:05,1.160002
0008/03/16 03:10,1.153996
0008/03/16 03:15,1.148009
0008/03/16 03:20,1.142007
0008/03/16 03:25,1.137002
0008/03/16 03:30,1.132009
0008/03/16 03:35,1.125869
0008/03/16 03:40,1.123995
0008/03/16 03:45,1.120006
0008/03/16 03:50,1.117999
0008/03/16 03:55,1.115006
0008/03/16 04:00,1.114001
0008/03/16 04:05,1.113006
0008/03/16 04:10,1.114105
0008/03/16 04:15,1.113993
0008/03/16 04:20,1.113999
0008/03/16 04:25,1.116002
0008/03/16 04:30,1.11801
0008/03/16 04:35,1.121114
0008/03/16 04:40,1.122007
0008/03/16 04:45,1.125003
0008/03/16 04:50,1.127002
0008/03/16 04:55,1.131129
0008/03/16 05:00,1.133022
0008/03/16 05:05,1.136016
0008/03/16 05:10,1.138998
0008/03/16 05:15,1.142005
0008/03/16 05:20,1.143855
0008/03/16 05:25,1.148005
0008/03/16 05:30,1.15085
0008/03/16 05:35,1.153848
0008/03/16 05:40,1.158847
0008/03/16 05:45,1.162836
0008/03/16 05:50,1.168831
0008/03/16 05:55,1.174829
0008/03/16 06:00,1.180816
0008/03/16 06:05,1.187812
0008/03/16 06:10,1.195803
0008/03/16 06:15,1.204796
0008/03/16 06:20,1.214991
0008/03/16 06:25,1.223759
0008/03/16 06:30,1.234762
0008/03/16 06:35,1.247007
0008/03/16 06:40,1.259998
0008/03/16 06:45,1.27171
0008/03/16 06:50,1.285716
0008/03/16 06:55,1.302003
0008/03/16 07:00,1.317002
0008/03/16 07:05,1.332998
0008/03/16 07:10,1.350002
0008/03/16 07:15,1.368009
0008/03/16 07:20,1.385001
0008/03/16 07:25,1.403006
0008/03/16 07:30,1.422418
0008/03/16 07:35,1.438004
0008/03/16 07:40,1.455012
0008/03/16 07:45,1.471
0008/03/16 07:50,1.488482
0008/03/16 07:55,1.500493
0008/03/16 08:00,1.51502
0008/03/16 08:05,1.528526
0008/03/16 08:10,1.538
0008/03/16 08:15,1.548005
0008/03/16 08:20,1.558006
0008/03/16 08:25,1.565995
0008/03/16 08:30,1.574
0008/03/16 08:35,1.582015
0008/03/16 08:40,1.589991
0008/03/16 08:45,1.597005
0008/03/16 08:50,1.605011
0008/03/16 08:55,1.612999
0008/03/16 09:00,1.622002
0008/03/16 09:05,1.631003
0008/03/16 09:10,1.642639
0008/03/16 09:15,1.65199
0008/03/16 09:20,1.663
0008/03/16 09:25,1.675004
0008/03/16 09:30,1.687994
0008/03/16 09:35,1.7027
0008/03/16 09:40,1.713996
0008/03/16 09:45,1.729727
0008/03/16 09:50,1.743002
0008/03/16 09:55,1.759761
0008/03/16 10:00,1.775769
0008/03/16 10:05,1.791792
0008/03/16 10:10,1.807007
0008/03/16 10:15,1.825817
0008/03/16 10:20,1.842847
0008/03/16 10:25,1.860862
0008/03/16 10:30,1.877877
0008/03/16 10:35,1.89401
0008/03/16 10:40,1.912005
0008/03/16 10:45,1.931923
0008/03/16 10:50,1.947993
0008/03/16 10:55,1.964997
0008/03/16 11:00,1.982999
0008/03/16 11:05,2.000004
0008/03/16 11:10,2.016994
0008/03/16 11:15,2.03399
0008/03/16 11:20,2.053058
0008/03/16 11:25,2.067998
0008/03/16 11:30,2.084993
0008/03/16 11:35,2.101997
0008/03/16 11:40,2.118998
0008/03/16 11:45,2.137009
0008/03/16 11:50,2.155002
0008/03/16 11:55,2.175176
0008/03/16 12:00,2.191001
0008/03/16 12:05,2.209996
0008/03/16 12:10,2.231236
0008/03/16 12:15,2.248996
0008/03/16 12:20,2.268999
0008/03/16 12:25,2.290003
