time,Pd_MW
0008/04/16 00:00,1.56601
0008/04/16 00:05,1.550005
0008/04/16 00:10,1.534004
0008/04/16 00:15,1.519013
0008/04/16 00:20,1.506511
0008/04/16 00:25,1.493484
0008/04/16 00:30,1.47751
0008/04/16 00:35,1.465986
0008/04/16 00:40,1.454
0008/04/16 00:45,1.442002
0008/04/16 00:50,1.430999
0008/04/16 00:55,1.418996
0008/04/16 01:00,1.408001
0008/04/16 01:05,1.397008
0008/04/16 01:10,1.386002
0008/04/16 01:15,1.374998
0008/04/16 01:20,1.363996
0008/04/16 01:25,1.353999
0008/04/16 01:30,1.342992
0008/04/16 01:35,1.333016
0008/04/16 01:40,1.324008
0008/04/16 01:45,1.313997
0008/04/16 01:50,1.306
0008/04/16 01:55,1.295694
0008/04/16 02:00,1.289002
0008/04/16 02:05,1.282267
0008/04/16 02:10,1.274008
0008/04/16 02:15,1.268
0008/04/16 02:20,1.260993
0008/04/16 02:25,1.254996
0008/04/16 02:30,1.248999
0008/04/16 02:35,1.244243
0008/04/16 02:40,1.236997
0008/04/16 02:45,1.232239
0008/04/16 02:50,1.22646
0008/04/16 02:55,1.218002
0008/04/16 03:00,1.212209
0008/04/16 03:05,1.206402
0008/04/16 03:10,1.19719
0008/04/16 03:15,1.190183
0008/04/16 03:20,1.182178
0008/04/16 03:25,1.175176
0008/04/16 03:30,1.16716
0008/04/16 03:35,1.158998
0008/04/16 03:40,1.153004
0008/04/16 03:45,1.146987
0008/04/16 03:50,1.139852
0008/04/16 03:55,1.137008
0008/04/16 04:00,1.131875
0008/04/16 04:05,1.128862
0008/04/16 04:10,1.125745
0008/04/16 04:15,1.124746
0008/04/16 04:20,1.124745
0008/04/16 04:25,1.125863
0008/04/16 04:30,1.126873
0008/04/16 04:35,1.127877
0008/04/16 04:40,1.129875
0008/04/16 04:45,1.132008
0008/04/16 04:50,1.132859
0008/04/16 04:55,1.134872
0008/04/16 05:00,1.136867
0008/04/16 05:05,1.14
0008/04/16 05:10,1.140993
0008/04/16 05:15,1.141865
0008/04/16 05:20,1.143854
0008/04/16 05:25,1.145853
0008/04/16 05:30,1.147849
0008/04/16 05:35,1.150841
0008/04/16 05:40,1.154836
0008/04/16 05:45,1.158846
0008/04/16 05:50,1.164839
0008/04/16 05:55,1.170836
0008/04/16 06:00,1.177821
0008/04/16 06:05,1.184617
0008/04/16 06:10,1.1958
0008/04/16 06:15,1.206795
0008/04/16 06:20,1.218998
0008/04/16 06:25,1.229765
0008/04/16 06:30,1.245006
0008/04/16 06:35,1.256739
0008/04/16 06:40,1.273002
0008/04/16 06:45,1.287994
0008/04/16 06:50,1.303
0008/04/16 06:55,1.318009
0008/04/16 07:00,1.334007
0008/04/16 07:05,1.350001
0008/04/16 07:10,1.367368
0008/04/16 07:15,1.381998
0008/04/16 07:20,1.396993
0008/04/16 07:25,1.411997
0008/04/16 07:30,1.428431
0008/04/16 07:35,1.440996
0008/04/16 07:40,1.454992
0008/04/16 07:45,1.468002
0008/04/16 07:50,1.479001
0008/04/16 07:55,1.490002
0008/04/16 08:00,1.500003
0008/04/16 08:05,1.508988
0008/04/16 08:10,1.515993
0008/04/16 08:15,1.523001
0008/04/16 08:20,1.529001
0008/04/16 08:25,1.53654
0008/04/16 08:30,1.541002
0008/04/16 08:35,1.54699
0008/04/16 08:40,1.553994
0008/04/16 08:45,1.55941
0008/04/16 08:50,1.570568
0008/04/16 08:55,1.578998
0008/04/16 09:00,1.590001
0008/04/16 09:05,1.602992
0008/04/16 09:10,1.617001
0008/04/16 09:15,1.633636
0008/04/16 09:20,1.649012
0008/04/16 09:25,1.665989
0008/04/16 09:30,1.683997
0008/04/16 09:35,1.702005
0008/04/16 09:40,1.720988
0008/04/16 09:45,1.737258
0008/04/16 09:50,1.75976
0008/04/16 09:55,1.776008
0008/04/16 10:00,1.793004
0008/04/16 10:05,1.810003
0008/04/16 10:10,1.824999
0008/04/16 10:15,1.84101
0008/04/16 10:20,1.855999
0008/04/16 10:25,1.87
0008/04/16 10:30,1.884991
0008/04/16 10:35,1.899994
0008/04/16 10:40,1.913994
