RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/12/2019 00:00:00",0,0,13.2,18.42
"08/12/2019 00:05:00",0,0,15.05,18.42
"08/12/2019 00:10:00",0,0,15.02,18.42
"08/12/2019 00:15:00",0,0,14.99,18.42
"08/12/2019 00:20:00",0,0,15.82,18.42
"08/12/2019 00:25:00",0,0,15.24,18.42
"08/12/2019 00:30:00",0,0,15.81,18.42
"08/12/2019 00:35:00",0,0,15.81,18.42
"08/12/2019 00:40:00",0,0,15.24,18.42
"08/12/2019 00:45:00",0,0,15.24,18.42
"08/12/2019 00:50:00",0,0,15.26,18.42
"08/12/2019 00:55:00",0,0,15.81,18.42
"08/12/2019 01:00:00",0,0,16.79,16.5
"08/12/2019 01:05:00",0,0,16.78,16.5
"08/12/2019 01:10:00",0,0,16.28,16.5
"08/12/2019 01:15:00",0,0,15.94,16.5
"08/12/2019 01:20:00",0,0,15.8,16.5
"08/12/2019 01:25:00",0,0,15.77,16.5
"08/12/2019 01:30:00",0,0,13.68,16.5
"08/12/2019 01:35:00",0,0,14.62,16.5
"08/12/2019 01:40:00",0,0,14.02,16.5
"08/12/2019 01:45:00",0,0,13.63,16.5
"08/12/2019 01:50:00",0,0,13.26,16.5
"08/12/2019 01:55:00",0,0,13.98,16.5
"08/12/2019 02:00:00",0,0,14.53,15.47
"08/12/2019 02:05:00",0,0,14.49,15.47
"08/12/2019 02:10:00",0,0,13.27,15.47
"08/12/2019 02:15:00",0,0,13.36,15.47
"08/12/2019 02:20:00",0,0,14.51,15.47
"08/12/2019 02:25:00",0,0,13.63,15.47
"08/12/2019 02:30:00",0,0,14.52,15.47
"08/12/2019 02:35:00",0,0,14.5,15.47
"08/12/2019 02:40:00",0,0,13.23,15.47
"08/12/2019 02:45:00",0,0,12.9,15.47
"08/12/2019 02:50:00",0,0,12.03,15.47
"08/12/2019 02:55:00",0,0,12.03,15.47
"08/12/2019 03:00:00",0,0,12.75,13.89
"08/12/2019 03:05:00",0,0,13.44,13.89
"08/12/2019 03:10:00",0,0,13.28,13.89
"08/12/2019 03:15:00",0,0,13.28,13.89
"08/12/2019 03:20:00",0,0,14.98,13.89
"08/12/2019 03:25:00",0,0,14.97,13.89
"08/12/2019 03:30:00",0,0,14.56,13.89
"08/12/2019 03:35:00",0,0,13.79,13.89
"08/12/2019 03:40:00",0,0,14.97,13.89
"08/12/2019 03:45:00",0,0,13.28,13.89
"08/12/2019 03:50:00",0,0,13.19,13.89
"08/12/2019 03:55:00",0,0,13.19,13.89
"08/12/2019 04:00:00",0,0,13.19,13.91
"08/12/2019 04:05:00",0,0,13.44,13.91
"08/12/2019 04:10:00",0,0,13.94,13.91
"08/12/2019 04:15:00",0,0,13.44,13.91
"08/12/2019 04:20:00",0,0,14.55,13.91
"08/12/2019 04:25:00",0,0,14.53,13.91
"08/12/2019 04:30:00",0,0,13.92,13.91
"08/12/2019 04:35:00",0,0,13.45,13.91
"08/12/2019 04:40:00",0,0,14.55,13.91
"08/12/2019 04:45:00",0,0,13.94,13.91
"08/12/2019 04:50:00",0,0,14.5,13.91
