time,Pd_MW
"2016-08-02 00:00:00",2.450027
"2016-08-02 00:05:00",2.419397
"2016-08-02 00:10:00",2.385009
"2016-08-02 00:15:00",2.355002
"2016-08-02 00:20:00",2.325005
"2016-08-02 00:25:00",2.297
"2016-08-02 00:30:00",2.269008
"2016-08-02 00:35:00",2.240758
"2016-08-02 00:40:00",2.219003
"2016-08-02 00:45:00",2.194991
"2016-08-02 00:50:00",2.172994
"2016-08-02 00:55:00",2.152002
"2016-08-02 01:00:00",2.133016
"2016-08-02 01:05:00",2.114998
"2016-08-02 01:10:00",2.1011
"2016-08-02 01:15:00",2.083005
"2016-08-02 01:20:00",2.068999
"2016-08-02 01:25:00",2.056002
"2016-08-02 01:30:00",2.043993
"2016-08-02 01:35:00",2.034036
"2016-08-02 01:40:00",2.020986
"2016-08-02 01:45:00",2.010988
"2016-08-02 01:50:00",2.00301
"2016-08-02 01:55:00",1.991011
"2016-08-02 02:00:00",1.981998
"2016-08-02 02:05:00",1.973
"2016-08-02 02:10:00",1.965973
"2016-08-02 02:15:00",1.956958
"2016-08-02 02:20:00",1.944053
"2016-08-02 02:25:00",1.936994
"2016-08-02 02:30:00",1.930929
"2016-08-02 02:35:00",1.921021
"2016-08-02 02:40:00",1.914908
"2016-08-02 02:45:00",1.905989
"2016-08-02 02:50:00",1.898999
"2016-08-02 02:55:00",1.892001
"2016-08-02 03:00:00",1.886004
"2016-08-02 03:05:00",1.88
"2016-08-02 03:10:00",1.876883
"2016-08-02 03:15:00",1.868132
"2016-08-02 03:20:00",1.865998
"2016-08-02 03:25:00",1.860146
"2016-08-02 03:30:00",1.858997
"2016-08-02 03:35:00",1.857853
"2016-08-02 03:40:00",1.854
"2016-08-02 03:45:00",1.853
"2016-08-02 03:50:00",1.850148
"2016-08-02 03:55:00",1.851007
"2016-08-02 04:00:00",1.851007
"2016-08-02 04:05:00",1.852
"2016-08-02 04:10:00",1.852999
"2016-08-02 04:15:00",1.853152
"2016-08-02 04:20:00",1.858855
"2016-08-02 04:25:00",1.859989
"2016-08-02 04:30:00",1.864001
"2016-08-02 04:35:00",1.869002
"2016-08-02 04:40:00",1.872138
"2016-08-02 04:45:00",1.88
"2016-08-02 04:50:00",1.887003
"2016-08-02 04:55:00",1.893103
"2016-08-02 05:00:00",1.903992
"2016-08-02 05:05:00",1.915917
"2016-08-02 05:10:00",1.923999
"2016-08-02 05:15:00",1.935996
"2016-08-02 05:20:00",1.947997
"2016-08-02 05:25:00",1.959047
"2016-08-02 05:30:00",1.973026
"2016-08-02 05:35:00",1.989997
"2016-08-02 05:40:00",2.005993
"2016-08-02 05:45:00",2.022986
"2016-08-02 05:50:00",2.042046
"2016-08-02 05:55:00",2.058996
"2016-08-02 06:00:00",2.078008
"2016-08-02 06:05:00",2.098002
"2016-08-02 06:10:00",2.119
"2016-08-02 06:15:00",2.141005
"2016-08-02 06:20:00",2.163004
"2016-08-02 06:25:00",2.189175
"2016-08-02 06:30:00",2.210998
"2016-08-02 06:35:00",2.23277
"2016-08-02 06:40:00",2.258732
"2016-08-02 06:45:00",2.287002
"2016-08-02 06:50:00",2.311687
"2016-08-02 06:55:00",2.341993
"2016-08-02 07:00:00",2.370006
"2016-08-02 07:05:00",2.401404
"2016-08-02 07:10:00",2.428001
"2016-08-02 07:15:00",2.457994
"2016-08-02 07:20:00",2.490492
"2016-08-02 07:25:00",2.519003
"2016-08-02 07:30:00",2.550005
"2016-08-02 07:35:00",2.580995
"2016-08-02 07:40:00",2.612022
"2016-08-02 07:45:00",2.642
"2016-08-02 07:50:00",2.672998
"2016-08-02 07:55:00",2.704006
"2016-08-02 08:00:00",2.734005
"2016-08-02 08:05:00",2.764005
"2016-08-02 08:10:00",2.793004
"2016-08-02 08:15:00",2.822003
"2016-08-02 08:20:00",2.84614
"2016-08-02 08:25:00",2.876004
"2016-08-02 08:30:00",2.900994
"2016-08-02 08:35:00",2.925002
"2016-08-02 08:40:00",2.947021
"2016-08-02 08:45:00",2.968022
"2016-08-02 08:50:00",2.983012
"2016-08-02 08:55:00",3.006007
"2016-08-02 09:00:00",3.017004
"2016-08-02 09:05:00",3.028997
"2016-08-02 09:10:00",3.038991
"2016-08-02 09:15:00",3.046994
"2016-08-02 09:20:00",3.054995
"2016-08-02 09:25:00",3.061988
"2016-08-02 09:30:00",3.069999
"2016-08-02 09:35:00",3.078013
"2016-08-02 09:40:00",3.09108
"2016-08-02 09:45:00",3.098999
"2016-08-02 09:50:00",3.112999
"2016-08-02 09:55:00",3.129001
"2016-08-02 10:00:00",3.148997
"2016-08-02 10:05:00",3.173002
"2016-08-02 10:10:00",3.196805
"2016-08-02 10:15:00",3.233232
"2016-08-02 10:20:00",3.262008
"2016-08-02 10:25:00",3.297002
"2016-08-02 10:30:00",3.332999
"2016-08-02 10:35:00",3.370019
"2016-08-02 10:40:00",3.406995
"2016-08-02 10:45:00",3.43712
"2016-08-02 10:50:00",3.47751
"2016-08-02 10:55:00",3.513474
"2016-08-02 11:00:00",3.547452
"2016-08-02 11:05:00",3.579415
"2016-08-02 11:10:00",3.610374
"2016-08-02 11:15:00",3.638352
"2016-08-02 11:20:00",3.665345
"2016-08-02 11:25:00",3.69399
"2016-08-02 11:30:00",3.70957
"2016-08-02 11:35:00",3.735253
"2016-08-02 11:40:00",3.755239
"2016-08-02 11:45:00",3.774218
"2016-08-02 11:50:00",3.791205
"2016-08-02 11:55:00",3.807197
"2016-08-02 12:00:00",3.822189
"2016-08-02 12:05:00",3.836158
"2016-08-02 12:10:00",3.852002
"2016-08-02 12:15:00",3.862992
"2016-08-02 12:20:00",3.869125
"2016-08-02 12:25:00",3.881994
"2016-08-02 12:30:00",3.886107
"2016-08-02 12:35:00",3.896983
"2016-08-02 12:40:00",3.903009
"2016-08-02 12:45:00",3.903094
"2016-08-02 12:50:00",3.910996
"2016-08-02 12:55:00",3.913004
"2016-08-02 13:00:00",3.914992
"2016-08-02 13:05:00",3.915995
"2016-08-02 13:10:00",3.914992
"2016-08-02 13:15:00",3.917917
"2016-08-02 13:20:00",3.912004
"2016-08-02 13:25:00",3.909994
"2016-08-02 13:30:00",3.91091
"2016-08-02 13:35:00",3.903998
"2016-08-02 13:40:00",3.896091
"2016-08-02 13:45:00",3.895999
"2016-08-02 13:50:00",3.888106
"2016-08-02 13:55:00",3.889002
"2016-08-02 14:00:00",3.884996
"2016-08-02 14:05:00",3.88199
"2016-08-02 14:10:00",3.882882
"2016-08-02 14:15:00",3.875995
"2016-08-02 14:20:00",3.874979
"2016-08-02 14:25:00",3.874
"2016-08-02 14:30:00",3.877868
"2016-08-02 14:35:00",3.879876
"2016-08-02 14:40:00",3.882889
"2016-08-02 14:45:00",3.887894
"2016-08-02 14:50:00",3.894881
"2016-08-02 14:55:00",3.902898
"2016-08-02 15:00:00",3.913914
"2016-08-02 15:05:00",3.926926
"2016-08-02 15:10:00",3.941938
"2016-08-02 15:15:00",3.957958
"2016-08-02 15:20:00",3.974968
"2016-08-02 15:25:00",3.993982
"2016-08-02 15:30:00",4.008
"2016-08-02 15:35:00",4.030027
"2016-08-02 15:40:00",4.048049
"2016-08-02 15:45:00",4.065064
"2016-08-02 15:50:00",4.080068
"2016-08-02 15:55:00",4.09409
"2016-08-02 16:00:00",4.100992
"2016-08-02 16:05:00",4.105898
"2016-08-02 16:10:00",4.117003
"2016-08-02 16:15:00",4.120991
"2016-08-02 16:20:00",4.11987
"2016-08-02 16:25:00",4.120873
"2016-08-02 16:30:00",4.124999
"2016-08-02 16:35:00",4.119868
"2016-08-02 16:40:00",4.117879
"2016-08-02 16:45:00",4.115909
"2016-08-02 16:50:00",4.112884
"2016-08-02 16:55:00",4.109886
"2016-08-02 17:00:00",4.107893
"2016-08-02 17:05:00",4.1059
"2016-08-02 17:10:00",4.108011
"2016-08-02 17:15:00",4.107011
"2016-08-02 17:20:00",4.104995
"2016-08-02 17:25:00",4.099895
"2016-08-02 17:30:00",4.101
"2016-08-02 17:35:00",4.099001
"2016-08-02 17:40:00",4.09091
"2016-08-02 17:45:00",4.086914
"2016-08-02 17:50:00",4.089085
"2016-08-02 17:55:00",4.077992
"2016-08-02 18:00:00",4.070001
"2016-08-02 18:05:00",4.059996
"2016-08-02 18:10:00",4.043948
"2016-08-02 18:15:00",4.035997
"2016-08-02 18:20:00",4.021997
"2016-08-02 18:25:00",4.001995
