time,solar_MW
0008/03/16 00:00,0
0008/03/16 00:05,0
0008/03/16 00:10,0
0008/03/16 00:15,0
0008/03/16 00:20,0
0008/03/16 00:25,0
0008/03/16 00:30,0
0008/03/16 00:35,0
0008/03/16 00:40,0
0008/03/16 00:45,0
0008/03/16 00:50,0
0008/03/16 00:55,0
0008/03/16 01:00,0
0008/03/16 01:05,0
0008/03/16 01:10,0
0008/03/16 01:15,0
0008/03/16 01:20,0
0008/03/16 01:25,0
0008/03/16 01:30,0
0008/03/16 01:35,0
0008/03/16 01:40,0
0008/03/16 01:45,0
0008/03/16 01:50,0
0008/03/16 01:55,0
0008/03/16 02:00,0
0008/03/16 02:05,0
0008/03/16 02:10,0
0008/03/16 02:15,0
0008/03/16 02:20,0
0008/03/16 02:25,0
0008/03/16 02:30,0
0008/03/16 02:35,0
0008/03/16 02:40,0
0008/03/16 02:45,0
0008/03/16 02:50,0
0008/03/16 02:55,0
0008/03/16 03:00,0
0008/03/16 03:05,0
0008/03/16 03:10,0
0008/03/16 03:15,0
0008/03/16 03:20,0
0008/03/16 03:25,0
0008/03/16 03:30,0
0008/03/16 03:35,0
0008/03/16 03:40,0
0008/03/16 03:45,0
0008/03/16 03:50,0
0008/03/16 03:55,0
0008/03/16 04:00,0
0008/03/16 04:05,0
0008/03/16 04:10,0
0008/03/16 04:15,0
0008/03/16 04:20,0
0008/03/16 04:25,0
0008/03/16 04:30,0
0008/03/16 04:35,0
0008/03/16 04:40,0
0008/03/16 04:45,0
0008/03/16 04:50,0
0008/03/16 04:55,0
0008/03/16 05:00,0
0008/03/16 05:05,0
0008/03/16 05:10,0
0008/03/16 05:15,0
0008/03/16 05:20,0
0008/03/16 05:25,0
0008/03/16 05:30,0
0008/03/16 05:35,0
0008/03/16 05:40,0.045819
0008/03/16 05:45,0.106889
0008/03/16 05:50,0.198503
0008/03/16 05:55,0.274887
0008/03/16 06:00,0.381765
0008/03/16 06:05,0.458126
0008/03/16 06:10,0.519194
0008/03/16 06:15,0.610853
0008/03/16 06:20,0.763545
0008/03/16 06:25,0.839907
0008/03/16 06:30,0.992601
0008/03/16 06:35,1.130045
0008/03/16 06:40,1.267498
0008/03/16 06:45,1.328561
0008/03/16 06:50,1.359111
0008/03/16 06:55,1.496548
0008/03/16 07:00,1.725603
0008/03/16 07:05,1.924134
0008/03/16 07:10,2.06158
0008/03/16 07:15,2.183729
0008/03/16 07:20,2.305911
0008/03/16 07:25,2.428085
0008/03/16 07:30,2.565535
0008/03/16 07:35,2.70295
0008/03/16 07:40,2.840384
0008/03/16 07:45,2.962541
0008/03/16 07:50,3.084718
0008/03/16 07:55,3.206895
0008/03/16 08:00,3.329048
0008/03/16 08:05,3.45122
0008/03/16 08:10,3.573399
0008/03/16 08:15,3.695569
0008/03/16 08:20,3.817731
0008/03/16 08:25,3.939898
0008/03/16 08:30,4.046808
0008/03/16 08:35,4.168958
0008/03/16 08:40,4.275848
0008/03/16 08:45,4.398022
0008/03/16 08:50,4.42858
0008/03/16 08:55,4.611819
0008/03/16 09:00,4.733989
0008/03/16 09:05,4.82561
0008/03/16 09:10,4.947773
0008/03/16 09:15,4.978312
0008/03/16 09:20,5.146295
0008/03/16 09:25,5.237923
0008/03/16 09:30,5.329568
0008/03/16 09:35,5.421187
0008/03/16 09:40,5.512798
0008/03/16 09:45,5.589163
0008/03/16 09:50,5.680777
0008/03/16 09:55,5.772411
0008/03/16 10:00,5.84877
0008/03/16 10:05,5.925123
0008/03/16 10:10,6.00148
0008/03/16 10:15,6.062543
0008/03/16 10:20,6.138924
