RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/08/2019 00:00:00",0,0,18.78,22.73
"08/08/2019 00:05:00",0,0,16.87,22.73
"08/08/2019 00:10:00",0,0,18.79,22.73
"08/08/2019 00:15:00",0,0,18.78,22.73
"08/08/2019 00:20:00",0,0,16.87,22.73
"08/08/2019 00:25:00",0,0,16.86,22.73
"08/08/2019 00:30:00",0,0,16.91,22.73
"08/08/2019 00:35:00",0,0,16.96,22.73
"08/08/2019 00:40:00",0,0,16.84,22.73
"08/08/2019 00:45:00",0,0,16.84,22.73
"08/08/2019 00:50:00",0,0,16.82,22.73
"08/08/2019 00:55:00",0,0,16.37,22.73
"08/08/2019 01:00:00",0,0,16.98,20.74
"08/08/2019 01:05:00",0,0,18.28,20.74
"08/08/2019 01:10:00",0,0,16.66,20.74
"08/08/2019 01:15:00",0,0,16.75,20.74
"08/08/2019 01:20:00",0,0,16.68,20.74
"08/08/2019 01:25:00",0,0,16.41,20.74
"08/08/2019 01:30:00",0,0,16.7,20.74
"08/08/2019 01:35:00",0,0,16.87,20.74
"08/08/2019 01:40:00",0,0,16.78,20.74
"08/08/2019 01:45:00",0,0,16.41,20.74
"08/08/2019 01:50:00",0,0,15.81,20.74
"08/08/2019 01:55:00",0,0,15.76,20.74
"08/08/2019 02:00:00",0,0,16.73,18.98
"08/08/2019 02:05:00",0,0,18.61,18.98
"08/08/2019 02:10:00",0,0,16.75,18.98
"08/08/2019 02:15:00",0,0,18.65,18.98
"08/08/2019 02:20:00",0,0,16.74,18.98
"08/08/2019 02:25:00",0,0,16.69,18.98
"08/08/2019 02:30:00",0,0,16.71,18.98
"08/08/2019 02:35:00",0,0,16.67,18.98
"08/08/2019 02:40:00",0,0,16.64,18.98
"08/08/2019 02:45:00",0,0,16.64,18.98
"08/08/2019 02:50:00",0,0,16.64,18.98
"08/08/2019 02:55:00",0,0,16.23,18.98
"08/08/2019 03:00:00",0,0,16.79,18.27
"08/08/2019 03:05:00",0,0,16.91,18.27
"08/08/2019 03:10:00",0,0,16.68,18.27
