RTD End Time Stamp,RTD 10 Min Non Sync,RTD 30 Min Non Sync,Real Time LBMP,Day Ahead LBMP
2019-02-28T00:00:00.0,0,0,41.73,35.46
2019-02-28T00:05:00.0,0,0,37.69,35.46
2019-02-28T00:10:00.0,0,0,49.9,35.46
2019-02-28T00:15:00.0,0,0,44.93,35.46
2019-02-28T00:20:00.0,0,0,39.78,35.46
2019-02-28T00:25:00.0,0,0,41.82,35.46
2019-02-28T00:30:00.0,0,0,37.8,35.46
2019-02-28T00:35:00.0,0,0,33.63,35.46
2019-02-28T00:40:00.0,0,0,30.8,35.46
2019-02-28T00:45:00.0,0,0,30.8,35.46
2019-02-28T00:50:00.0,0,0,31.93,35.46
2019-02-28T00:55:00.0,0,0,33.32,35.46
2019-02-28T01:00:00.0,0,0,33.39,33.53
2019-02-28T01:05:00.0,0,0,35.26,33.53
2019-02-28T01:10:00.0,0,0,33.53,33.53
2019-02-28T01:15:00.0,0,0,32.81,33.53
2019-02-28T01:20:00.0,0,0,32.64,33.53
2019-02-28T01:25:00.0,0,0,34.8,33.53
2019-02-28T01:30:00.0,0,0,32.61,33.53
2019-02-28T01:35:00.0,0,0,32.64,33.53
2019-02-28T01:40:00.0,0,0,32.48,33.53
2019-02-28T01:45:00.0,0,0,32.06,33.53
2019-02-28T01:50:00.0,0,0,30.8,33.53
2019-02-28T01:55:00.0,0,0,33.45,33.53
2019-02-28T02:00:00.0,0,0,39.64,34.58
2019-02-28T02:05:00.0,0,0,41.8,34.58
2019-02-28T02:10:00.0,0,0,54.84,34.58
2019-02-28T02:15:00.0,0,0,74.82,34.58
2019-02-28T02:20:00.0,0,0,55.19,34.58
2019-02-28T02:25:00.0,0,0,57.91,34.58
2019-02-28T02:30:00.0,0,0,44.76,34.58
2019-02-28T02:35:00.0,0,0,56.34,34.58
2019-02-28T02:40:00.0,0,0,44.76,34.58
2019-02-28T02:45:00.0,0,0,44.21,34.58
2019-02-28T02:50:00.0,0,0,44.88,34.58
2019-02-28T02:55:00.0,0,0,44.21,34.58
2019-02-28T03:00:00.0,0,0,44.19,34.22
2019-02-28T03:05:00.0,0,0,45,34.22
2019-02-28T03:10:00.0,0,0,56.36,34.22
2019-02-28T03:15:00.0,0,0,44.76,34.22
2019-02-28T03:20:00.0,0,0,44.22,34.22
2019-02-28T03:25:00.0,0,0,56.39,34.22
2019-02-28T03:30:00.0,0,0,57.29,34.22
2019-02-28T03:35:00.0,0,0,57.3,34.22
2019-02-28T03:40:00.0,0,0,72.06,34.22
2019-02-28T03:45:00.0,0,0,63.13,34.22
2019-02-28T03:50:00.0,0,0,71.29,34.22
2019-02-28T03:55:00.0,0,0,71.21,34.22
2019-02-28T04:00:00.0,0,0,44.89,34.19
2019-02-28T04:05:00.0,0,0,41.97,34.19
2019-02-28T04:10:00.0,0,0,37.32,34.19
2019-02-28T04:15:00.0,0,0,27.45,34.19
2019-02-28T04:20:00.0,0,0,27.62,34.19
2019-02-28T04:25:00.0,0,0,28.21,34.19
2019-02-28T04:30:00.0,0,0,28.21,34.19
2019-02-28T04:35:00.0,0,0,28.21,34.19
2019-02-28T04:40:00.0,0,0,30.83,34.19
2019-02-28T04:45:00.0,0,0,37.34,34.19
2019-02-28T04:50:00.0,0,0,37.34,34.19
2019-02-28T04:55:00.0,0,0,37.37,34.19
2019-02-28T05:00:00.0,0,0,34.77,34.43
2019-02-28T05:05:00.0,0,0,37.28,34.43
2019-02-28T05:10:00.0,0,0,37.32,34.43
2019-02-28T05:15:00.0,0,0,37.82,34.43
2019-02-28T05:20:00.0,0,0,39.01,34.43
2019-02-28T05:25:00.0,0,0,39.36,34.43
2019-02-28T05:30:00.0,0,0,38.94,34.43
2019-02-28T05:35:00.0,0,0,39.21,34.43
2019-02-28T05:40:00.0,0,0,39.33,34.43
2019-02-28T05:45:00.0,1.51,0,38.82,34.43
