RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/27/2019 00:00:00",0,0,13.04,16.09
"08/27/2019 00:05:00",0,0,13.05,16.09
"08/27/2019 00:10:00",0,0,16.4,16.09
"08/27/2019 00:15:00",0,0,16.6,16.09
"08/27/2019 00:20:00",0,0,15.33,16.09
"08/27/2019 00:25:00",0,0,14.87,16.09
"08/27/2019 00:30:00",0,0,12.93,16.09
"08/27/2019 00:35:00",0,0,12.25,16.09
"08/27/2019 00:40:00",0,0,12.24,16.09
"08/27/2019 00:45:00",0,0,12.25,16.09
"08/27/2019 00:50:00",0,0,12.02,16.09
"08/27/2019 00:55:00",0,0,11.36,16.09
"08/27/2019 01:00:00",0,0,12.99,13.53
"08/27/2019 01:05:00",0,0,12.99,13.53
"08/27/2019 01:10:00",0,0,12.82,13.53
"08/27/2019 01:15:00",0,0,12.81,13.53
"08/27/2019 01:20:00",0,0,12.24,13.53
"08/27/2019 01:25:00",0,0,12.54,13.53
"08/27/2019 01:30:00",0,0,12.53,13.53
"08/27/2019 01:35:00",0,0,12.27,13.53
"08/27/2019 01:40:00",0,0,12.27,13.53
"08/27/2019 01:45:00",0,0,12.15,13.53
"08/27/2019 01:50:00",0,0,10.6,13.53
"08/27/2019 01:55:00",0,0,6.53,13.53
"08/27/2019 02:00:00",0,0,12.48,12.92
"08/27/2019 02:05:00",0,0,12.23,12.92
"08/27/2019 02:10:00",0,0,12.22,12.92
"08/27/2019 02:15:00",0,0,12.22,12.92
"08/27/2019 02:20:00",0,0,12.49,12.92
"08/27/2019 02:25:00",0,0,12.36,12.92
"08/27/2019 02:30:00",0,0,12.21,12.92
"08/27/2019 02:35:00",0,0,12.36,12.92
"08/27/2019 02:40:00",0,0,12.21,12.92
"08/27/2019 02:45:00",0,0,12.2,12.92
"08/27/2019 02:50:00",0,0,12.2,12.92
"08/27/2019 02:55:00",0,0,12.2,12.92
"08/27/2019 03:00:00",0,0,12.21,12.61
"08/27/2019 03:05:00",0,0,12.48,12.61
