RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/21/2019 00:00:00",0,0,20.31,22.78
"08/21/2019 00:05:00",0,0,18.87,22.78
"08/21/2019 00:10:00",0,0,19.48,22.78
"08/21/2019 00:15:00",0,0,19.5,22.78
"08/21/2019 00:20:00",0,0,20.11,22.78
"08/21/2019 00:25:00",0,0,20.05,22.78
"08/21/2019 00:30:00",0,0,20.07,22.78
"08/21/2019 00:35:00",0,0,20.07,22.78
"08/21/2019 00:40:00",0,0,20.03,22.78
"08/21/2019 00:45:00",0,0,20.03,22.78
"08/21/2019 00:50:00",0,0,20.09,22.78
"08/21/2019 00:55:00",0,0,19.46,22.78
"08/21/2019 01:00:00",0,0,21.72,19.54
"08/21/2019 01:05:00",0,0,21.66,19.54
"08/21/2019 01:10:00",0,0,20.75,19.54
"08/21/2019 01:15:00",0,0,19.1,19.54
"08/21/2019 01:20:00",0,0,19.27,19.54
"08/21/2019 01:25:00",0,0,19.43,19.54
"08/21/2019 01:30:00",0,0,19.46,19.54
"08/21/2019 01:35:00",0,0,19.46,19.54
"08/21/2019 01:40:00",0,0,18.51,19.54
"08/21/2019 01:45:00",0,0,19.97,19.54
"08/21/2019 01:50:00",0,0,18.52,19.54
"08/21/2019 01:55:00",0,0,18.13,19.54
"08/21/2019 02:00:00",0,0,18.13,18.8
"08/21/2019 02:05:00",0,0,18.13,18.8
"08/21/2019 02:10:00",0,0,18.13,18.8
"08/21/2019 02:15:00",0,0,18.17,18.8
"08/21/2019 02:20:00",0,0,18.74,18.8
"08/21/2019 02:25:00",0,0,18.72,18.8
"08/21/2019 02:30:00",0,0,18.5,18.8
"08/21/2019 02:35:00",0,0,18.15,18.8
"08/21/2019 02:40:00",0,0,17.86,18.8
"08/21/2019 02:45:00",0,0,17.8,18.8
"08/21/2019 02:50:00",0,0,17.67,18.8
"08/21/2019 02:55:00",0,0,17.64,18.8
"08/21/2019 03:00:00",0,0,18.07,17.77
"08/21/2019 03:05:00",0,0,18.02,17.77
"08/21/2019 03:10:00",0,0,18.11,17.77
"08/21/2019 03:15:00",0,0,18.38,17.77
"08/21/2019 03:20:00",0,0,18.09,17.77
"08/21/2019 03:25:00",0,0,18.04,17.77
"08/21/2019 03:30:00",0,0,17.92,17.77
"08/21/2019 03:35:00",0,0,17.82,17.77
"08/21/2019 03:40:00",0,0,17.62,17.77
"08/21/2019 03:45:00",0,0,17.62,17.77
"08/21/2019 03:50:00",0,0,17.6,17.77
"08/21/2019 03:55:00",0,0,17.62,17.77
"08/21/2019 04:00:00",0,0,18.04,17.69
"08/21/2019 04:05:00",0,0,18.43,17.69
"08/21/2019 04:10:00",0,0,19.62,17.69
"08/21/2019 04:15:00",0,0,19.13,17.69
"08/21/2019 04:20:00",0,0,19.13,17.69
"08/21/2019 04:25:00",0,0,18.88,17.69
"08/21/2019 04:30:00",0,0,20.05,17.69
"08/21/2019 04:35:00",0,0,20.05,17.69
"08/21/2019 04:40:00",0,0,20.09,17.69
"08/21/2019 04:45:00",0,0,20.07,17.69
"08/21/2019 04:50:00",0,0,20.05,17.69
"08/21/2019 04:55:00",0,0,20.1,17.69
"08/21/2019 05:00:00",0,0,19.72,19.34
"08/21/2019 05:05:00",0,0,21.35,19.34
"08/21/2019 05:10:00",0,0,20.75,19.34
"08/21/2019 05:15:00",0,0,20.6,19.34
"08/21/2019 05:20:00",0,0,20.75,19.34
"08/21/2019 05:25:00",0,0,20.75,19.34
"08/21/2019 05:30:00",0,0,21.29,19.34
"08/21/2019 05:35:00",0,0,21.68,19.34
"08/21/2019 05:40:00",0,0,21.8,19.34
"08/21/2019 05:45:00",0,0,23.64,19.34
"08/21/2019 05:50:00",0,0,22.92,19.34
"08/21/2019 05:55:00",0,0,22.83,19.34
"08/21/2019 06:00:00",0,0,21.65,21.05
"08/21/2019 06:05:00",0,0,21.65,21.05
"08/21/2019 06:10:00",0,0,21.64,21.05
"08/21/2019 06:15:00",0,0,21.65,21.05
"08/21/2019 06:20:00",0,0,21.76,21.05
"08/21/2019 06:25:00",0,0,22.87,21.05
"08/21/2019 06:30:00",0,0,22.85,21.05
"08/21/2019 06:35:00",0,0,22.95,21.05
"08/21/2019 06:40:00",0,0,24.11,21.05
"08/21/2019 06:45:00",0,0,24.39,21.05
"08/21/2019 06:50:00",0,0,24.39,21.05
"08/21/2019 06:55:00",0,0,24.99,21.05
"08/21/2019 07:00:00",0,0,21.79,22.94
"08/21/2019 07:05:00",0,0,20.81,22.94
"08/21/2019 07:10:00",0,0,22.04,22.94
"08/21/2019 07:15:00",0,0,22.2,22.94
"08/21/2019 07:20:00",0,0,22.83,22.94
"08/21/2019 07:25:00",0,0,24.45,22.94
"08/21/2019 07:30:00",0,0,24.52,22.94
"08/21/2019 07:35:00",0,0,23.99,22.94
"08/21/2019 07:40:00",0,0,24.57,22.94
"08/21/2019 07:45:00",0,0,22.85,22.94
"08/21/2019 07:50:00",0,0,22.14,22.94
"08/21/2019 07:55:00",0,0,22.15,22.94
"08/21/2019 08:00:00",0,0,18.71,23.72
"08/21/2019 08:05:00",0,0,18.49,23.72
"08/21/2019 08:10:00",0,0,21.64,23.72
"08/21/2019 08:15:00",0,0,22.24,23.72
"08/21/2019 08:20:00",0,0,22.81,23.72
"08/21/2019 08:25:00",0,0,22.85,23.72
"08/21/2019 08:30:00",0,0,22.83,23.72
"08/21/2019 08:35:00",0,0,24,23.72
"08/21/2019 08:40:00",0,0,24.6,23.72
"08/21/2019 08:45:00",0,0,25.9,23.72
"08/21/2019 08:50:00",0,0,26.96,23.72
"08/21/2019 08:55:00",0,0,27.9,23.72
"08/21/2019 09:00:00",0,0,23.94,26.33
"08/21/2019 09:05:00",0,0,24.72,26.33
"08/21/2019 09:10:00",0,0,25.88,26.33
"08/21/2019 09:15:00",0,0,25.33,26.33
"08/21/2019 09:20:00",0,0,27.93,26.33
"08/21/2019 09:25:00",0,0,27.53,26.33
"08/21/2019 09:30:00",0,0,29.19,26.33
"08/21/2019 09:35:00",0,0,29.19,26.33
"08/21/2019 09:40:00",0,0,29.26,26.33
"08/21/2019 09:45:00",0,0,27.96,26.33
"08/21/2019 09:50:00",0,0,28.13,26.33
"08/21/2019 09:55:00",0,0,26.97,26.33
"08/21/2019 10:00:00",0,0,27.92,27.1
"08/21/2019 10:05:00",0,0,31.49,27.1
"08/21/2019 10:10:00",0,0,31.48,27.1
"08/21/2019 10:15:00",0,0,28.74,27.1
"08/21/2019 10:20:00",0,0,35.17,27.1
"08/21/2019 10:25:00",0,0,29.43,27.1
"08/21/2019 10:30:00",0,0,28.49,27.1
"08/21/2019 10:35:00",0,0,28.66,27.1
"08/21/2019 10:40:00",0,0,28.69,27.1
"08/21/2019 10:45:00",0,0,28.7,27.1
"08/21/2019 10:50:00",0,0,28.79,27.1
"08/21/2019 10:55:00",0,0,29.13,27.1
"08/21/2019 11:00:00",0,0,27.07,29.15
"08/21/2019 11:05:00",0,0,27.46,29.15
"08/21/2019 11:10:00",0,0,27.76,29.15
"08/21/2019 11:15:00",0,0,27.71,29.15
"08/21/2019 11:20:00",0,0,28.77,29.15
"08/21/2019 11:25:00",0,0,29.58,29.15
"08/21/2019 11:30:00",0,0,28.82,29.15
"08/21/2019 11:35:00",0,0,29.58,29.15
"08/21/2019 11:40:00",0,0,30.24,29.15
"08/21/2019 11:45:00",0,0,28.3,29.15
"08/21/2019 11:50:00",0,0,28.12,29.15
"08/21/2019 11:55:00",0,0,28.72,29.15
"08/21/2019 12:00:00",0,0,28.37,29.41
"08/21/2019 12:05:00",0,0,30.69,29.41
"08/21/2019 12:10:00",0,0,29.08,29.41
"08/21/2019 12:15:00",0,0,29.15,29.41
"08/21/2019 12:20:00",0,0,29.6,29.41
"08/21/2019 12:25:00",0,0,29.62,29.41
"08/21/2019 12:30:00",0,0,29.59,29.41
"08/21/2019 12:35:00",0,0,29.6,29.41
"08/21/2019 12:40:00",0,0,29.7,29.41
"08/21/2019 12:45:00",0,0,29.6,29.41
"08/21/2019 12:50:00",0,0,29.62,29.41
"08/21/2019 12:55:00",0,0,31.3,29.41
"08/21/2019 13:00:00",0,0,27.53,31.98
"08/21/2019 13:05:00",0,0,27.86,31.98
"08/21/2019 13:10:00",0,0,28.01,31.98
"08/21/2019 13:15:00",0,0,28.17,31.98
"08/21/2019 13:20:00",0,0,29.05,31.98
"08/21/2019 13:25:00",0,0,30.61,31.98
"08/21/2019 13:30:00",0,0,30.61,31.98
"08/21/2019 13:35:00",0,0,30.69,31.98
"08/21/2019 13:40:00",0,0,31.89,31.98
"08/21/2019 13:45:00",0,0,32.49,31.98
"08/21/2019 13:50:00",0,0,32.49,31.98
"08/21/2019 13:55:00",0,0,42.82,31.98
"08/21/2019 14:00:00",0,0,105.4,38.07
"08/21/2019 14:05:00",0,0,106.44,38.07
"08/21/2019 14:10:00",0,0,171.22,38.07
"08/21/2019 14:15:00",0,0,105.76,38.07
"08/21/2019 14:20:00",0,0,40.02,38.07
"08/21/2019 14:25:00",0,0,105.04,38.07
"08/21/2019 14:30:00",0,0,46.61,38.07
"08/21/2019 14:35:00",0,0,48.79,38.07
"08/21/2019 14:40:00",0,0,105.13,38.07
"08/21/2019 14:45:00",0,0,39.92,38.07
"08/21/2019 14:50:00",0,0,34.63,38.07
"08/21/2019 14:55:00",0,0,39.85,38.07
"08/21/2019 15:00:00",0,0,34.69,46.5
"08/21/2019 15:05:00",0,0,105.59,46.5
"08/21/2019 15:10:00",0,0,105.59,46.5
"08/21/2019 15:15:00",0,0,105.96,46.5
"08/21/2019 15:20:00",0,0,106.54,46.5
"08/21/2019 15:25:00",0,0,106.31,46.5
"08/21/2019 15:30:00",0,0,105.59,46.5
"08/21/2019 15:35:00",0,0,105.14,46.5
"08/21/2019 15:40:00",0,0,105.58,46.5
"08/21/2019 15:45:00",0,0,76.34,46.5
"08/21/2019 15:50:00",0,0,41.75,46.5
"08/21/2019 15:55:00",0,0,36.32,46.5
"08/21/2019 16:00:00",0,0,27.51,53.23
"08/21/2019 16:05:00",0,0,28.23,53.23
"08/21/2019 16:10:00",0,0,28.23,53.23
"08/21/2019 16:15:00",0,0,24.74,53.23
"08/21/2019 16:20:00",0,0,24.8,53.23
"08/21/2019 16:25:00",0,0,31.95,53.23
"08/21/2019 16:30:00",0,0,24.54,53.23
"08/21/2019 16:35:00",0,0,29.55,53.23
"08/21/2019 16:40:00",0,0,29.82,53.23
"08/21/2019 16:45:00",0,0,109.98,53.23
"08/21/2019 16:50:00",0,0,-7.67,53.23
"08/21/2019 16:55:00",0,0,9.13,53.23
"08/21/2019 17:00:00",0,0,14.63,50.07
"08/21/2019 17:05:00",0,0,50.84,50.07
"08/21/2019 17:10:00",0,0,54.09,50.07
"08/21/2019 17:15:00",0,0,58.46,50.07
"08/21/2019 17:20:00",0,0,56.67,50.07
"08/21/2019 17:25:00",0,0,55.99,50.07
"08/21/2019 17:30:00",0,0,62.8,50.07
"08/21/2019 17:35:00",0,0,53.78,50.07
"08/21/2019 17:40:00",0,0,36.28,50.07
"08/21/2019 17:45:00",0,0,31.64,50.07
"08/21/2019 17:50:00",0,0,20.61,50.07
"08/21/2019 17:55:00",0,0,20.49,50.07
"08/21/2019 18:00:00",0,0,17.52,38.03
"08/21/2019 18:05:00",0,0,19.96,38.03
"08/21/2019 18:10:00",0,0,17.83,38.03
"08/21/2019 18:15:00",0,0,18.64,38.03
"08/21/2019 18:20:00",0,0,20.24,38.03
"08/21/2019 18:25:00",0,0,19.91,38.03
"08/21/2019 18:30:00",0,0,20.6,38.03
"08/21/2019 18:35:00",0,0,22.26,38.03
"08/21/2019 18:40:00",0,0,21.17,38.03
"08/21/2019 18:45:00",0,0,21.48,38.03
"08/21/2019 18:50:00",0,0,21.89,38.03
"08/21/2019 18:55:00",0,0,24.48,38.03
"08/21/2019 19:00:00",0,0,12.15,32.88
"08/21/2019 19:05:00",0,0,-0.11,32.88
"08/21/2019 19:10:00",0,0,16.22,32.88
