time,Pd_MW
"2016-08-04 00:00:00",2.155996
"2016-08-04 00:05:00",2.127865
"2016-08-04 00:10:00",2.105002
"2016-08-04 00:15:00",2.082001
"2016-08-04 00:20:00",2.060003
"2016-08-04 00:25:00",2.036969
"2016-08-04 00:30:00",2.020012
"2016-08-04 00:35:00",2.001009
"2016-08-04 00:40:00",1.982011
"2016-08-04 00:45:00",1.967007
"2016-08-04 00:50:00",1.951957
"2016-08-04 00:55:00",1.932998
"2016-08-04 01:00:00",1.917004
"2016-08-04 01:05:00",1.900998
"2016-08-04 01:10:00",1.884005
"2016-08-04 01:15:00",1.869868
"2016-08-04 01:20:00",1.851994
"2016-08-04 01:25:00",1.836004
"2016-08-04 01:30:00",1.820004
"2016-08-04 01:35:00",1.802199
"2016-08-04 01:40:00",1.789
"2016-08-04 01:45:00",1.774995
"2016-08-04 01:50:00",1.75924
"2016-08-04 01:55:00",1.745251
"2016-08-04 02:00:00",1.732266
"2016-08-04 02:05:00",1.720288
"2016-08-04 02:10:00",1.708289
"2016-08-04 02:15:00",1.697294
"2016-08-04 02:20:00",1.687313
"2016-08-04 02:25:00",1.67732
"2016-08-04 02:30:00",1.668323
"2016-08-04 02:35:00",1.65933
"2016-08-04 02:40:00",1.650691
"2016-08-04 02:45:00",1.642711
"2016-08-04 02:50:00",1.638355
"2016-08-04 02:55:00",1.632368
"2016-08-04 03:00:00",1.626386
"2016-08-04 03:05:00",1.621363
"2016-08-04 03:10:00",1.617394
"2016-08-04 03:15:00",1.613386
"2016-08-04 03:20:00",1.609398
"2016-08-04 03:25:00",1.606398
"2016-08-04 03:30:00",1.60339
"2016-08-04 03:35:00",1.601393
"2016-08-04 03:40:00",1.599405
"2016-08-04 03:45:00",1.6
"2016-08-04 03:50:00",1.598989
"2016-08-04 03:55:00",1.598008
"2016-08-04 04:00:00",1.596998
"2016-08-04 04:05:00",1.596998
"2016-08-04 04:10:00",1.596002
"2016-08-04 04:15:00",1.596998
"2016-08-04 04:20:00",1.5996
"2016-08-04 04:25:00",1.599008
"2016-08-04 04:30:00",1.601006
"2016-08-04 04:35:00",1.605611
"2016-08-04 04:40:00",1.608006
"2016-08-04 04:45:00",1.613006
"2016-08-04 04:50:00",1.619001
"2016-08-04 04:55:00",1.625995
"2016-08-04 05:00:00",1.633999
"2016-08-04 05:05:00",1.644003
"2016-08-04 05:10:00",1.653351
"2016-08-04 05:15:00",1.667001
"2016-08-04 05:20:00",1.680008
"2016-08-04 05:25:00",1.694001
"2016-08-04 05:30:00",1.709
"2016-08-04 05:35:00",1.723271
"2016-08-04 05:40:00",1.742737
"2016-08-04 05:45:00",1.758009
"2016-08-04 05:50:00",1.774233
"2016-08-04 05:55:00",1.794797
"2016-08-04 06:00:00",1.810991
"2016-08-04 06:05:00",1.827169
"2016-08-04 06:10:00",1.847008
"2016-08-04 06:15:00",1.866004
"2016-08-04 06:20:00",1.883998
"2016-08-04 06:25:00",1.904002
"2016-08-04 06:30:00",1.925925
"2016-08-04 06:35:00",1.945005
"2016-08-04 06:40:00",1.966997
"2016-08-04 06:45:00",1.988998
"2016-08-04 06:50:00",2.013
"2016-08-04 06:55:00",2.040034
"2016-08-04 07:00:00",2.065003
"2016-08-04 07:05:00",2.090894
"2016-08-04 07:10:00",2.122006
"2016-08-04 07:15:00",2.152998
"2016-08-04 07:20:00",2.18399
"2016-08-04 07:25:00",2.213783
"2016-08-04 07:30:00",2.247991
"2016-08-04 07:35:00",2.278716
"2016-08-04 07:40:00",2.311678
"2016-08-04 07:45:00",2.347
"2016-08-04 07:50:00",2.376624
"2016-08-04 07:55:00",2.40859
"2016-08-04 08:00:00",2.44055
"2016-08-04 08:05:00",2.471525
"2016-08-04 08:10:00",2.50149
"2016-08-04 08:15:00",2.530464
"2016-08-04 08:20:00",2.562007
"2016-08-04 08:25:00",2.587412
"2016-08-04 08:30:00",2.614386
"2016-08-04 08:35:00",2.641358
"2016-08-04 08:40:00",2.671008
"2016-08-04 08:45:00",2.697004
"2016-08-04 08:50:00",2.720277
"2016-08-04 08:55:00",2.751744
"2016-08-04 09:00:00",2.775007
"2016-08-04 09:05:00",2.7982
"2016-08-04 09:10:00",2.826004
"2016-08-04 09:15:00",2.852004
"2016-08-04 09:20:00",2.877998
"2016-08-04 09:25:00",2.904
"2016-08-04 09:30:00",2.927079
"2016-08-04 09:35:00",2.955994
"2016-08-04 09:40:00",2.985981
"2016-08-04 09:45:00",3.009995
"2016-08-04 09:50:00",3.036998
"2016-08-04 09:55:00",3.06501
"2016-08-04 10:00:00",3.093
"2016-08-04 10:05:00",3.12199
"2016-08-04 10:10:00",3.150993
"2016-08-04 10:15:00",3.18101
"2016-08-04 10:20:00",3.207793
"2016-08-04 10:25:00",3.241994
"2016-08-04 10:30:00",3.269718
"2016-08-04 10:35:00",3.30731
"2016-08-04 10:40:00",3.334999
"2016-08-04 10:45:00",3.365997
"2016-08-04 10:50:00",3.39459
"2016-08-04 10:55:00",3.432431
"2016-08-04 11:00:00",3.461002
"2016-08-04 11:05:00",3.48851
"2016-08-04 11:10:00",3.527525
"2016-08-04 11:15:00",3.555001
"2016-08-04 11:20:00",3.586996
"2016-08-04 11:25:00",3.614387
"2016-08-04 11:30:00",3.649998
"2016-08-04 11:35:00",3.684684
"2016-08-04 11:40:00",3.715718
"2016-08-04 11:45:00",3.747744
