RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/16/2019 00:00:00",0,0,22.2,19.64
"08/16/2019 00:05:00",0,0,22.21,19.64
"08/16/2019 00:10:00",0,0,22.19,19.64
"08/16/2019 00:15:00",0,0,22.04,19.64
"08/16/2019 00:20:00",0,0,20.72,19.64
"08/16/2019 00:25:00",0,0,20.56,19.64
"08/16/2019 00:30:00",0,0,19.78,19.64
"08/16/2019 00:35:00",0,0,19.71,19.64
"08/16/2019 00:40:00",0,0,16.81,19.64
"08/16/2019 00:45:00",0,0,16.58,19.64
"08/16/2019 00:50:00",0,0,16.57,19.64
"08/16/2019 00:55:00",0,0,16.41,19.64
"08/16/2019 01:00:00",0,0,19.75,18.84
"08/16/2019 01:05:00",0,0,16.57,18.84
"08/16/2019 01:10:00",0,0,16.47,18.84
"08/16/2019 01:15:00",0,0,18.81,18.84
"08/16/2019 01:20:00",0,0,19.18,18.84
"08/16/2019 01:25:00",0,0,16.58,18.84
"08/16/2019 01:30:00",0,0,16.54,18.84
"08/16/2019 01:35:00",0,0,16.53,18.84
"08/16/2019 01:40:00",0,0,16.4,18.84
"08/16/2019 01:45:00",0,0,16.51,18.84
"08/16/2019 01:50:00",0,0,16.51,18.84
"08/16/2019 01:55:00",0,0,16.48,18.84
"08/16/2019 02:00:00",0,0,19.74,16.61
"08/16/2019 02:05:00",0,0,16.32,16.61
"08/16/2019 02:10:00",0,0,16.26,16.61
"08/16/2019 02:15:00",0,0,16.26,16.61
"08/16/2019 02:20:00",0,0,16.27,16.61
"08/16/2019 02:25:00",0,0,15.56,16.61
"08/16/2019 02:30:00",0,0,15.56,16.61
"08/16/2019 02:35:00",0,0,16.26,16.61
"08/16/2019 02:40:00",0,0,15.63,16.61
"08/16/2019 02:45:00",0,0,16.38,16.61
"08/16/2019 02:50:00",0,0,16.51,16.61
"08/16/2019 02:55:00",0,0,16.46,16.61
"08/16/2019 03:00:00",0,0,16.6,15.87
"08/16/2019 03:05:00",0,0,16.51,15.87
"08/16/2019 03:10:00",0,0,16.48,15.87
"08/16/2019 03:15:00",0,0,16.41,15.87
"08/16/2019 03:20:00",0,0,16.29,15.87
"08/16/2019 03:25:00",0,0,16.39,15.87
"08/16/2019 03:30:00",0,0,16.49,15.87
"08/16/2019 03:35:00",0,0,16.51,15.87
"08/16/2019 03:40:00",0,0,16.48,15.87
"08/16/2019 03:45:00",0,0,16.41,15.87
"08/16/2019 03:50:00",0,0,16.48,15.87
"08/16/2019 03:55:00",0,0,16.52,15.87
"08/16/2019 04:00:00",0,0,18.09,16.32
"08/16/2019 04:05:00",0,0,16.49,16.32
