time,solar_MW
"2016-08-03 00:00:00",0
"2016-08-03 00:05:00",0
"2016-08-03 00:10:00",0
"2016-08-03 00:15:00",0
"2016-08-03 00:20:00",0
"2016-08-03 00:25:00",0
"2016-08-03 00:30:00",0
"2016-08-03 00:35:00",0
"2016-08-03 00:40:00",0
"2016-08-03 00:45:00",0
"2016-08-03 00:50:00",0
"2016-08-03 00:55:00",0
"2016-08-03 01:00:00",0
"2016-08-03 01:05:00",0
"2016-08-03 01:10:00",0
"2016-08-03 01:15:00",0
"2016-08-03 01:20:00",0
"2016-08-03 01:25:00",0
"2016-08-03 01:30:00",0
"2016-08-03 01:35:00",0
"2016-08-03 01:40:00",0
"2016-08-03 01:45:00",0
"2016-08-03 01:50:00",0
"2016-08-03 01:55:00",0
"2016-08-03 02:00:00",0
"2016-08-03 02:05:00",0
"2016-08-03 02:10:00",0
"2016-08-03 02:15:00",0
"2016-08-03 02:20:00",0
"2016-08-03 02:25:00",0
"2016-08-03 02:30:00",0
"2016-08-03 02:35:00",0
"2016-08-03 02:40:00",0
"2016-08-03 02:45:00",0
"2016-08-03 02:50:00",0
"2016-08-03 02:55:00",0
"2016-08-03 03:00:00",0
"2016-08-03 03:05:00",0
"2016-08-03 03:10:00",0
"2016-08-03 03:15:00",0
"2016-08-03 03:20:00",0
"2016-08-03 03:25:00",0
"2016-08-03 03:30:00",0
"2016-08-03 03:35:00",0
"2016-08-03 03:40:00",0
"2016-08-03 03:45:00",0
"2016-08-03 03:50:00",0
"2016-08-03 03:55:00",0
"2016-08-03 04:00:00",0
"2016-08-03 04:05:00",0
"2016-08-03 04:10:00",0
"2016-08-03 04:15:00",0
"2016-08-03 04:20:00",0
"2016-08-03 04:25:00",0
"2016-08-03 04:30:00",0
"2016-08-03 04:35:00",0
"2016-08-03 04:40:00",0
"2016-08-03 04:45:00",0
"2016-08-03 04:50:00",0
"2016-08-03 04:55:00",0
"2016-08-03 05:00:00",0
"2016-08-03 05:05:00",0
"2016-08-03 05:10:00",0
"2016-08-03 05:15:00",0
"2016-08-03 05:20:00",0
"2016-08-03 05:25:00",0
"2016-08-03 05:30:00",0
"2016-08-03 05:35:00",0
"2016-08-03 05:40:00",0.030065
"2016-08-03 05:45:00",0.070102
"2016-08-03 05:50:00",0.130169
"2016-08-03 05:55:00",0.180346
"2016-08-03 06:00:00",0.250422
"2016-08-03 06:05:00",0.300505
"2016-08-03 06:10:00",0.340571
"2016-08-03 06:15:00",0.400735
"2016-08-03 06:20:00",0.50084
"2016-08-03 06:25:00",0.550959
"2016-08-03 06:30:00",0.651112
"2016-08-03 06:35:00",0.74124
"2016-08-03 06:40:00",0.83141
"2016-08-03 06:45:00",0.871476
"2016-08-03 06:50:00",0.891535
"2016-08-03 06:55:00",0.981664
"2016-08-03 07:00:00",1.131918
"2016-08-03 07:05:00",1.262131
"2016-08-03 07:10:00",1.352298
"2016-08-03 07:15:00",1.432422
"2016-08-03 07:20:00",1.512573
"2016-08-03 07:25:00",1.592729
"2016-08-03 07:30:00",1.682909
"2016-08-03 07:35:00",1.773038
"2016-08-03 07:40:00",1.863152
"2016-08-03 07:45:00",1.943254
"2016-08-03 07:50:00",2.023407
"2016-08-03 07:55:00",2.10356
"2016-08-03 08:00:00",2.183682
"2016-08-03 08:05:00",2.26384
"2016-08-03 08:10:00",2.34398
"2016-08-03 08:15:00",2.424135
"2016-08-03 08:20:00",2.50428
"2016-08-03 08:25:00",2.584401
"2016-08-03 08:30:00",2.654545
"2016-08-03 08:35:00",2.734619
"2016-08-03 08:40:00",2.804762
"2016-08-03 08:45:00",2.884916
"2016-08-03 08:50:00",2.904956
"2016-08-03 08:55:00",3.025142
"2016-08-03 09:00:00",3.10529
"2016-08-03 09:05:00",3.165379
"2016-08-03 09:10:00",3.245508
"2016-08-03 09:15:00",3.265526
"2016-08-03 09:20:00",3.375736
"2016-08-03 09:25:00",3.435852
"2016-08-03 09:30:00",3.495988
"2016-08-03 09:35:00",3.556056
"2016-08-03 09:40:00",3.616135
"2016-08-03 09:45:00",3.666218
"2016-08-03 09:50:00",3.726305
"2016-08-03 09:55:00",3.78645
"2016-08-03 10:00:00",3.836559
"2016-08-03 10:05:00",3.886578
"2016-08-03 10:10:00",3.936711
"2016-08-03 10:15:00",3.976717
"2016-08-03 10:20:00",4.026894
"2016-08-03 10:25:00",4.076928
"2016-08-03 10:30:00",4.106979
"2016-08-03 10:35:00",4.147044
"2016-08-03 10:40:00",4.187129
"2016-08-03 10:45:00",4.227193
"2016-08-03 10:50:00",4.247266
"2016-08-03 10:55:00",4.287236
"2016-08-03 11:00:00",4.307311
"2016-08-03 11:05:00",4.347401
"2016-08-03 11:10:00",4.367395
"2016-08-03 11:15:00",4.387471
"2016-08-03 11:20:00",4.407477
"2016-08-03 11:25:00",4.417483
"2016-08-03 11:30:00",4.437554
"2016-08-03 11:35:00",4.457571
"2016-08-03 11:40:00",4.467618
"2016-08-03 11:45:00",4.477639
"2016-08-03 11:50:00",4.477639
"2016-08-03 11:55:00",4.477643
"2016-08-03 12:00:00",4.487655
"2016-08-03 12:05:00",4.487658
"2016-08-03 12:10:00",4.487656
"2016-08-03 12:15:00",4.477638
"2016-08-03 12:20:00",4.477638
"2016-08-03 12:25:00",4.467621
"2016-08-03 12:30:00",4.457576
"2016-08-03 12:35:00",4.447547
"2016-08-03 12:40:00",4.427549
"2016-08-03 12:45:00",4.407479
"2016-08-03 12:50:00",4.387465
"2016-08-03 12:55:00",4.367392
"2016-08-03 13:00:00",4.257217
"2016-08-03 13:05:00",4.217192
"2016-08-03 13:10:00",4.287241
"2016-08-03 13:15:00",4.257217
"2016-08-03 13:20:00",4.217193
"2016-08-03 13:25:00",4.187131
"2016-08-03 13:30:00",4.127001
"2016-08-03 13:35:00",4.076928
"2016-08-03 13:40:00",3.686282
"2016-08-03 13:45:00",3.305651
"2016-08-03 13:50:00",3.856561
"2016-08-03 13:55:00",3.936713
"2016-08-03 14:00:00",3.646206
"2016-08-03 14:05:00",3.095242
"2016-08-03 14:10:00",3.505949
"2016-08-03 14:15:00",2.524326
"2016-08-03 14:20:00",3.405803
"2016-08-03 14:25:00",3.556057
"2016-08-03 14:30:00",2.80476
"2016-08-03 14:35:00",1.302224
"2016-08-03 14:40:00",1.602745
"2016-08-03 14:45:00",0.821395
"2016-08-03 14:50:00",2.834855
"2016-08-03 14:55:00",3.235521
"2016-08-03 15:00:00",2.995096
"2016-08-03 15:05:00",2.5443
"2016-08-03 15:10:00",2.253775
"2016-08-03 15:15:00",1.75297
"2016-08-03 15:20:00",0.961665
"2016-08-03 15:25:00",1.161967
"2016-08-03 15:30:00",1.592727
"2016-08-03 15:35:00",2.644488
"2016-08-03 15:40:00",2.57438
"2016-08-03 15:45:00",2.474153
"2016-08-03 15:50:00",2.424138
"2016-08-03 15:55:00",2.333959
"2016-08-03 16:00:00",2.253779
"2016-08-03 16:05:00",2.183689
"2016-08-03 16:10:00",2.093565
"2016-08-03 16:15:00",2.003412
"2016-08-03 16:20:00",1.913223
"2016-08-03 16:25:00",1.833128
"2016-08-03 16:30:00",1.502513
"2016-08-03 16:35:00",0.881455
"2016-08-03 16:40:00",1.512572
"2016-08-03 16:45:00",1.502518
"2016-08-03 16:50:00",1.442463
"2016-08-03 16:55:00",1.36232
"2016-08-03 17:00:00",1.061816
"2016-08-03 17:05:00",0.921539
"2016-08-03 17:10:00",0.420666
"2016-08-03 17:15:00",0.981667
"2016-08-03 17:20:00",0.901519
"2016-08-03 17:25:00",0.851412
"2016-08-03 17:30:00",0.591017
"2016-08-03 17:35:00",0.621105
"2016-08-03 17:40:00",0.591021
"2016-08-03 17:45:00",0.50084
"2016-08-03 17:50:00",0.440701
"2016-08-03 17:55:00",0.370609
"2016-08-03 18:00:00",0.260424
"2016-08-03 18:05:00",0.21033
"2016-08-03 18:10:00",0.180341
"2016-08-03 18:15:00",0.13017
"2016-08-03 18:20:00",0.090203
"2016-08-03 18:25:00",0.040036
"2016-08-03 18:30:00",0
"2016-08-03 18:35:00",0
"2016-08-03 18:40:00",0
"2016-08-03 18:45:00",0
"2016-08-03 18:50:00",0
"2016-08-03 18:55:00",0
"2016-08-03 19:00:00",0
"2016-08-03 19:05:00",0
"2016-08-03 19:10:00",0
"2016-08-03 19:15:00",0
"2016-08-03 19:20:00",0
"2016-08-03 19:25:00",0
"2016-08-03 19:30:00",0
"2016-08-03 19:35:00",0
"2016-08-03 19:40:00",0
"2016-08-03 19:45:00",0
"2016-08-03 19:50:00",0
"2016-08-03 19:55:00",0
"2016-08-03 20:00:00",0
"2016-08-03 20:05:00",0
"2016-08-03 20:10:00",0
"2016-08-03 20:15:00",0
"2016-08-03 20:20:00",0
"2016-08-03 20:25:00",0
"2016-08-03 20:30:00",0
"2016-08-03 20:35:00",0
"2016-08-03 20:40:00",0
"2016-08-03 20:45:00",0
"2016-08-03 20:50:00",0
"2016-08-03 20:55:00",0
"2016-08-03 21:00:00",0
"2016-08-03 21:05:00",0
"2016-08-03 21:10:00",0
"2016-08-03 21:15:00",0
"2016-08-03 21:20:00",0
"2016-08-03 21:25:00",0
"2016-08-03 21:30:00",0
"2016-08-03 21:35:00",0
"2016-08-03 21:40:00",0
"2016-08-03 21:45:00",0
"2016-08-03 21:50:00",0
"2016-08-03 21:55:00",0
"2016-08-03 22:00:00",0
"2016-08-03 22:05:00",0
"2016-08-03 22:10:00",0
"2016-08-03 22:15:00",0
"2016-08-03 22:20:00",0
"2016-08-03 22:25:00",0
"2016-08-03 22:30:00",0
"2016-08-03 22:35:00",0
"2016-08-03 22:40:00",0
"2016-08-03 22:45:00",0
"2016-08-03 22:50:00",0
"2016-08-03 22:55:00",0
"2016-08-03 23:00:00",0
"2016-08-03 23:05:00",0
"2016-08-03 23:10:00",0
"2016-08-03 23:15:00",0
"2016-08-03 23:20:00",0
"2016-08-03 23:25:00",0
"2016-08-03 23:30:00",0
"2016-08-03 23:35:00",0
"2016-08-03 23:40:00",0
"2016-08-03 23:45:00",0
"2016-08-03 23:50:00",0
"2016-08-03 23:55:00",0
"2016-08-04 00:00:00",0
"2016-08-04 00:05:00",0
"2016-08-04 00:10:00",0
"2016-08-04 00:15:00",0
"2016-08-04 00:20:00",0
"2016-08-04 00:25:00",0
"2016-08-04 00:30:00",0
"2016-08-04 00:35:00",0
"2016-08-04 00:40:00",0
"2016-08-04 00:45:00",0
"2016-08-04 00:50:00",0
"2016-08-04 00:55:00",0
"2016-08-04 01:00:00",0
"2016-08-04 01:05:00",0
"2016-08-04 01:10:00",0
"2016-08-04 01:15:00",0
"2016-08-04 01:20:00",0
"2016-08-04 01:25:00",0
"2016-08-04 01:30:00",0
"2016-08-04 01:35:00",0
"2016-08-04 01:40:00",0
"2016-08-04 01:45:00",0
"2016-08-04 01:50:00",0
"2016-08-04 01:55:00",0
"2016-08-04 02:00:00",0
"2016-08-04 02:05:00",0
"2016-08-04 02:10:00",0
"2016-08-04 02:15:00",0
"2016-08-04 02:20:00",0
"2016-08-04 02:25:00",0
"2016-08-04 02:30:00",0
"2016-08-04 02:35:00",0
"2016-08-04 02:40:00",0
"2016-08-04 02:45:00",0
"2016-08-04 02:50:00",0
"2016-08-04 02:55:00",0
"2016-08-04 03:00:00",0
"2016-08-04 03:05:00",0
"2016-08-04 03:10:00",0
"2016-08-04 03:15:00",0
"2016-08-04 03:20:00",0
"2016-08-04 03:25:00",0
"2016-08-04 03:30:00",0
"2016-08-04 03:35:00",0
"2016-08-04 03:40:00",0
"2016-08-04 03:45:00",0
"2016-08-04 03:50:00",0
"2016-08-04 03:55:00",0
"2016-08-04 04:00:00",0
"2016-08-04 04:05:00",0
"2016-08-04 04:10:00",0
"2016-08-04 04:15:00",0
"2016-08-04 04:20:00",0
"2016-08-04 04:25:00",0
"2016-08-04 04:30:00",0
"2016-08-04 04:35:00",0
"2016-08-04 04:40:00",0
"2016-08-04 04:45:00",0
"2016-08-04 04:50:00",0
"2016-08-04 04:55:00",0
"2016-08-04 05:00:00",0
"2016-08-04 05:05:00",0
"2016-08-04 05:10:00",0
"2016-08-04 05:15:00",0
"2016-08-04 05:20:00",0
"2016-08-04 05:25:00",0
"2016-08-04 05:30:00",0
"2016-08-04 05:35:00",0
"2016-08-04 05:40:00",0.020047
"2016-08-04 05:45:00",0.060105
"2016-08-04 05:50:00",0.100153
"2016-08-04 05:55:00",0.160296
"2016-08-04 06:00:00",0.090205
"2016-08-04 06:05:00",0.220346
"2016-08-04 06:10:00",0.390631
"2016-08-04 06:15:00",0.460777
"2016-08-04 06:20:00",0.530911
"2016-08-04 06:25:00",0.611044
"2016-08-04 06:30:00",0.611043
"2016-08-04 06:35:00",0.721212
"2016-08-04 06:40:00",0.791327
"2016-08-04 06:45:00",0.871483
"2016-08-04 06:50:00",0.94161
"2016-08-04 06:55:00",1.011682
"2016-08-04 07:00:00",0.921539
"2016-08-04 07:05:00",0.570945
"2016-08-04 07:10:00",1.111897
"2016-08-04 07:15:00",1.312236
"2016-08-04 07:20:00",1.152002
"2016-08-04 07:25:00",1.502517
"2016-08-04 07:30:00",1.602747
"2016-08-04 07:35:00",1.682909
"2016-08-04 07:40:00",1.783011
"2016-08-04 07:45:00",1.873201
"2016-08-04 07:50:00",1.682911
"2016-08-04 07:55:00",1.522589
"2016-08-04 08:00:00",1.993421
"2016-08-04 08:05:00",2.063493
"2016-08-04 08:10:00",2.063493
"2016-08-04 08:15:00",2.133651
"2016-08-04 08:20:00",2.203768
"2016-08-04 08:25:00",2.253777
"2016-08-04 08:30:00",2.454232
"2016-08-04 08:35:00",2.694552
"2016-08-04 08:40:00",2.734616
"2016-08-04 08:45:00",2.824811
