time,Pd_MW
0008/01/16 00:00,1.667333
0008/01/16 00:05,1.647354
0008/01/16 00:10,1.628373
0008/01/16 00:15,1.611985
0008/01/16 00:20,1.593395
0008/01/16 00:25,1.58
0008/01/16 00:30,1.564996
0008/01/16 00:35,1.552005
0008/01/16 00:40,1.538447
0008/01/16 00:45,1.526467
0008/01/16 00:50,1.51852
0008/01/16 00:55,1.507005
0008/01/16 01:00,1.497998
0008/01/16 01:05,1.488995
0008/01/16 01:10,1.480997
0008/01/16 01:15,1.473008
0008/01/16 01:20,1.465997
0008/01/16 01:25,1.458991
0008/01/16 01:30,1.454454
0008/01/16 01:35,1.444551
0008/01/16 01:40,1.439999
0008/01/16 01:45,1.433992
0008/01/16 01:50,1.428004
0008/01/16 01:55,1.422007
0008/01/16 02:00,1.415994
0008/01/16 02:05,1.40859
0008/01/16 02:10,1.403006
0008/01/16 02:15,1.397006
0008/01/16 02:20,1.390002
0008/01/16 02:25,1.384001
0008/01/16 02:30,1.375625
0008/01/16 02:35,1.370006
0008/01/16 02:40,1.362632
0008/01/16 02:45,1.356996
0008/01/16 02:50,1.351355
0008/01/16 02:55,1.344006
0008/01/16 03:00,1.336997
0008/01/16 03:05,1.331003
0008/01/16 03:10,1.324003
0008/01/16 03:15,1.316676
0008/01/16 03:20,1.311687
0008/01/16 03:25,1.305703
0008/01/16 03:30,1.300693
0008/01/16 03:35,1.296705
0008/01/16 03:40,1.294006
0008/01/16 03:45,1.292291
0008/01/16 03:50,1.288999
0008/01/16 03:55,1.289282
0008/01/16 04:00,1.28701
0008/01/16 04:05,1.285723
0008/01/16 04:10,1.288995
0008/01/16 04:15,1.291004
0008/01/16 04:20,1.291707
0008/01/16 04:25,1.294697
0008/01/16 04:30,1.298704
0008/01/16 04:35,1.303002
0008/01/16 04:40,1.305693
0008/01/16 04:45,1.309691
0008/01/16 04:50,1.313692
0008/01/16 04:55,1.317677
0008/01/16 05:00,1.320679
0008/01/16 05:05,1.323683
0008/01/16 05:10,1.326669
0008/01/16 05:15,1.328665
0008/01/16 05:20,1.331675
0008/01/16 05:25,1.334663
0008/01/16 05:30,1.33767
0008/01/16 05:35,1.341656
0008/01/16 05:40,1.346986
0008/01/16 05:45,1.351643
0008/01/16 05:50,1.358996
0008/01/16 05:55,1.36599
0008/01/16 06:00,1.375001
0008/01/16 06:05,1.385004
0008/01/16 06:10,1.398395
0008/01/16 06:15,1.409001
0008/01/16 06:20,1.424422
0008/01/16 06:25,1.439443
0008/01/16 06:30,1.454454
0008/01/16 06:35,1.469
0008/01/16 06:40,1.486496
0008/01/16 06:45,1.503501
0008/01/16 06:50,1.519516
0008/01/16 06:55,1.538073
0008/01/16 07:00,1.552556
0008/01/16 07:05,1.568573
0008/01/16 07:10,1.586161
0008/01/16 07:15,1.599592
0008/01/16 07:20,1.61622
0008/01/16 07:25,1.628626
0008/01/16 07:30,1.64264
0008/01/16 07:35,1.655653
0008/01/16 07:40,1.668674
0008/01/16 07:45,1.681689
0008/01/16 07:50,1.693693
0008/01/16 07:55,1.701293
0008/01/16 08:00,1.713995
0008/01/16 08:05,1.725733
0008/01/16 08:10,1.733994
0008/01/16 08:15,1.742991
0008/01/16 08:20,1.749251
0008/01/16 08:25,1.757243
0008/01/16 08:30,1.766006
0008/01/16 08:35,1.772996
0008/01/16 08:40,1.778006
0008/01/16 08:45,1.784004
0008/01/16 08:50,1.786214
0008/01/16 08:55,1.791996
0008/01/16 09:00,1.794993
0008/01/16 09:05,1.797008
0008/01/16 09:10,1.799
0008/01/16 09:15,1.799201
0008/01/16 09:20,1.801007
0008/01/16 09:25,1.800202
0008/01/16 09:30,1.802003
0008/01/16 09:35,1.800995
0008/01/16 09:40,1.800998
0008/01/16 09:45,1.799992
0008/01/16 09:50,1.799
0008/01/16 09:55,1.798
0008/01/16 10:00,1.797007
0008/01/16 10:05,1.795993
0008/01/16 10:10,1.794985
0008/01/16 10:15,1.794985
0008/01/16 10:20,1.794003
0008/01/16 10:25,1.794004
0008/01/16 10:30,1.796796
0008/01/16 10:35,1.795001
0008/01/16 10:40,1.797001
0008/01/16 10:45,1.797986
0008/01/16 10:50,1.800004
0008/01/16 10:55,1.803008
0008/01/16 11:00,1.807
0008/01/16 11:05,1.810998
0008/01/16 11:10,1.816005
0008/01/16 11:15,1.82018
0008/01/16 11:20,1.828002
0008/01/16 11:25,1.833994
0008/01/16 11:30,1.839999
0008/01/16 11:35,1.847837
0008/01/16 11:40,1.852999
0008/01/16 11:45,1.857994
0008/01/16 11:50,1.864006
0008/01/16 11:55,1.868996
0008/01/16 12:00,1.873998
0008/01/16 12:05,1.879884
0008/01/16 12:10,1.880994
0008/01/16 12:15,1.883998
0008/01/16 12:20,1.887006
0008/01/16 12:25,1.890004
0008/01/16 12:30,1.893892
0008/01/16 12:35,1.894995
0008/01/16 12:40,1.897993
0008/01/16 12:45,1.900999
0008/01/16 12:50,1.905004
0008/01/16 12:55,1.909992
0008/01/16 13:00,1.914995
0008/01/16 13:05,1.920997
0008/01/16 13:10,1.927998
0008/01/16 13:15,1.935995
0008/01/16 13:20,1.944996
0008/01/16 13:25,1.95204
0008/01/16 13:30,1.96103
0008/01/16 13:35,1.97103
0008/01/16 13:40,1.982997
0008/01/16 13:45,1.991005
