RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/20/2019 00:00:00",0,0,18.81,25.32
"08/20/2019 00:05:00",0,0,17.23,25.32
"08/20/2019 00:10:00",0,0,18.78,25.32
"08/20/2019 00:15:00",0,0,18.25,25.32
"08/20/2019 00:20:00",0,0,18.71,25.32
"08/20/2019 00:25:00",0,0,18.14,25.32
"08/20/2019 00:30:00",0,0,18.11,25.32
"08/20/2019 00:35:00",0,0,18.13,25.32
"08/20/2019 00:40:00",0,0,17.63,25.32
"08/20/2019 00:45:00",0,0,17.1,25.32
"08/20/2019 00:50:00",0,0,16.35,25.32
"08/20/2019 00:55:00",0,0,15.56,25.32
"08/20/2019 01:00:00",0,0,17.01,23.11
"08/20/2019 01:05:00",0,0,17.8,23.11
"08/20/2019 01:10:00",0,0,17.04,23.11
"08/20/2019 01:15:00",0,0,16.4,23.11
"08/20/2019 01:20:00",0,0,16.17,23.11
"08/20/2019 01:25:00",0,0,15.54,23.11
"08/20/2019 01:30:00",0,0,15.42,23.11
"08/20/2019 01:35:00",0,0,15.42,23.11
"08/20/2019 01:40:00",0,0,14.82,23.11
"08/20/2019 01:45:00",0,0,14.66,23.11
"08/20/2019 01:50:00",0,0,14.66,23.11
"08/20/2019 01:55:00",0,0,13.71,23.11
"08/20/2019 02:00:00",0,0,17.57,22.32
"08/20/2019 02:05:00",0,0,16.84,22.32
"08/20/2019 02:10:00",0,0,16.06,22.32
"08/20/2019 02:15:00",0,0,16.03,22.32
"08/20/2019 02:20:00",0,0,15.51,22.32
"08/20/2019 02:25:00",0,0,15.27,22.32
"08/20/2019 02:30:00",0,0,15.23,22.32
"08/20/2019 02:35:00",0,0,15.04,22.32
"08/20/2019 02:40:00",0,0,14.65,22.32
"08/20/2019 02:45:00",0,0,14.65,22.32
"08/20/2019 02:50:00",0,0,14.65,22.32
"08/20/2019 02:55:00",0,0,14.63,22.32
"08/20/2019 03:00:00",0,0,14.64,21.34
"08/20/2019 03:05:00",0,0,14.67,21.34
"08/20/2019 03:10:00",0,0,14.65,21.34
"08/20/2019 03:15:00",0,0,14.65,21.34
"08/20/2019 03:20:00",0,0,14.63,21.34
"08/20/2019 03:25:00",0,0,14.63,21.34
"08/20/2019 03:30:00",0,0,14.65,21.34
"08/20/2019 03:35:00",0,0,14.63,21.34
"08/20/2019 03:40:00",0,0,14.63,21.34
"08/20/2019 03:45:00",0,0,14.43,21.34
"08/20/2019 03:50:00",0,0,14.16,21.34
"08/20/2019 03:55:00",0,0,13.87,21.34
"08/20/2019 04:00:00",0,0,14.63,21.21
"08/20/2019 04:05:00",0,0,14.63,21.21
"08/20/2019 04:10:00",0,0,14.43,21.21
"08/20/2019 04:15:00",0,0,3.29,21.21
"08/20/2019 04:20:00",0,0,3.29,21.21
"08/20/2019 04:25:00",0,0,3.29,21.21
"08/20/2019 04:30:00",0,0,3.29,21.21
"08/20/2019 04:35:00",0,0,3.31,21.21
"08/20/2019 04:40:00",0,0,3.31,21.21
"08/20/2019 04:45:00",0,0,13.44,21.21
"08/20/2019 04:50:00",0,0,13.75,21.21
"08/20/2019 04:55:00",0,0,13.76,21.21
"08/20/2019 05:00:00",0,0,2.17,22.6
"08/20/2019 05:05:00",0,0,2.18,22.6
"08/20/2019 05:10:00",0,0,3.3,22.6
"08/20/2019 05:15:00",0,0,13.74,22.6
"08/20/2019 05:20:00",0,0,13.75,22.6
"08/20/2019 05:25:00",0,0,13.93,22.6
"08/20/2019 05:30:00",0,0,14.45,22.6
"08/20/2019 05:35:00",0,0,14.63,22.6
"08/20/2019 05:40:00",0,0,14.65,22.6
"08/20/2019 05:45:00",0,0,14.69,22.6
"08/20/2019 05:50:00",0,0,14.65,22.6
"08/20/2019 05:55:00",0,0,14.43,22.6
