RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/26/2019 00:00:00",0,0,12.44,16.16
"08/26/2019 00:05:00",0,0,11.38,16.16
"08/26/2019 00:10:00",0,0,13.33,16.16
"08/26/2019 00:15:00",0,0,11.62,16.16
"08/26/2019 00:20:00",0,0,10.15,16.16
"08/26/2019 00:25:00",0,0,10.15,16.16
"08/26/2019 00:30:00",0,0,11.36,16.16
"08/26/2019 00:35:00",0,0,11.37,16.16
"08/26/2019 00:40:00",0,0,11.37,16.16
"08/26/2019 00:45:00",0,0,11.37,16.16
"08/26/2019 00:50:00",0,0,11.36,16.16
"08/26/2019 00:55:00",0,0,11.47,16.16
"08/26/2019 01:00:00",0,0,11.37,14.41
"08/26/2019 01:05:00",0,0,11.76,14.41
"08/26/2019 01:10:00",0,0,11.37,14.41
"08/26/2019 01:15:00",0,0,11.46,14.41
"08/26/2019 01:20:00",0,0,11.46,14.41
"08/26/2019 01:25:00",0,0,11.41,14.41
"08/26/2019 01:30:00",0,0,11.35,14.41
"08/26/2019 01:35:00",0,0,10.88,14.41
"08/26/2019 01:40:00",0,0,10.12,14.41
"08/26/2019 01:45:00",0,0,10.12,14.41
"08/26/2019 01:50:00",0,0,10.12,14.41
"08/26/2019 01:55:00",0,0,9.41,14.41
"08/26/2019 02:00:00",0,0,13.13,13.2
"08/26/2019 02:05:00",0,0,12.88,13.2
"08/26/2019 02:10:00",0,0,11.37,13.2
"08/26/2019 02:15:00",0,0,10.91,13.2
"08/26/2019 02:20:00",0,0,11.36,13.2
"08/26/2019 02:25:00",0,0,11.36,13.2
"08/26/2019 02:30:00",0,0,11.35,13.2
"08/26/2019 02:35:00",0,0,11.35,13.2
"08/26/2019 02:40:00",0,0,10.92,13.2
"08/26/2019 02:45:00",0,0,10.92,13.2
"08/26/2019 02:50:00",0,0,10.91,13.2
"08/26/2019 02:55:00",0,0,10.91,13.2
"08/26/2019 03:00:00",0,0,13.01,12.66
"08/26/2019 03:05:00",0,0,13.08,12.66
"08/26/2019 03:10:00",0,0,11.83,12.66
"08/26/2019 03:15:00",0,0,10.73,12.66
"08/26/2019 03:20:00",0,0,2.43,12.66
"08/26/2019 03:25:00",0,0,5.09,12.66
"08/26/2019 03:30:00",0,0,10.74,12.66
"08/26/2019 03:35:00",0,0,10.74,12.66
"08/26/2019 03:40:00",0,0,5.09,12.66
"08/26/2019 03:45:00",0,0,5.09,12.66
"08/26/2019 03:50:00",0,0,5.09,12.66
"08/26/2019 03:55:00",0,0,5.09,12.66
"08/26/2019 04:00:00",0,0,2.44,12.66
"08/26/2019 04:05:00",0,0,2.45,12.66
"08/26/2019 04:10:00",0,0,2.44,12.66
"08/26/2019 04:15:00",0,0,11.64,12.66
"08/26/2019 04:20:00",0,0,11.76,12.66
"08/26/2019 04:25:00",0,0,11.36,12.66
"08/26/2019 04:30:00",0,0,11.35,12.66
"08/26/2019 04:35:00",0,0,5.09,12.66
"08/26/2019 04:40:00",0,0,11.35,12.66
"08/26/2019 04:45:00",0,0,11.36,12.66
"08/26/2019 04:50:00",0,0,11.48,12.66
"08/26/2019 04:55:00",0,0,11.62,12.66
"08/26/2019 05:00:00",0,0,10.17,13.59
"08/26/2019 05:05:00",0,0,11.36,13.59
"08/26/2019 05:10:00",0,0,11.49,13.59
"08/26/2019 05:15:00",0,0,12.41,13.59
"08/26/2019 05:20:00",0,0,13.14,13.59
"08/26/2019 05:25:00",0,0,13.19,13.59
"08/26/2019 05:30:00",0,0,12.56,13.59
"08/26/2019 05:35:00",0,0,13.13,13.59
"08/26/2019 05:40:00",0,0,12.58,13.59
"08/26/2019 05:45:00",0,0,13.19,13.59
"08/26/2019 05:50:00",0,0,13.3,13.59
"08/26/2019 05:55:00",0,0,13.32,13.59
"08/26/2019 06:00:00",0,0,10.15,14.9
"08/26/2019 06:05:00",0,0,13.11,14.9
