time,Pd_MW
2008/05/16 00:00,3.469004
2008/05/16 00:05,3.445998
2008/05/16 00:10,3.42257
2008/05/16 00:15,3.409001
2008/05/16 00:20,3.393004
2008/05/16 00:25,3.375623
2008/05/16 00:30,3.362634
2008/05/16 00:35,3.353998
2008/05/16 00:40,3.338653
2008/05/16 00:45,3.326672
2008/05/16 00:50,3.316996
2008/05/16 00:55,3.300692
2008/05/16 01:00,3.286707
2008/05/16 01:05,3.270719
2008/05/16 01:10,3.25374
2008/05/16 01:15,3.235749
2008/05/16 01:20,3.221007
2008/05/16 01:25,3.201997
2008/05/16 01:30,3.183994
2008/05/16 01:35,3.165998
2008/05/16 01:40,3.149002
2008/05/16 01:45,3.133002
2008/05/16 01:50,3.119
2008/05/16 01:55,3.107006
2008/05/16 02:00,3.097008
2008/05/16 02:05,3.090003
2008/05/16 02:10,3.085001
2008/05/16 02:15,3.083008
2008/05/16 02:20,3.086088
2008/05/16 02:25,3.087085
2008/05/16 02:30,3.087994
2008/05/16 02:35,3.092994
2008/05/16 02:40,3.098999
2008/05/16 02:45,3.106002
2008/05/16 02:50,3.114002
2008/05/16 02:55,3.123003
2008/05/16 03:00,3.132002
2008/05/16 03:05,3.141
2008/05/16 03:10,3.151002
2008/05/16 03:15,3.157836
2008/05/16 03:20,3.170998
2008/05/16 03:25,3.182003
2008/05/16 03:30,3.192004
2008/05/16 03:35,3.202999
2008/05/16 03:40,3.210792
2008/05/16 03:45,3.221779
2008/05/16 03:50,3.236006
2008/05/16 03:55,3.248002
2008/05/16 04:00,3.258992
2008/05/16 04:05,3.270993
2008/05/16 04:10,3.278727
2008/05/16 04:15,3.294002
2008/05/16 04:20,3.306002
2008/05/16 04:25,3.319004
2008/05/16 04:30,3.330993
2008/05/16 04:35,3.344006
2008/05/16 04:40,3.355997
2008/05/16 04:45,3.369007
2008/05/16 04:50,3.383001
2008/05/16 04:55,3.395998
2008/05/16 05:00,3.409999
2008/05/16 05:05,3.423999
2008/05/16 05:10,3.439002
2008/05/16 05:15,3.454001
2008/05/16 05:20,3.470996
2008/05/16 05:25,3.488991
2008/05/16 05:30,3.508003
2008/05/16 05:35,3.530003
2008/05/16 05:40,3.553001
2008/05/16 05:45,3.579013
2008/05/16 05:50,3.611612
2008/05/16 05:55,3.638991
2008/05/16 06:00,3.673994
2008/05/16 06:05,3.712007
2008/05/16 06:10,3.756746
2008/05/16 06:15,3.793215
2008/05/16 06:20,3.840166
2008/05/16 06:25,3.888105
2008/05/16 06:30,3.94301
2008/05/16 06:35,3.991007
2008/05/16 06:40,4.04296
2008/05/16 06:45,4.101006
2008/05/16 06:50,4.150849
2008/05/16 06:55,4.204798
2008/05/16 07:00,4.258734
2008/05/16 07:05,4.311681
2008/05/16 07:10,4.364631
2008/05/16 07:15,4.41658
2008/05/16 07:20,4.468526
2008/05/16 07:25,4.519477
2008/05/16 07:30,4.573997
2008/05/16 07:35,4.619369
2008/05/16 07:40,4.669327
2008/05/16 07:45,4.718279
2008/05/16 07:50,4.772
2008/05/16 07:55,4.820996
2008/05/16 08:00,4.869001
2008/05/16 08:05,4.916998
2008/05/16 08:10,4.963994
2008/05/16 08:15,5.010996
2008/05/16 08:20,5.056998
2008/05/16 08:25,5.096898
2008/05/16 08:30,5.145999
2008/05/16 08:35,5.188999
2008/05/16 08:40,5.229995
2008/05/16 08:45,5.270004
2008/05/16 08:50,5.307997
2008/05/16 08:55,5.344999
2008/05/16 09:00,5.379004
2008/05/16 09:05,5.410996
2008/05/16 09:10,5.441996
2008/05/16 09:15,5.470002
2008/05/16 09:20,5.498
2008/05/16 09:25,5.523999
2008/05/16 09:30,5.548998
2008/05/16 09:35,5.574001
2008/05/16 09:40,5.596997
2008/05/16 09:45,5.621007
2008/05/16 09:50,5.645002
2008/05/16 09:55,5.669002
2008/05/16 10:00,5.693002
2008/05/16 10:05,5.717995
2008/05/16 10:10,5.744001
2008/05/16 10:15,5.775765
2008/05/16 10:20,5.795995
2008/05/16 10:25,5.824003
2008/05/16 10:30,5.850997
2008/05/16 10:35,5.878997
2008/05/16 10:40,5.908006
2008/05/16 10:45,5.930055
2008/05/16 10:50,5.965002
2008/05/16 10:55,5.995
2008/05/16 11:00,6.023997
2008/05/16 11:05,6.052997
2008/05/16 11:10,6.082999
2008/05/16 11:15,6.112003
2008/05/16 11:20,6.141009
2008/05/16 11:25,6.170008
2008/05/16 11:30,6.198002
2008/05/16 11:35,6.231223
2008/05/16 11:40,6.252007
2008/05/16 11:45,6.277014
2008/05/16 11:50,6.302001
2008/05/16 11:55,6.325004
2008/05/16 12:00,6.347003
2008/05/16 12:05,6.367002
2008/05/16 12:10,6.387001
2008/05/16 12:15,6.405009
2008/05/16 12:20,6.422009
2008/05/16 12:25,6.438002
2008/05/16 12:30,6.453995
2008/05/16 12:35,6.476465
2008/05/16 12:40,6.485005
2008/05/16 12:45,6.494503
2008/05/16 12:50,6.517006
2008/05/16 12:55,6.533001
2008/05/16 13:00,6.549993
2008/05/16 13:05,6.568002
2008/05/16 13:10,6.586001
2008/05/16 13:15,6.603007
2008/05/16 13:20,6.619994
2008/05/16 13:25,6.635003
2008/05/16 13:30,6.647997
2008/05/16 13:35,6.658995
2008/05/16 13:40,6.666005
2008/05/16 13:45,6.668999
2008/05/16 13:50,6.667996
2008/05/16 13:55,6.663001
2008/05/16 14:00,6.651002
2008/05/16 14:05,6.634
2008/05/16 14:10,6.610997
2008/05/16 14:15,6.58301
2008/05/16 14:20,6.552005
2008/05/16 14:25,6.517998
2008/05/16 14:30,6.475511
2008/05/16 14:35,6.437552
2008/05/16 14:40,6.399592
2008/05/16 14:45,6.361636
2008/05/16 14:50,6.324664
2008/05/16 14:55,6.289712
2008/05/16 15:00,6.257742
2008/05/16 15:05,6.228766
2008/05/16 15:10,6.202797
2008/05/16 15:15,6.17981
2008/05/16 15:20,6.158837
2008/05/16 15:25,6.141858
2008/05/16 15:30,6.125859
2008/05/16 15:35,6.111885
2008/05/16 15:40,6.099888
2008/05/16 15:45,6.096002
2008/05/16 15:50,6.086999
2008/05/16 15:55,6.077995
2008/05/16 16:00,6.071001
2008/05/16 16:05,6.064012
2008/05/16 16:10,6.057002
2008/05/16 16:15,6.050995
2008/05/16 16:20,6.044002
2008/05/16 16:25,6.04303
2008/05/16 16:30,6.035038
2008/05/16 16:35,6.02602
2008/05/16 16:40,6.017018
2008/05/16 16:45,6.004999
2008/05/16 16:50,5.985998
2008/05/16 16:55,5.972001
2008/05/16 17:00,5.954999
2008/05/16 17:05,5.936006
2008/05/16 17:10,5.909079
2008/05/16 17:15,5.892
2008/05/16 17:20,5.867004
2008/05/16 17:25,5.83415
2008/05/16 17:30,5.806183
2008/05/16 17:35,5.777217
2008/05/16 17:40,5.746248
2008/05/16 17:45,5.715273
2008/05/16 17:50,5.682312
2008/05/16 17:55,5.649342
2008/05/16 18:00,5.616377
2008/05/16 18:05,5.582403
2008/05/16 18:10,5.549442
2008/05/16 18:15,5.516482
2008/05/16 18:20,5.489001
2008/05/16 18:25,5.452545
2008/05/16 18:30,5.429004
2008/05/16 18:35,5.401004
2008/05/16 18:40,5.376
2008/05/16 18:45,5.348647
2008/05/16 18:50,5.328673
2008/05/16 18:55,5.318001
2008/05/16 19:00,5.306005
2008/05/16 19:05,5.298005
2008/05/16 19:10,5.293
2008/05/16 19:15,5.291
2008/05/16 19:20,5.291
2008/05/16 19:25,5.291
2008/05/16 19:30,5.291998
2008/05/16 19:35,5.297291
2008/05/16 19:40,5.296296
2008/05/16 19:45,5.293286
2008/05/16 19:50,5.280998
2008/05/16 19:55,5.271
2008/05/16 20:00,5.255997
2008/05/16 20:05,5.236
2008/05/16 20:10,5.210998
2008/05/16 20:15,5.187182
2008/05/16 20:20,5.156141
2008/05/16 20:25,5.115996
2008/05/16 20:30,5.075923
2008/05/16 20:35,5.038956
2008/05/16 20:40,5.001996
2008/05/16 20:45,4.972005
2008/05/16 20:50,4.937006
2008/05/16 20:55,4.905002
2008/05/16 21:00,4.875997
2008/05/16 21:05,4.851002
2008/05/16 21:10,4.823182
2008/05/16 21:15,4.807995
2008/05/16 21:20,4.790003
2008/05/16 21:25,4.768227
2008/05/16 21:30,4.760758
2008/05/16 21:35,4.738999
2008/05/16 21:40,4.720006
2008/05/16 21:45,4.704704
2008/05/16 21:50,4.672319
2008/05/16 21:55,4.651993
2008/05/16 22:00,4.621997
2008/05/16 22:05,4.588001
2008/05/16 22:10,4.549998
2008/05/16 22:15,4.509002
2008/05/16 22:20,4.463992
