RTD_End_Time_Stamp,RTD_10_Min_Non_Sync,RTD_30_Min_Non_Sync,Real_Time_LBMP,Day_Ahead_LBMP
"08/22/2019 00:00:00",0,0,23.63,22.65
"08/22/2019 00:05:00",0,0,23.63,22.65
"08/22/2019 00:10:00",0,0,23.63,22.65
"08/22/2019 00:15:00",0,0,23.06,22.65
"08/22/2019 00:20:00",0,0,23.04,22.65
"08/22/2019 00:25:00",0,0,22.96,22.65
"08/22/2019 00:30:00",0,0,23.04,22.65
"08/22/2019 00:35:00",0,0,23.04,22.65
"08/22/2019 00:40:00",0,0,22.94,22.65
"08/22/2019 00:45:00",0,0,22.55,22.65
"08/22/2019 00:50:00",0,0,21.46,22.65
"08/22/2019 00:55:00",0,0,21.53,22.65
"08/22/2019 01:00:00",0,0,21.73,20.82
"08/22/2019 01:05:00",0,0,22.61,20.82
"08/22/2019 01:10:00",0,0,22.29,20.82
"08/22/2019 01:15:00",0,0,21.94,20.82
"08/22/2019 01:20:00",0,0,22.31,20.82
"08/22/2019 01:25:00",0,0,22.31,20.82
"08/22/2019 01:30:00",0,0,21.82,20.82
"08/22/2019 01:35:00",0,0,21.25,20.82
"08/22/2019 01:40:00",0,0,20.84,20.82
"08/22/2019 01:45:00",0,0,20.84,20.82
"08/22/2019 01:50:00",0,0,20.29,20.82
"08/22/2019 01:55:00",0,0,20.01,20.82
"08/22/2019 02:00:00",0,0,16.55,19
"08/22/2019 02:05:00",0,0,16.48,19
"08/22/2019 02:10:00",0,0,16.25,19
"08/22/2019 02:15:00",0,0,14.74,19
"08/22/2019 02:20:00",0,0,14.74,19
"08/22/2019 02:25:00",0,0,14.85,19
"08/22/2019 02:30:00",0,0,14.74,19
"08/22/2019 02:35:00",0,0,14.65,19
"08/22/2019 02:40:00",0,0,14.07,19
"08/22/2019 02:45:00",0,0,14.53,19
"08/22/2019 02:50:00",0,0,14.86,19
"08/22/2019 02:55:00",0,0,15.51,19
