id,bus,name,kind,P,Q,status,Qmin,Qmax,Vsp,fracS,fracY,bus_reg
1,2,south_mahwah_345kV_1,LOAD,271.72,-230.93,1,0.00,0.00,,1.00,0.00,2
2,3,south_mahwah_345kV_2,LOAD,242.79,-225.78,1,0.00,0.00,,1.00,0.00,3
3,5,chester_138kV_1,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
4,5,chester_138kV_2,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
5,5,chester_138kV_3,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
6,5,chester_138kV_4,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
7,5,chester_138kV_5,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
8,5,chester_138kV_6,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
9,5,chester_138kV_7,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
10,5,chester_138kV_8,LOAD,2.45,0.70,1,0.00,0.00,,1.00,0.00,5
11,6,silver_lake_69kV_1,LOAD,3.40,0.63,1,0.00,0.00,,1.00,0.00,6
12,6,silver_lake_69kV_2,LOAD,3.40,0.63,1,0.00,0.00,,1.00,0.00,6
13,6,silver_lake_69kV_3,LOAD,3.40,0.63,1,0.00,0.00,,1.00,0.00,6
14,6,silver_lake_69kV_4,LOAD,3.40,0.63,1,0.00,0.00,,1.00,0.00,6
15,6,silver_lake_69kV_5,LOAD,3.40,0.63,1,0.00,0.00,,1.00,0.00,6
16,6,silver_lake_69kV_6,LOAD,3.40,0.63,1,0.00,0.00,,1.00,0.00,6
17,6,silver_lake_69kV_7,LOAD,3.40,0.63,1,0.00,0.00,,1.00,0.00,6
18,7,burns_138kV_1,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
19,7,burns_138kV_2,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
20,7,burns_138kV_3,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
21,7,burns_138kV_4,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
22,7,burns_138kV_5,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
23,7,burns_138kV_6,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
24,7,burns_138kV_7,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
25,7,burns_138kV_8,LOAD,4.45,1.68,1,0.00,0.00,,1.00,0.00,7
26,8,congers_138kV_1,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
27,8,congers_138kV_2,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
28,8,congers_138kV_3,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
29,8,congers_138kV_4,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
30,8,congers_138kV_5,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
31,8,congers_138kV_6,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
32,8,congers_138kV_7,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
33,8,congers_138kV_8,LOAD,3.05,0.29,1,0.00,0.00,,1.00,0.00,8
34,9,monsey_138kV_1,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,9
35,9,monsey_138kV_2,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,9
36,9,monsey_138kV_3,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,9
37,9,monsey_138kV_4,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,9
38,9,monsey_138kV_5,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,9
39,9,monsey_138kV_6,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,9
40,12,stony_point_138kV_1,LOAD,2.93,0.64,1,0.00,0.00,,1.00,0.00,12
41,12,stony_point_138kV_2,LOAD,2.93,0.64,1,0.00,0.00,,1.00,0.00,12
42,12,stony_point_138kV_3,LOAD,2.93,0.64,1,0.00,0.00,,1.00,0.00,12
43,12,stony_point_138kV_4,LOAD,2.93,0.64,1,0.00,0.00,,1.00,0.00,12
44,12,stony_point_138kV_5,LOAD,2.93,0.64,1,0.00,0.00,,1.00,0.00,12
45,12,stony_point_138kV_6,LOAD,2.93,0.64,1,0.00,0.00,,1.00,0.00,12
46,13,new_hempstead_138kV_1,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
47,13,new_hempstead_138kV_2,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
48,13,new_hempstead_138kV_3,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
49,13,new_hempstead_138kV_4,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
50,13,new_hempstead_138kV_5,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
51,13,new_hempstead_138kV_6,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
52,13,new_hempstead_138kV_7,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
53,13,new_hempstead_138kV_8,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
54,13,new_hempstead_138kV_9,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
55,13,new_hempstead_138kV_10,LOAD,3.77,0.61,1,0.00,0.00,,1.00,0.00,13
56,14,ramapo_138kV,LOAD,56.69,79.52,1,0.00,0.00,,1.00,0.00,14
