"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/29/2019 00:05:00","CAPITL",61757,17.88,1.11,0.00
"05/29/2019 00:05:00","CENTRL",61754,16.77,0.00,0.00
"05/29/2019 00:05:00","DUNWOD",61760,18.45,1.68,0.00
"05/29/2019 00:05:00","GENESE",61753,16.02,-0.75,0.00
"05/29/2019 00:05:00","H Q",61844,16.36,-0.42,0.00
"05/29/2019 00:05:00","HUD VL",61758,18.27,1.49,0.00
"05/29/2019 00:05:00","LONGIL",61762,32.23,2.21,-13.24
"05/29/2019 00:05:00","MHK VL",61756,16.96,0.18,0.00
"05/29/2019 00:05:00","MILLWD",61759,18.45,1.68,0.00
"05/29/2019 00:05:00","N.Y.C.",61761,18.62,1.85,0.00
"05/29/2019 00:05:00","NORTH",61755,16.25,-0.52,0.00
"05/29/2019 00:05:00","NPX",61845,18.02,1.24,0.00
"05/29/2019 00:05:00","O H",61846,15.55,-1.22,0.00
"05/29/2019 00:05:00","PJM",61847,17.09,0.32,0.00
"05/29/2019 00:05:00","WEST",61752,15.87,-0.91,0.00
"05/29/2019 00:10:00","CAPITL",61757,21.09,1.31,0.00
"05/29/2019 00:10:00","CENTRL",61754,19.78,0.00,0.00
"05/29/2019 00:10:00","DUNWOD",61760,21.76,1.98,0.00
"05/29/2019 00:10:00","GENESE",61753,18.89,-0.89,0.00
"05/29/2019 00:10:00","H Q",61844,19.29,-0.49,0.00
"05/29/2019 00:10:00","HUD VL",61758,21.54,1.76,0.00
"05/29/2019 00:10:00","LONGIL",61762,22.74,2.55,-0.40
"05/29/2019 00:10:00","MHK VL",61756,20.00,0.22,0.00
"05/29/2019 00:10:00","MILLWD",61759,21.76,1.98,0.00
"05/29/2019 00:10:00","N.Y.C.",61761,22.00,2.22,0.00
"05/29/2019 00:10:00","NORTH",61755,19.17,-0.61,0.00
"05/29/2019 00:10:00","NPX",61845,21.25,1.46,0.00
"05/29/2019 00:10:00","O H",61846,18.34,-1.44,0.00
"05/29/2019 00:10:00","PJM",61847,20.18,0.40,0.00
"05/29/2019 00:10:00","WEST",61752,18.72,-1.07,0.00
"05/29/2019 00:15:00","CAPITL",61757,21.45,1.31,0.00
"05/29/2019 00:15:00","CENTRL",61754,20.23,0.08,0.00
"05/29/2019 00:15:00","DUNWOD",61760,22.14,1.99,0.00
"05/29/2019 00:15:00","GENESE",61753,19.32,-0.83,0.00
"05/29/2019 00:15:00","H Q",61844,19.64,-0.50,0.00
"05/29/2019 00:15:00","HUD VL",61758,21.92,1.77,0.00
"05/29/2019 00:15:00","LONGIL",61762,22.76,2.60,-0.02
"05/29/2019 00:15:00","MHK VL",61756,20.37,0.22,0.00
"05/29/2019 00:15:00","MILLWD",61759,22.10,1.95,0.00
"05/29/2019 00:15:00","N.Y.C.",61761,22.34,2.20,0.00
"05/29/2019 00:15:00","NORTH",61755,19.52,-0.62,0.00
"05/29/2019 00:15:00","NPX",61845,21.60,1.45,0.00
"05/29/2019 00:15:00","O H",61846,18.85,-1.29,0.00
"05/29/2019 00:15:00","PJM",61847,20.65,0.50,0.00
"05/29/2019 00:15:00","WEST",61752,19.24,-0.91,0.00
"05/29/2019 00:20:00","CAPITL",61757,27.89,0.28,-23.29
"05/29/2019 00:20:00","CENTRL",61754,7.20,0.00,-2.87
"05/29/2019 00:20:00","DUNWOD",61760,21.91,0.44,-17.15
"05/29/2019 00:20:00","GENESE",61753,6.23,-0.20,-2.11
"05/29/2019 00:20:00","H Q",61844,4.21,-0.11,0.00
"05/29/2019 00:20:00","HUD VL",61758,21.49,0.39,-16.77
"05/29/2019 00:20:00","LONGIL",61762,22.76,0.57,-17.86
"05/29/2019 00:20:00","MHK VL",61756,7.11,0.05,-2.74
"05/29/2019 00:20:00","MILLWD",61759,22.24,0.44,-17.49
"05/29/2019 00:20:00","N.Y.C.",61761,22.00,0.49,-17.18
"05/29/2019 00:20:00","NORTH",61755,4.19,-0.13,0.00
"05/29/2019 00:20:00","NPX",61845,24.98,0.32,-20.35
"05/29/2019 00:20:00","O H",61846,6.77,-0.31,-2.75
"05/29/2019 00:20:00","PJM",61847,14.00,0.10,-9.58
"05/29/2019 00:20:00","WEST",61752,6.83,-0.23,-2.74
"05/29/2019 00:25:00","CAPITL",61757,21.09,1.28,-0.06
"05/29/2019 00:25:00","CENTRL",61754,19.79,0.04,-0.01
"05/29/2019 00:25:00","DUNWOD",61760,21.78,1.99,-0.05
"05/29/2019 00:25:00","GENESE",61753,18.86,-0.89,-0.01
"05/29/2019 00:25:00","H Q",61844,19.25,-0.49,0.00
"05/29/2019 00:25:00","HUD VL",61758,21.57,1.78,-0.05
"05/29/2019 00:25:00","LONGIL",61762,22.76,2.59,-0.43
"05/29/2019 00:25:00","MHK VL",61756,19.97,0.22,-0.01
"05/29/2019 00:25:00","MILLWD",61759,21.76,1.97,-0.05
"05/29/2019 00:25:00","N.Y.C.",61761,22.02,2.23,-0.05
"05/29/2019 00:25:00","NORTH",61755,19.13,-0.61,0.00
"05/29/2019 00:25:00","NPX",61845,21.24,1.44,-0.06
"05/29/2019 00:25:00","O H",61846,18.37,-1.38,-0.01
"05/29/2019 00:25:00","PJM",61847,20.24,0.47,-0.03
"05/29/2019 00:25:00","WEST",61752,18.74,-1.01,-0.01
"05/29/2019 00:30:00","CAPITL",61757,24.27,0.32,-19.13
"05/29/2019 00:30:00","CENTRL",61754,7.19,0.01,-2.36
"05/29/2019 00:30:00","DUNWOD",61760,19.38,0.48,-14.09
"05/29/2019 00:30:00","GENESE",61753,6.33,-0.22,-1.73
"05/29/2019 00:30:00","H Q",61844,4.70,-0.12,0.00
"05/29/2019 00:30:00","HUD VL",61758,19.02,0.42,-13.77
"05/29/2019 00:30:00","LONGIL",61762,23.00,0.62,-17.56
"05/29/2019 00:30:00","MHK VL",61756,7.11,0.05,-2.25
"05/29/2019 00:30:00","MILLWD",61759,19.65,0.47,-14.36
"05/29/2019 00:30:00","N.Y.C.",61761,19.46,0.53,-14.11
"05/29/2019 00:30:00","NORTH",61755,4.66,-0.15,0.00
"05/29/2019 00:30:00","NPX",61845,21.88,0.35,-16.71
"05/29/2019 00:30:00","O H",61846,6.75,-0.33,-2.26
"05/29/2019 00:30:00","PJM",61847,12.80,0.11,-7.87
"05/29/2019 00:30:00","WEST",61752,6.82,-0.25,-2.25
"05/29/2019 00:35:00","CAPITL",61757,17.88,1.11,0.00
"05/29/2019 00:35:00","CENTRL",61754,16.88,0.10,0.00
"05/29/2019 00:35:00","DUNWOD",61760,18.42,1.64,0.00
"05/29/2019 00:35:00","GENESE",61753,16.09,-0.69,0.00
"05/29/2019 00:35:00","H Q",61844,16.34,-0.44,0.00
"05/29/2019 00:35:00","HUD VL",61758,18.23,1.46,0.00
"05/29/2019 00:35:00","LONGIL",61762,22.76,2.13,-3.85
"05/29/2019 00:35:00","MHK VL",61756,16.96,0.18,0.00
"05/29/2019 00:35:00","MILLWD",61759,18.40,1.63,0.00
"05/29/2019 00:35:00","N.Y.C.",61761,18.60,1.83,0.00
"05/29/2019 00:35:00","NORTH",61755,16.22,-0.55,0.00
"05/29/2019 00:35:00","NPX",61845,17.98,1.21,0.00
"05/29/2019 00:35:00","O H",61846,15.77,-1.01,0.00
"05/29/2019 00:35:00","PJM",61847,17.26,0.49,0.00
"05/29/2019 00:35:00","WEST",61752,16.09,-0.69,0.00
"05/29/2019 00:40:00","CAPITL",61757,17.79,1.10,0.00
"05/29/2019 00:40:00","CENTRL",61754,16.78,0.08,0.00
"05/29/2019 00:40:00","DUNWOD",61760,18.33,1.64,0.00
"05/29/2019 00:40:00","GENESE",61753,16.01,-0.69,0.00
"05/29/2019 00:40:00","H Q",61844,16.26,-0.43,0.00
"05/29/2019 00:40:00","HUD VL",61758,18.14,1.45,0.00
"05/29/2019 00:40:00","LONGIL",61762,22.76,2.12,-3.95
"05/29/2019 00:40:00","MHK VL",61756,16.86,0.17,0.00
"05/29/2019 00:40:00","MILLWD",61759,18.31,1.62,0.00
"05/29/2019 00:40:00","N.Y.C.",61761,18.51,1.82,0.00
"05/29/2019 00:40:00","NORTH",61755,16.16,-0.53,0.00
"05/29/2019 00:40:00","NPX",61845,17.91,1.22,0.00
"05/29/2019 00:40:00","O H",61846,15.67,-1.02,0.00
"05/29/2019 00:40:00","PJM",61847,17.16,0.47,0.00
"05/29/2019 00:40:00","WEST",61752,15.99,-0.70,0.00
"05/29/2019 00:45:00","CAPITL",61757,18.08,0.86,-4.24
"05/29/2019 00:45:00","CENTRL",61754,13.55,0.05,-0.52
"05/29/2019 00:45:00","DUNWOD",61760,17.39,1.29,-3.12
"05/29/2019 00:45:00","GENESE",61753,12.79,-0.57,-0.38
"05/29/2019 00:45:00","H Q",61844,12.64,-0.34,0.00
"05/29/2019 00:45:00","HUD VL",61758,17.18,1.14,-3.05
"05/29/2019 00:45:00","LONGIL",61762,23.00,1.66,-8.36
"05/29/2019 00:45:00","MHK VL",61756,13.61,0.13,-0.50
"05/29/2019 00:45:00","MILLWD",61759,17.44,1.27,-3.19
"05/29/2019 00:45:00","N.Y.C.",61761,17.55,1.44,-3.13
"05/29/2019 00:45:00","NORTH",61755,12.56,-0.42,0.00
"05/29/2019 00:45:00","NPX",61845,17.63,0.95,-3.71
"05/29/2019 00:45:00","O H",61846,12.62,-0.86,-0.50
"05/29/2019 00:45:00","PJM",61847,15.07,0.35,-1.74
"05/29/2019 00:45:00","WEST",61752,12.87,-0.61,-0.50
"05/29/2019 00:50:00","CAPITL",61757,24.28,0.30,-19.47
"05/29/2019 00:50:00","CENTRL",61754,6.93,0.02,-2.40
"05/29/2019 00:50:00","DUNWOD",61760,19.30,0.45,-14.33
"05/29/2019 00:50:00","GENESE",61753,6.08,-0.19,-1.76
"05/29/2019 00:50:00","H Q",61844,4.40,-0.12,0.00
"05/29/2019 00:50:00","HUD VL",61758,18.93,0.40,-14.02
"05/29/2019 00:50:00","LONGIL",61762,31.97,0.58,-26.88
"05/29/2019 00:50:00","MHK VL",61756,6.85,0.05,-2.29
"05/29/2019 00:50:00","MILLWD",61759,19.57,0.44,-14.61
"05/29/2019 00:50:00","N.Y.C.",61761,19.38,0.50,-14.36
"05/29/2019 00:50:00","NORTH",61755,4.37,-0.14,0.00
"05/29/2019 00:50:00","NPX",61845,21.85,0.33,-17.00
"05/29/2019 00:50:00","O H",61846,6.53,-0.29,-2.30
"05/29/2019 00:50:00","PJM",61847,12.64,0.12,-8.00
"05/29/2019 00:50:00","WEST",61752,6.60,-0.21,-2.29
"05/29/2019 00:55:00","CAPITL",61757,24.28,0.30,-19.47
"05/29/2019 00:55:00","CENTRL",61754,6.92,0.01,-2.40
"05/29/2019 00:55:00","DUNWOD",61760,19.29,0.45,-14.34
"05/29/2019 00:55:00","GENESE",61753,6.08,-0.19,-1.76
"05/29/2019 00:55:00","H Q",61844,4.39,-0.12,0.00
"05/29/2019 00:55:00","HUD VL",61758,18.93,0.40,-14.02
"05/29/2019 00:55:00","LONGIL",61762,23.00,0.58,-17.91
"05/29/2019 00:55:00","MHK VL",61756,6.84,0.05,-2.29
"05/29/2019 00:55:00","MILLWD",61759,19.57,0.44,-14.62
"05/29/2019 00:55:00","N.Y.C.",61761,19.37,0.50,-14.36
"05/29/2019 00:55:00","NORTH",61755,4.36,-0.14,0.00
"05/29/2019 00:55:00","NPX",61845,21.85,0.33,-17.01
"05/29/2019 00:55:00","O H",61846,6.52,-0.29,-2.30
"05/29/2019 00:55:00","PJM",61847,12.63,0.11,-8.01
"05/29/2019 00:55:00","WEST",61752,6.59,-0.21,-2.29
"05/29/2019 01:00:00","CAPITL",61757,24.19,0.30,-19.36
"05/29/2019 01:00:00","CENTRL",61754,6.93,0.01,-2.39
"05/29/2019 01:00:00","DUNWOD",61760,19.23,0.44,-14.26
"05/29/2019 01:00:00","GENESE",61753,6.08,-0.20,-1.75
"05/29/2019 01:00:00","H Q",61844,4.41,-0.12,0.00
"05/29/2019 01:00:00","HUD VL",61758,18.87,0.39,-13.94
"05/29/2019 01:00:00","LONGIL",61762,23.00,0.57,-17.90
"05/29/2019 01:00:00","MHK VL",61756,6.85,0.05,-2.27
"05/29/2019 01:00:00","MILLWD",61759,19.50,0.44,-14.54
"05/29/2019 01:00:00","N.Y.C.",61761,19.31,0.49,-14.29
"05/29/2019 01:00:00","NORTH",61755,4.39,-0.15,0.00
"05/29/2019 01:00:00","NPX",61845,21.78,0.34,-16.91
"05/29/2019 01:00:00","O H",61846,6.52,-0.30,-2.29
"05/29/2019 01:00:00","PJM",61847,12.61,0.11,-7.96
"05/29/2019 01:00:00","WEST",61752,6.60,-0.22,-2.28
"05/29/2019 01:05:00","CAPITL",61757,23.92,0.33,-18.67
"05/29/2019 01:05:00","CENTRL",61754,7.23,0.00,-2.30
"05/29/2019 01:05:00","DUNWOD",61760,19.13,0.46,-13.75
"05/29/2019 01:05:00","GENESE",61753,6.36,-0.25,-1.69
"05/29/2019 01:05:00","H Q",61844,4.81,-0.11,0.00
"05/29/2019 01:05:00","HUD VL",61758,18.78,0.41,-13.44
"05/29/2019 01:05:00","LONGIL",61762,31.97,0.60,-26.45
"05/29/2019 01:05:00","MHK VL",61756,7.16,0.05,-2.19
"05/29/2019 01:05:00","MILLWD",61759,19.39,0.46,-14.01
"05/29/2019 01:05:00","N.Y.C.",61761,19.21,0.51,-13.77
"05/29/2019 01:05:00","NORTH",61755,4.78,-0.14,0.00
"05/29/2019 01:05:00","NPX",61845,22.56,0.36,-17.27
"05/29/2019 01:05:00","O H",61846,6.76,-0.37,-2.21
"05/29/2019 01:05:00","PJM",61847,12.71,0.10,-7.68
"05/29/2019 01:05:00","WEST",61752,6.84,-0.29,-2.21
"05/29/2019 01:10:00","CAPITL",61757,16.64,1.06,-0.06
"05/29/2019 01:10:00","CENTRL",61754,15.53,0.00,-0.01
"05/29/2019 01:10:00","DUNWOD",61760,17.02,1.46,-0.05
"05/29/2019 01:10:00","GENESE",61753,14.72,-0.81,-0.01
"05/29/2019 01:10:00","H Q",61844,15.16,-0.36,0.00
"05/29/2019 01:10:00","HUD VL",61758,16.85,1.29,-0.05
"05/29/2019 01:10:00","LONGIL",61762,22.75,1.89,-5.33
"05/29/2019 01:10:00","MHK VL",61756,15.68,0.16,-0.01
"05/29/2019 01:10:00","MILLWD",61759,17.01,1.44,-0.05
"05/29/2019 01:10:00","N.Y.C.",61761,17.18,1.61,-0.05
"05/29/2019 01:10:00","NORTH",61755,15.07,-0.45,0.00
"05/29/2019 01:10:00","NPX",61845,17.70,1.16,-1.02
"05/29/2019 01:10:00","O H",61846,14.35,-1.18,-0.01
"05/29/2019 01:10:00","PJM",61847,15.86,0.31,-0.03
"05/29/2019 01:10:00","WEST",61752,14.63,-0.90,-0.01
"05/29/2019 01:15:00","CAPITL",61757,21.59,1.36,0.00
"05/29/2019 01:15:00","CENTRL",61754,20.24,0.00,0.00
"05/29/2019 01:15:00","DUNWOD",61760,22.16,1.92,0.00
"05/29/2019 01:15:00","GENESE",61753,19.18,-1.05,0.00
"05/29/2019 01:15:00","H Q",61844,19.77,-0.46,0.00
"05/29/2019 01:15:00","HUD VL",61758,21.94,1.70,0.00
"05/29/2019 01:15:00","LONGIL",61762,22.74,2.49,-0.02
"05/29/2019 01:15:00","MHK VL",61756,20.42,0.18,0.00
"05/29/2019 01:15:00","MILLWD",61759,22.14,1.90,0.00
"05/29/2019 01:15:00","N.Y.C.",61761,22.32,2.08,0.00
"05/29/2019 01:15:00","NORTH",61755,19.65,-0.59,0.00
"05/29/2019 01:15:00","NPX",61845,22.70,1.50,-0.96
"05/29/2019 01:15:00","O H",61846,18.72,-1.52,0.00
"05/29/2019 01:15:00","PJM",61847,20.66,0.43,0.00
"05/29/2019 01:15:00","WEST",61752,19.06,-1.17,0.00
"05/29/2019 01:20:00","CAPITL",61757,23.17,1.25,-3.20
"05/29/2019 01:20:00","CENTRL",61754,19.07,-0.04,-0.39
"05/29/2019 01:20:00","DUNWOD",61760,22.87,1.80,-2.36
"05/29/2019 01:20:00","GENESE",61753,17.97,-1.03,-0.29
"05/29/2019 01:20:00","H Q",61844,18.28,-0.43,0.00
"05/29/2019 01:20:00","HUD VL",61758,22.61,1.59,-2.30
"05/29/2019 01:20:00","LONGIL",61762,23.42,2.34,-2.36
"05/29/2019 01:20:00","MHK VL",61756,19.26,0.17,-0.38
"05/29/2019 01:20:00","MILLWD",61759,22.90,1.78,-2.40
"05/29/2019 01:20:00","N.Y.C.",61761,23.02,1.95,-2.36
"05/29/2019 01:20:00","NORTH",61755,18.19,-0.52,0.00
"05/29/2019 01:20:00","NPX",61845,22.89,1.38,-2.80
"05/29/2019 01:20:00","O H",61846,17.59,-1.50,-0.38
"05/29/2019 01:20:00","PJM",61847,20.38,0.35,-1.32
"05/29/2019 01:20:00","WEST",61752,17.89,-1.20,-0.38
"05/29/2019 01:25:00","CAPITL",61757,22.28,1.38,0.00
"05/29/2019 01:25:00","CENTRL",61754,20.94,0.04,0.00
"05/29/2019 01:25:00","DUNWOD",61760,22.85,1.94,0.00
"05/29/2019 01:25:00","GENESE",61753,19.90,-1.00,0.00
"05/29/2019 01:25:00","H Q",61844,20.42,-0.48,0.00
"05/29/2019 01:25:00","HUD VL",61758,22.64,1.73,0.00
"05/29/2019 01:25:00","LONGIL",61762,23.45,2.55,0.00
"05/29/2019 01:25:00","MHK VL",61756,21.09,0.19,0.00
"05/29/2019 01:25:00","MILLWD",61759,22.82,1.92,0.00
"05/29/2019 01:25:00","N.Y.C.",61761,23.03,2.13,0.00
"05/29/2019 01:25:00","NORTH",61755,20.29,-0.61,0.00
"05/29/2019 01:25:00","NPX",61845,22.43,1.52,0.00
"05/29/2019 01:25:00","O H",61846,19.48,-1.42,0.00
"05/29/2019 01:25:00","PJM",61847,21.40,0.50,0.00
"05/29/2019 01:25:00","WEST",61752,19.84,-1.07,0.00
"05/29/2019 01:30:00","CAPITL",61757,22.19,1.37,0.00
"05/29/2019 01:30:00","CENTRL",61754,20.84,0.02,0.00
"05/29/2019 01:30:00","DUNWOD",61760,22.75,1.94,0.00
"05/29/2019 01:30:00","GENESE",61753,19.80,-1.02,0.00
"05/29/2019 01:30:00","H Q",61844,20.34,-0.48,0.00
"05/29/2019 01:30:00","HUD VL",61758,22.55,1.73,0.00
"05/29/2019 01:30:00","LONGIL",61762,23.37,2.54,-0.02
"05/29/2019 01:30:00","MHK VL",61756,21.01,0.19,0.00
"05/29/2019 01:30:00","MILLWD",61759,22.73,1.91,0.00
"05/29/2019 01:30:00","N.Y.C.",61761,22.96,2.14,0.00
"05/29/2019 01:30:00","NORTH",61755,20.24,-0.58,0.00
"05/29/2019 01:30:00","NPX",61845,22.34,1.52,0.00
"05/29/2019 01:30:00","O H",61846,19.34,-1.48,0.00
"05/29/2019 01:30:00","PJM",61847,21.30,0.48,0.00
"05/29/2019 01:30:00","WEST",61752,19.71,-1.10,0.00
"05/29/2019 01:35:00","CAPITL",61757,16.96,1.05,0.00
"05/29/2019 01:35:00","CENTRL",61754,15.89,-0.02,0.00
"05/29/2019 01:35:00","DUNWOD",61760,17.40,1.49,0.00
"05/29/2019 01:35:00","GENESE",61753,15.08,-0.83,0.00
"05/29/2019 01:35:00","H Q",61844,15.56,-0.35,0.00
"05/29/2019 01:35:00","HUD VL",61758,17.23,1.32,0.00
"05/29/2019 01:35:00","LONGIL",61762,18.01,1.96,-0.15
"05/29/2019 01:35:00","MHK VL",61756,16.05,0.14,0.00
"05/29/2019 01:35:00","MILLWD",61759,17.39,1.48,0.00
"05/29/2019 01:35:00","N.Y.C.",61761,17.56,1.65,0.00
"05/29/2019 01:35:00","NORTH",61755,15.48,-0.43,0.00
"05/29/2019 01:35:00","NPX",61845,17.07,1.16,0.00
"05/29/2019 01:35:00","O H",61846,14.70,-1.21,0.00
"05/29/2019 01:35:00","PJM",61847,16.21,0.30,0.00
"05/29/2019 01:35:00","WEST",61752,14.97,-0.94,0.00
"05/29/2019 01:40:00","CAPITL",61757,16.36,1.01,0.00
"05/29/2019 01:40:00","CENTRL",61754,15.37,0.02,0.00
"05/29/2019 01:40:00","DUNWOD",61760,16.78,1.43,0.00
"05/29/2019 01:40:00","GENESE",61753,14.58,-0.77,0.00
"05/29/2019 01:40:00","H Q",61844,15.00,-0.35,0.00
"05/29/2019 01:40:00","HUD VL",61758,16.62,1.27,0.00
"05/29/2019 01:40:00","LONGIL",61762,22.49,1.89,-5.26
"05/29/2019 01:40:00","MHK VL",61756,15.49,0.14,0.00
"05/29/2019 01:40:00","MILLWD",61759,16.78,1.43,0.00
"05/29/2019 01:40:00","N.Y.C.",61761,16.97,1.61,0.00
"05/29/2019 01:40:00","NORTH",61755,14.94,-0.41,0.00
"05/29/2019 01:40:00","NPX",61845,16.47,1.12,0.00
"05/29/2019 01:40:00","O H",61846,14.25,-1.11,0.00
"05/29/2019 01:40:00","PJM",61847,15.69,0.34,0.00
"05/29/2019 01:40:00","WEST",61752,14.51,-0.84,0.00
"05/29/2019 01:45:00","CAPITL",61757,16.59,1.04,0.00
"05/29/2019 01:45:00","CENTRL",61754,15.53,-0.02,0.00
"05/29/2019 01:45:00","DUNWOD",61760,16.99,1.45,0.00
"05/29/2019 01:45:00","GENESE",61753,14.76,-0.79,0.00
"05/29/2019 01:45:00","H Q",61844,15.21,-0.34,0.00
"05/29/2019 01:45:00","HUD VL",61758,16.84,1.29,0.00
"05/29/2019 01:45:00","LONGIL",61762,22.49,1.91,-5.03
"05/29/2019 01:45:00","MHK VL",61756,15.69,0.14,0.00
"05/29/2019 01:45:00","MILLWD",61759,16.99,1.45,0.00
"05/29/2019 01:45:00","N.Y.C.",61761,17.18,1.63,0.00
"05/29/2019 01:45:00","NORTH",61755,15.13,-0.42,0.00
"05/29/2019 01:45:00","NPX",61845,16.70,1.15,0.00
"05/29/2019 01:45:00","O H",61846,14.38,-1.17,0.00
"05/29/2019 01:45:00","PJM",61847,15.86,0.31,0.00
"05/29/2019 01:45:00","WEST",61752,14.65,-0.90,0.00
"05/29/2019 01:50:00","CAPITL",61757,17.00,1.07,0.00
"05/29/2019 01:50:00","CENTRL",61754,15.93,0.00,0.00
"05/29/2019 01:50:00","DUNWOD",61760,17.40,1.46,0.00
"05/29/2019 01:50:00","GENESE",61753,15.14,-0.80,0.00
"05/29/2019 01:50:00","H Q",61844,15.57,-0.37,0.00
"05/29/2019 01:50:00","HUD VL",61758,17.24,1.31,0.00
"05/29/2019 01:50:00","LONGIL",61762,22.49,1.94,-4.62
"05/29/2019 01:50:00","MHK VL",61756,16.08,0.14,0.00
"05/29/2019 01:50:00","MILLWD",61759,17.40,1.46,0.00
"05/29/2019 01:50:00","N.Y.C.",61761,17.56,1.63,0.00
"05/29/2019 01:50:00","NORTH",61755,15.49,-0.45,0.00
"05/29/2019 01:50:00","NPX",61845,17.11,1.18,0.00
"05/29/2019 01:50:00","O H",61846,14.79,-1.15,0.00
"05/29/2019 01:50:00","PJM",61847,16.27,0.34,0.00
"05/29/2019 01:50:00","WEST",61752,15.06,-0.88,0.00
"05/29/2019 01:55:00","CAPITL",61757,16.62,1.04,0.00
"05/29/2019 01:55:00","CENTRL",61754,15.56,-0.02,0.00
"05/29/2019 01:55:00","DUNWOD",61760,17.02,1.45,0.00
"05/29/2019 01:55:00","GENESE",61753,14.80,-0.78,0.00
"05/29/2019 01:55:00","H Q",61844,15.22,-0.36,0.00
"05/29/2019 01:55:00","HUD VL",61758,16.85,1.28,0.00
"05/29/2019 01:55:00","LONGIL",61762,21.72,1.90,-4.25
"05/29/2019 01:55:00","MHK VL",61756,15.72,0.14,0.00
"05/29/2019 01:55:00","MILLWD",61759,17.01,1.43,0.00
"05/29/2019 01:55:00","N.Y.C.",61761,17.18,1.60,0.00
"05/29/2019 01:55:00","NORTH",61755,15.16,-0.42,0.00
"05/29/2019 01:55:00","NPX",61845,16.73,1.15,0.00
"05/29/2019 01:55:00","O H",61846,14.45,-1.12,0.00
"05/29/2019 01:55:00","PJM",61847,15.89,0.31,0.00
"05/29/2019 01:55:00","WEST",61752,14.72,-0.86,0.00
"05/29/2019 02:00:00","CAPITL",61757,22.51,1.43,0.00
"05/29/2019 02:00:00","CENTRL",61754,21.12,0.04,0.00
"05/29/2019 02:00:00","DUNWOD",61760,22.91,1.83,0.00
"05/29/2019 02:00:00","GENESE",61753,20.10,-0.97,0.00
"05/29/2019 02:00:00","H Q",61844,20.61,-0.46,0.00
"05/29/2019 02:00:00","HUD VL",61758,22.72,1.64,0.00
"05/29/2019 02:00:00","LONGIL",61762,23.53,2.44,-0.02
"05/29/2019 02:00:00","MHK VL",61756,21.26,0.19,0.00
"05/29/2019 02:00:00","MILLWD",61759,22.89,1.81,0.00
"05/29/2019 02:00:00","N.Y.C.",61761,23.05,1.98,0.00
"05/29/2019 02:00:00","NORTH",61755,20.51,-0.57,0.00
"05/29/2019 02:00:00","NPX",61845,22.55,1.47,0.00
"05/29/2019 02:00:00","O H",61846,19.68,-1.39,0.00
"05/29/2019 02:00:00","PJM",61847,21.49,0.42,0.00
"05/29/2019 02:00:00","WEST",61752,20.04,-1.03,0.00
"05/29/2019 02:05:00","CAPITL",61757,21.20,1.31,0.00
"05/29/2019 02:05:00","CENTRL",61754,19.93,0.04,0.00
"05/29/2019 02:05:00","DUNWOD",61760,21.62,1.73,0.00
"05/29/2019 02:05:00","GENESE",61753,18.99,-0.89,0.00
"05/29/2019 02:05:00","H Q",61844,19.45,-0.44,0.00
"05/29/2019 02:05:00","HUD VL",61758,21.42,1.53,0.00
"05/29/2019 02:05:00","LONGIL",61762,22.74,2.29,-0.57
"05/29/2019 02:05:00","MHK VL",61756,20.06,0.18,0.00
"05/29/2019 02:05:00","MILLWD",61759,21.60,1.71,0.00
"05/29/2019 02:05:00","N.Y.C.",61761,21.78,1.89,0.00
"05/29/2019 02:05:00","NORTH",61755,19.37,-0.52,0.00
